Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB),S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1086000000,-12.2692742,-3.3279614,-16.315817,-3.3185353,-10.379667,-16.814049,115.74547,-100.32151,0.85241085,-100.32008,-153.7744,1.7842902
1087000000,-12.27356067,-3.2983701,-16.352615,-3.2969,-10.372319,-16.868202,116.1557,-100.29063,1.0648769,-100.23484,-153.90762,1.8904581
1088000000,-12.27785047,-3.3447397,-16.366478,-3.3034861,-10.398252,-16.874109,116.0674,-100.41663,0.93111277,-100.38335,-154.03763,1.6647989
1089000000,-12.2821436,-3.315136,-16.333027,-3.2921619,-10.377849,-16.834057,115.59924,-100.64368,0.81094897,-100.59817,-154.0481,1.6112185
1090000000,-12.28644006,-3.3181629,-16.392113,-3.2944629,-10.348009,-16.912912,115.82692,-100.75985,0.67482156,-100.75095,-154.26804,1.5380614
1091000000,-12.29073986,-3.3104694,-16.37237,-3.3052454,-10.381666,-16.899567,115.45879,-100.90914,0.47960448,-100.6387,-154.38539,1.5046372
1092000000,-12.29504299,-3.3319159,-16.383406,-3.3091674,-10.361856,-16.897757,115.70139,-100.86921,0.63205576,-100.62793,-154.33687,1.4724958
1093000000,-12.29934947,-3.3192346,-16.39427,-3.3024111,-10.403367,-16.91993,115.71995,-101.05634,0.60893297,-100.84148,-154.59894,1.3706089
1094000000,-12.30365928,-3.322859,-16.391254,-3.3046653,-10.392953,-16.899092,115.76488,-100.98653,0.60448718,-100.91938,-154.73514,1.519789
1095000000,-12.30797245,-3.3301446,-16.411913,-3.2952981,-10.392932,-16.91778,115.88066,-101.3338,0.48294955,-101.12611,-154.74344,1.2793778
1096000000,-12.31228897,-3.3383682,-16.392729,-3.3032956,-10.450511,-16.910421,115.5644,-101.18757,0.44253838,-101.16837,-154.82074,1.300238
1097000000,-12.31660884,-3.3154953,-16.441103,-3.3276401,-10.438622,-16.961327,115.51655,-101.35282,0.32535854,-101.16645,-155.04617,1.0985193
1098000000,-12.32093208,-3.3254166,-16.439156,-3.2995498,-10.42562,-16.969219,115.6168,-101.42706,0.25459275,-101.29339,-155.09821,1.1264466
1099000000,-12.32525867,-3.337347,-16.437227,-3.3037052,-10.449018,-16.958221,115.64585,-101.57328,0.18654451,-101.50575,-155.44133,1.0217081
1100000000,-12.32958863,-3.3446696,-16.428879,-3.2987504,-10.424455,-16.948351,115.22162,-101.6483,0.31673604,-101.57749,-155.31616,1.0749159
1101000000,-12.33392196,-3.3250246,-16.426287,-3.3310199,-10.470598,-16.974289,115.31175,-101.90915,0.25740966,-101.61042,-155.63936,1.1939983
1102000000,-12.33825865,-3.3151324,-16.445852,-3.3247266,-10.475094,-16.957533,115.03343,-101.77948,0.19242382,-101.76758,-155.76207,1.1080854
1103000000,-12.34259873,-3.3110652,-16.437191,-3.3206191,-10.488007,-16.977995,114.95413,-101.8054,0.081964701,-101.92966,-155.71259,0.74330693
1104000000,-12.34694218,-3.3133545,-16.453096,-3.3070974,-10.462892,-16.993645,115.22932,-102.09625,-0.15393975,-101.9594,-155.88171,0.6719619
1105000000,-12.35128901,-3.3489497,-16.451767,-3.3162529,-10.469571,-16.972801,115.13616,-102.00367,0.062619358,-101.9523,-156.11435,0.93910193
1106000000,-12.35563923,-3.3195403,-16.448473,-3.295404,-10.469335,-16.993269,114.84315,-102.1275,-0.000259638,-102.115,-156.12094,0.73238987
