Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1.121,-4.618435438,-4.6573091,-4.598978058,-4.7023044,-4.605200072,-4.4613919,-4.602548858,-4.6938639
1.122,-4.61755701,-4.6548009,-4.598098202,-4.7191596,-4.604322921,-4.4635987,-4.601651449,-4.6739626
1.123,-4.616682215,-4.6575432,-4.597221948,-4.7240553,-4.603449406,-4.4665098,-4.600757701,-4.6522145
1.124,-4.615811064,-4.6180911,-4.596349306,-4.6819925,-4.602579536,-4.4287701,-4.599867622,-4.6555123
1.125,-4.614943563,-4.6519136,-4.595480283,-4.7287388,-4.60171332,-4.4726887,-4.598981221,-4.6708627
1.126,-4.614079723,-4.6522708,-4.59461489,-4.692255,-4.600850766,-4.4440742,-4.598098506,-4.6546144
1.127,-4.613219552,-4.6660094,-4.593753134,-4.7210522,-4.599991883,-4.4555521,-4.597219486,-4.6419754
1.128,-4.612363058,-4.6681156,-4.592895024,-4.7175894,-4.59913668,-4.4637852,-4.59634417,-4.6830301
1.129,-4.611510251,-4.6467452,-4.59204057,-4.7182183,-4.598285166,-4.4610472,-4.595472567,-4.7202754
1.13,-4.610661139,-4.6440125,-4.591189779,-4.6972632,-4.59743735,-4.4606142,-4.594604686,-4.6908789
1.131,-4.609815732,-4.6151133,-4.590342661,-4.6958208,-4.59659324,-4.4294543,-4.593740535,-4.6818943
1.132,-4.608974038,-4.6513867,-4.589499225,-4.6893978,-4.595752845,-4.4405937,-4.592880124,-4.6743317
1.133,-4.608136066,-4.6552181,-4.588659479,-4.7177558,-4.594916175,-4.4793258,-4.59202346,-4.68607
1.134,-4.607301825,-4.6162243,-4.587823432,-4.7164183,-4.594083238,-4.4338565,-4.591170554,-4.6704173
1.135,-4.606471324,-4.6525917,-4.586991094,-4.7331681,-4.593254043,-4.4569364,-4.590321414,-4.6933169
1.136,-4.605644572,-4.6507096,-4.586162472,-4.7141371,-4.592428599,-4.4559045,-4.589476048,-4.6702623
1.137,-4.604821579,-4.6763787,-4.585337577,-4.7183332,-4.591606916,-4.466918,-4.588634467,-4.6732535
1.138,-4.604002352,-4.6039991,-4.584516416,-4.6994066,-4.590789001,-4.4703178,-4.587796678,-4.675528
1.139,-4.603186902,-4.6378059,-4.583699,-4.7525144,-4.589974865,-4.4582176,-4.586962691,-4.6490774
1.14,-4.602375236,-4.6483164,-4.582885336,-4.7072196,-4.589164516,-4.4681172,-4.586132515,-4.6726084
1.141,-4.601567365,-4.6527929,-4.582075434,-4.6979365,-4.588357963,-4.4577188,-4.585306158,-4.6779227
1.142,-4.600763297,-4.6526327,-4.581269303,-4.709578,-4.587555215,-4.474401,-4.584483631,-4.687911
1.143,-4.599963042,-4.6341262,-4.580466951,-4.6850152,-4.586756281,-4.455986,-4.583664941,-4.6704893
1.144,-4.599166607,-4.6491308,-4.579668389,-4.7293348,-4.585961171,-4.4992552,-4.582850098,-4.6417661
1.145,-4.598374004,-4.6147866,-4.578873625,-4.6937861,-4.585169894,-4.4529676,-4.582039112,-4.6823711
1.146,-4.59758524,-4.6020622,-4.578082668,-4.6678448,-4.584382458,-4.4491949,-4.58123199,-4.6733775
1.147,-4.596800326,-4.5801744,-4.577295526,-4.6347179,-4.583598873,-4.4177179,-4.580428743,-4.6706762
1.148,-4.596019269,-4.6462045,-4.576512211,-4.7096009,-4.582819148,-4.465786,-4.579629379,-4.6603699
1.149,-4.59524208,-4.6425085,-4.575732729,-4.6981173,-4.582043292,-4.4756932,-4.578833907,-4.644177
1.15,-4.594468767,-4.6302028,-4.574957091,-4.7018552,-4.581271314,-4.4657698,-4.578042337,-4.6711378
1.151,-4.59369934,-4.6113644,-4.574185306,-4.6971064,-4.580503224,-4.425293,-4.577254679,-4.650455
1.152,-4.592933808,-4.6415777,-4.573417383,-4.7046065,-4.579739031,-4.4325066,-4.57647094,-4.6781187
1.153,-4.592172181,-4.6069474,-4.572653331,-4.6761374,-4.578978745,-4.4529114,-4.57569113,-4.6712098
1.154,-4.591414467,-4.6319089,-4.57189316,-4.6982751,-4.578222373,-4.4221182,-4.57491526,-4.660109
1.155,-4.590660677,-4.6118221,-4.571136877,-4.6737442,-4.577469926,-4.4438019,-4.574143337,-4.6872334
1.156,-4.589910818,-4.6048498,-4.570384494,-4.6762633,-4.576721414,-4.4288702,-4.573375371,-4.6751881
1.157,-4.589164902,-4.5915594,-4.569636019,-4.6990309,-4.575976844,-4.4351149,-4.572611371,-4.6535082
1.158,-4.588422936,-4.6014829,-4.568891462,-4.6797667,-4.575236228,-4.4215837,-4.571851348,-4.650301
1.159,-4.587684931,-4.6069946,-4.568150831,-4.7103133,-4.574499573,-4.4541845,-4.571095309,-4.6773486
1.16,-4.586950896,-4.6156907,-4.567414136,-4.6721821,-4.57376689,-4.4142642,-4.570343265,-4.6598406
1.161,-4.58622084,-4.5992198,-4.566681387,-4.6852679,-4.573038188,-4.459733,-4.569595225,-4.6475744
1.162,-4.585494773,-4.5973697,-4.565952593,-4.684761,-4.572313476,-4.4258227,-4.568851198,-4.6572995
1.163,-4.584772705,-4.6285439,-4.565227763,-4.7037249,-4.571592764,-4.4491191,-4.568111194,-4.6549473
1.164,-4.584054644,-4.583684,-4.564506907,-4.6874604,-4.570876062,-4.4258933,-4.567375222,-4.6478934
1.165,-4.5833406,-4.622313,-4.563790033,-4.6801267,-4.570163378,-4.4289913,-4.566643291,-4.6516161
1.166,-4.582630584,-4.6037097,-4.563077153,-4.6709042,-4.569454723,-4.4213605,-4.565915412,-4.6504025
1.167,-4.581924603,-4.6017222,-4.562368274,-4.6841645,-4.568750105,-4.424912,-4.565191593,-4.6507301
1.168,-4.581222669,-4.586504,-4.561663407,-4.6831098,-4.568049535,-4.4292741,-4.564471844,-4.6244245
1.169,-4.58052479,-4.6305695,-4.560962561,-4.6912761,-4.567353022,-4.4495249,-4.563756175,-4.643054
1.17,-4.579830977,-4.5935111,-4.560265746,-4.6511636,-4.566660575,-4.4024439,-4.563044595,-4.6465821
1.171,-4.579141238,-4.6182137,-4.559572971,-4.7017217,-4.565972205,-4.4260454,-4.562337114,-4.6496429
1.172,-4.578455584,-4.5951395,-4.558884245,-4.692234,-4.56528792,-4.4366136,-4.561633741,-4.6071644
1.173,-4.577774024,-4.6215172,-4.558199579,-4.6936789,-4.564607731,-4.430841,-4.560934486,-4.6399469
