"Freq [GHz]","dB(S(4,2)) []","dB(S(3,2)) []","dB(S(4,3)) []"
1.173,-5.79463058572644,-7.61730285119901,-7.83269705310437
1.174,-5.79334245890793,-7.61929031740866,-7.83525981423768
1.175,-5.79205060196895,-7.62127774845154,-7.83782264966936
1.176,-5.7907550104364,-7.62326514272059,-7.84038554212276
1.177,-5.78945567984296,-7.62525249861311,-7.84294847430403
1.178,-5.7881526057272,-7.62723981453086,-7.84551142890222
1.179,-5.78684578363353,-7.6292270888802,-7.84807438858921
1.18,-5.78553520911237,-7.6312143200723,-7.85063733601976
1.181,-5.78422087772007,-7.63320150652322,-7.85320025383154
1.182,-5.78290278501902,-7.63518864665409,-7.85576312464512
1.183,-5.7815809265777,-7.63717573889128,-7.85832593106396
1.184,-5.78025529797063,-7.63916278166653,-7.86088865567444
1.185,-5.77892589477857,-7.64114977341712,-7.86345128104585
1.186,-5.7775927125884,-7.64313671258603,-7.86601378973037
1.187,-5.77625574699329,-7.64512359762209,-7.8685761642631
1.188,-5.77491499359267,-7.64711042698017,-7.871138387162
1.189,-5.7735704479923,-7.64909719912129,-7.87370044092788
1.19,-5.7722221058043,-7.65108391251288,-7.87626230804445
1.191,-5.77086996264721,-7.65307056562884,-7.8788239709782
1.192,-5.76951401414607,-7.65505715694981,-7.88138541217842
1.193,-5.76815425593236,-7.65704368496325,-7.88394661407723
1.194,-5.76679068364415,-7.65903014816372,-7.88650755908941
1.195,-5.76542329292612,-7.66101654505296,-7.88906822961251
1.196,-5.76405207942954,-7.66300287414012,-7.89162860802671
1.197,-5.76267703881242,-7.66498913394194,-7.89418867669484
1.198,-5.76129816673948,-7.66697532298291,-7.89674841796227
1.199,-5.75991545888224,-7.66896143979548,-7.89930781415693
1.2,-5.75852891091902,-7.67094748292024,-7.90186684758921
1.201,-5.75713851853505,-7.67293345090608,-7.90442550055194
1.202,-5.75574427742246,-7.67491934231045,-7.90698375532029
1.203,-5.75434618328036,-7.67690515569947,-7.90954159415173
1.204,-5.75294423181488,-7.67889088964818,-7.91209899928598
1.205,-5.75153841873923,-7.68087654274073,-7.91465595294489
1.206,-5.75012873977371,-7.68286211357056,-7.91721243733243
1.207,-5.74871519064582,-7.68484760074061,-7.91976843463455
1.208,-5.74729776709024,-7.68683300286355,-7.92232392701916
1.209,-5.74587646484894,-7.68881831856192,-7.92487889663601
1.21,-5.74445127967123,-7.69080354646843,-7.9274333256166
1.211,-5.74302220731371,-7.69278868522607,-7.92998719607411
1.212,-5.74158924354048,-7.6947737334884,-7.9325404901033
1.213,-5.74015238412305,-7.69675868991972,-7.93509318978039
1.214,-5.73871162484046,-7.6987435531953,-7.93764527716299
1.215,-5.73726696147936,-7.7007283220016,-7.94019673429
1.216,-5.73581838983395,-7.70271299503649,-7.94274754318144
1.217,-5.73436590570618,-7.70469757100946,-7.94529768583845
1.218,-5.73290950490565,-7.70668204864185,-7.94784714424305
1.219,-5.73144918324982,-7.70866642666709,-7.95039590035811
1.22,-5.72998493656388,-7.7106507038309,-7.9529439361272
1.221,-5.72851676068103,-7.71263487889154,-7.95549123347444
1.222,-5.72704465144231,-7.71461895062005,-7.95803777430443
1.223,-5.72556860469677,-7.71660291780046,-7.96058354050205
1.224,-5.72408861630155,-7.71858677923005,-7.96312851393238
1.225,-5.72260468212185,-7.72057053371956,-7.96567267644054
1.226,-5.72111679803105,-7.72255418009344,-7.96821600985151
1.227,-5.71962495991071,-7.72453771719014,-7.97075849597007
1.228,-5.7181291636507,-7.72652114386229,-7.97330011658055
1.229,-5.7166294051492,-7.72850445897696,-7.97584085344676
1.23,-5.71512568031273,-7.73048766141593,-7.97838068831179
1.231,-5.7136179850563,-7.73247075007595,-7.98091960289784
1.232,-5.71210631530339,-7.73445372386894,-7.98345757890609
1.233,-5.71059066698602,-7.7364365817223,-7.98599459801651
1.234,-5.70907103604484,-7.73841932257915,-7.98853064188772
1.235,-5.70754741842915,-7.74040194539858,-7.99106569215674
1.236,-5.70601981009698,-7.7423844491559,-7.99359973043891
1.237,-5.70448820701515,-7.74436683284296,-7.99613273832764
1.238,-5.7029526051593,-7.74634909546834,-7.99866469739424
1.239,-5.70141300051399,-7.74833123605767,-8.00119558918776
1.24,-5.69986938907275,-7.75031325365389,-8.00372539523476
1.241,-5.6983217668381,-7.7522951473175,-8.00625409703912
1.242,-5.69677012982166,-7.75427691612686,-8.00878167608185
1.243,-5.69521447404419,-7.75625855917846,-8.01130811382092
1.244,-5.69365479553568,-7.75824007558719,-8.01383339169099
1.245,-5.69209109033533,-7.76022146448662,-8.01635749110322
1.246,-5.6905233544917,-7.7622027250293,-8.0188803934451
1.247,-5.68895158406275,-7.76418385638701,-8.02140208008016
1.248,-5.68737577511586,-7.7661648577511,-8.02392253234782
1.249,-5.68579592372795,-7.76814572833271,-8.02644173156313
1.25,-5.6842120259855,-7.77012646736313,-8.02895965901653
1.251,-5.68262407798467,-7.77210707409405,-8.03147629597363
1.252,-5.68103207583127,-7.77408754779785,-8.03399162367503
1.253,-5.67943601564091,-7.77606788776795,-8.03650562333594
1.254,-5.67783589353903,-7.77804809331904,-8.03901827614612
1.255,-5.67623170566099,-7.78002816378741,-8.04152956326948
1.256,-5.6746234481521,-7.78200809853129,-8.04403946584391
1.257,-5.67301111716769,-7.7839878969311,-8.04654796498103
1.258,-5.67139470887319,-7.78596755838977,-8.0490550417659
1.259,-5.66977421944423,-7.78794708233308,-8.05156067725674
1.26,-5.66814964506665,-7.78992646820995,-8.05406485248474
1.261,-5.66652098193656,-7.79190571549274,-8.05656754845375
1.262,-5.6648882262605,-7.79388482367758,-8.05906874613999
1.263,-5.66325137425541,-7.79586379228472,-8.06156842649179
1.264,-5.66161042214873,-7.79784262085878,-8.06406657042935
1.265,-5.65996536617849,-7.79982130896912,-8.06656315884438
1.266,-5.65831620259337,-7.80179985621018,-8.06905817259989
1.267,-5.65666292765274,-7.80377826220175,-8.07155159252988
1.268,-5.65500553762679,-7.80575652658935,-8.07404339943898
1.269,-5.65334402879654,-7.80773464904451,-8.07653357410229
1.27,-5.65167839745394,-7.80971262926517,-8.07902209726493
1.271,-5.65000863990195,-7.81169046697595,-8.08150894964185
1.272,-5.6483347524546,-7.81366816192852,-8.08399411191746
1.273,-5.64665673143706,-7.81564571390192,-8.08647756474534
1.274,-5.6449745731857,-7.81762312270294,-8.08895928874793
1.275,-5.64328827404822,-7.81960038816638,-8.0914392645162
1.276,-5.64159783038367,-7.82157751015552,-8.09391747260934
1.277,-5.6399032385625,-7.82355448856233,-8.09639389355441
1.278,-5.63820449496674,-7.8255313233079,-8.09886850784605
1.279,-5.63650159598996,-7.8275080143428,-8.10134129594611
1.28,-5.6347945380374,-7.82948456164737,-8.10381223828333
1.281,-5.63308331752606,-7.83146096523213,-8.10628131525302
1.282,-5.63136793088476,-7.83343722513812,-8.10874850721666
1.283,-5.62964837455417,-7.83541334143722,-8.11121379450161
1.284,-5.627924644987,-7.8373893142326,-8.11367715740074
1.285,-5.62619673864796,-7.83936514365898,-8.11613857617205
1.286,-5.62446465201389,-7.84134082988306,-8.11859803103835
1.287,-5.62272838157387,-7.84331637310387,-8.12105550218689
1.288,-5.62098792382922,-7.84529177355315,-8.12351096976895
1.289,-5.61924327529368,-7.84726703149565,-8.12596441389954
1.29,-5.61749443249338,-7.84924214722964,-8.12841581465699
1.291,-5.61574139196703,-7.85121712108713,-8.13086515208255
1.292,-5.6139841502659,-7.85319195343436,-8.13331240618004
1.293,-5.61222270395399,-7.85516664467213,-8.1357575569155
1.294,-5.61045704960805,-7.85714119523618,-8.13820058421672
1.295,-5.60868718381769,-7.85911560559757,-8.1406414679729
1.296,-5.60691310318545,-7.86108987626309,-8.14308018803428
1.297,-5.6051348043269,-7.86306400777563,-8.14551672421166
1.298,-5.60335228387073,-7.86503800071451,-8.14795105627607
1.299,-5.60156553845878,-7.86701185569601,-8.15038316395834
1.3,-5.59977456474622,-7.86898557337361,-8.15281302694869
1.301,-5.59797935940152,-7.87095915443846,-8.15524062489632
1.302,-5.59617991910666,-7.87293259961979,-8.15766593740896
1.303,-5.59437624055708,-7.87490590968525,-8.16008894405251
1.304,-5.59256832046191,-7.87687908544134,-8.16250962435058
1.305,-5.59075615554395,-7.87885212773383,-8.16492795778406
1.306,-5.58893974253979,-7.88082503744812,-8.16734392379069
1.307,-5.58711907819996,-7.88279781550967,-8.16975750176463
1.308,-5.58529415928888,-7.88477046288439,-8.17216867105601
1.309,-5.58346498258511,-7.88674298057909,-8.17457741097051
1.31,-5.58163154488131,-7.8887153696418,-8.1769837007689
1.311,-5.57979384298442,-7.89068763116231,-8.17938751966658
1.312,-5.57795187371569,-7.89265976627245,-8.18178884683315
1.313,-5.57610563391081,-7.89463177614661,-8.18418766139191
1.314,-5.57425512041998,-7.89660366200208,-8.18658394241945
1.315,-5.57240033010805,-7.8985754250995,-8.18897766894515
1.316,-5.57054125985452,-7.90054706674332,-8.19136881995074
1.317,-5.56867790655372,-7.90251858828213,-8.19375737436978
1.318,-5.56681026711488,-7.90448999110917,-8.19614331108726
1.319,-5.5649383384622,-7.90646127666272,-8.19852660893901
1.32,-5.56306211753498,-7.90843244642651,-8.20090724671134
1.321,-5.56118160128769,-7.91040350193017,-8.20328520314049
1.322,-5.55929678669008,-7.91237444474967,-8.2056604569121
1.323,-5.55740767072728,-7.91434527650771,-8.2080329866608
1.324,-5.5555142503999,-7.91631599887421,-8.21040277096967
1.325,-5.5536165227241,-7.91828661356671,-8.21276978836971
1.326,-5.55171448473171,-7.92025712235079,-8.21513401733941
1.327,-5.54980813347036,-7.92222752704055,-8.21749543630416
1.328,-5.54789746600351,-7.92419782949905,-8.21985402363579
1.329,-5.54598247941062,-7.92616803163868,-8.22220975765202
1.33,-5.5440631707872,-7.92813813542171,-8.22456261661599
1.331,-5.54213953724494,-7.93010814286065,-8.2269125787357
1.332,-5.54021157591183,-7.93207805601873,-8.22925962216345
1.333,-5.53827928393217,-7.93404787701036,-8.23160372499536
1.334,-5.53634265846683,-7.93601760800154,-8.23394486527087
1.335,-5.53440169669318,-7.93798725121036,-8.23628302097209
1.336,-5.53245639580537,-7.93995680890741,-8.23861817002335
1.337,-5.53050675301425,-7.94192628341625,-8.24095029029064
1.338,-5.52855276554765,-7.9438956771139,-8.24327935958103
1.339,-5.52659443065037,-7.94586499243121,-8.24560535564214
1.34,-5.52463174558432,-7.94783423185342,-8.24792825616159
1.341,-5.52266470762865,-7.94980339792055,-8.2502480387664
1.342,-5.52069331407985,-7.95177249322788,-8.2525646810225
1.343,-5.51871756225183,-7.95374152042643,-8.25487816043409
1.344,-5.51673744947605,-7.9557104822234,-8.25718845444312
1.345,-5.51475297310164,-7.95767938138267,-8.25949554042867
1.346,-5.5127641304955,-7.95964822072522,-8.26179939570641
1.347,-5.51077091904242,-7.96161700312962,-8.26409999752802
1.348,-5.50877333614516,-7.96358573153253,-8.26639732308058
1.349,-5.50677137922459,-7.96555440892912,-8.26869134948599
1.35,-5.50476504571985,-7.96752303837356,-8.27098205380038
1.351,-5.50275433308834,-7.96949162297954,-8.27326941301353
1.352,-5.50073923880598,-7.97146016592067,-8.27555340404825
1.353,-5.49871976036719,-7.97342867043099,-8.27783400375979
1.354,-5.49669589528513,-7.97539713980549,-8.28011118893522
1.355,-5.4946676410917,-7.9773655774005,-8.28238493629282
1.356,-5.49263499533777,-7.97933398663426,-8.2846552224815
1.357,-5.4905979555932,-7.98130237098737,-8.28692202408017
1.358,-5.48855651944704,-7.98327073400321,-8.28918531759705
1.359,-5.48651068450755,-7.98523907928853,-8.29144507946917
1.36,-5.48446044840245,-7.98720741051388,-8.29370128606164
1.361,-5.48240580877892,-7.98917573141409,-8.29595391366709
1.362,-5.48034676330381,-7.99114404578879,-8.29820293850498
1.363,-5.47828330966368,-7.99311235750286,-8.30044833672099
1.364,-5.47621544556501,-7.99508067048695,-8.30269008438638
1.365,-5.47414316873425,-7.99704898873797,-8.30492815749736
1.366,-5.47206647691799,-7.99901731631958,-8.3071625319744
