"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
2.821,-12.8238264510909,-0.935991973939541
2.822,-12.8118469199516,-0.936821243281397
2.823,-12.7998738726469,-0.937652327588485
2.824,-12.7879073240738,-0.938485229339954
2.825,-12.7759472890085,-0.939319951015957
2.826,-12.7639937821069,-0.940156495097775
2.827,-12.7520468179054,-0.940994864067707
2.828,-12.7401064108216,-0.941835060409154
2.829,-12.7281725751549,-0.942677086606559
2.83,-12.716245325087,-0.943520945145442
2.831,-12.7043246746829,-0.944366638512376
2.832,-12.6924106378911,-0.945214169195005
2.833,-12.6805032285448,-0.946063539682005
2.834,-12.6686024603619,-0.946914752463148
2.835,-12.6567083469462,-0.947767810029238
2.836,-12.6448209017877,-0.948622714872142
2.837,-12.6329401382634,-0.949479469484767
2.838,-12.6210660696378,-0.950338076361095
2.839,-12.6091987090637,-0.951198537996155
2.84,-12.5973380695827,-0.952060856886025
2.841,-12.5854841641258,-0.952925035527806
2.842,-12.5736370055142,-0.95379107641969
2.843,-12.5617966064595,-0.954658982060884
2.844,-12.549962979565,-0.955528754951658
2.845,-12.5381361373258,-0.956400397593318
2.846,-12.5263160921293,-0.957273912488205
2.847,-12.5145028562562,-0.958149302139712
2.848,-12.5026964418812,-0.959026569052265
2.849,-12.4908968610729,-0.959905715731344
2.85,-12.4791041257951,-0.960786744683439
2.851,-12.4673182479072,-0.961669658416099
2.852,-12.4555392391645,-0.962554459437895
2.853,-12.4437671112194,-0.963441150258427
2.854,-12.4320018756212,-0.964329733388353
2.855,-12.4202435438175,-0.965220211339321
2.856,-12.408492127154,-0.966112586624041
2.857,-12.396747636876,-0.967006861756236
2.858,-12.3850100841278,-0.967903039250649
2.859,-12.3732794799546,-0.968801121623052
2.86,-12.3615558353019,-0.969701111390247
2.861,-12.3498391610168,-0.97060301107005
2.862,-12.3381294678484,-0.971506823181303
2.863,-12.3264267664482,-0.97241255024385
2.864,-12.3147310673707,-0.973320194778572
2.865,-12.3030423810743,-0.974229759307349
2.866,-12.2913607179213,-0.975141246353092
2.867,-12.2796860881791,-0.976054658439709
2.868,-12.2680185020201,-0.976969998092112
2.869,-12.2563579695226,-0.977887267836236
2.87,-12.2447045006716,-0.978806470199032
2.871,-12.2330581053586,-0.979727607708432
2.872,-12.2214187933831,-0.980650682893381
2.873,-12.2097865744521,-0.981575698283832
2.874,-12.1981614581817,-0.982502656410738
2.875,-12.1865434540968,-0.983431559806049
2.876,-12.174932571632,-0.984362411002706
2.877,-12.1633288201322,-0.985295212534648
2.878,-12.1517322088529,-0.986229966936806
2.879,-12.1401427469608,-0.987166676745122
2.88,-12.1285604435346,-0.988105344496503
2.881,-12.116985307565,-0.989045972728845
2.882,-12.1054173479556,-0.989988563981045
2.883,-12.0938565735235,-0.990933120792974
2.884,-12.0823029929995,-0.991879645705502
2.885,-12.0707566150286,-0.992828141260449
2.886,-12.0592174481708,-0.993778610000642
2.887,-12.0476855009017,-0.994731054469877
2.888,-12.0361607816124,-0.995685477212917
2.889,-12.0246432986105,-0.996641880775504
2.89,-12.0131330601206,-0.997600267704358
2.891,-12.0016300742846,-0.998560640547143
2.892,-11.9901343491622,-0.999523001852528
2.893,-11.9786458927315,-1.00048735417011
2.894,-11.9671647128896,-1.00145370005048
2.895,-11.9556908174528,-1.00242204204515
2.896,-11.9442242141573,-1.00339238270665
2.897,-11.9327649106595,-1.0043647245884
2.898,-11.9213129145368,-1.00533907024482
2.899,-11.9098682332877,-1.00631542223127
2.9,-11.8984308743327,-1.00729378310404
2.901,-11.8870008450142,-1.00827415542042
2.902,-11.8755781525975,-1.00925654173858
2.903,-11.8641628042712,-1.01024094461767
2.904,-11.8527548071473,-1.01122736661779
2.905,-11.841354168262,-1.01221581029994
2.906,-11.8299608945763,-1.0132062782261
2.907,-11.8185749929759,-1.01419877295914
2.908,-11.8071964702723,-1.0151932970629
2.909,-11.7958253332026,-1.01618985310213
