Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
2128000000,-21.458227,-19.15278384
2129000000,-21.406712,-19.1523452
2130000000,-21.458357,-19.15185621
2131000000,-21.394932,-19.15131694
2132000000,-21.417168,-19.15072743
2133000000,-21.444607,-19.15008774
2134000000,-21.44615,-19.14939794
2135000000,-21.441162,-19.14865808
2136000000,-21.444191,-19.14786823
2137000000,-21.452314,-19.14702844
2138000000,-21.436148,-19.14613879
2139000000,-21.453678,-19.14519933
2140000000,-21.423399,-19.14421012
2141000000,-21.438604,-19.14317124
2142000000,-21.483677,-19.14208275
2143000000,-21.462549,-19.14094471
2144000000,-21.409245,-19.13975721
2145000000,-21.517178,-19.13852029
2146000000,-21.451237,-19.13723404
2147000000,-21.403582,-19.13589852
2148000000,-21.461336,-19.1345138
2149000000,-21.514177,-19.13307997
2150000000,-21.47686,-19.13159708
2151000000,-21.467442,-19.13006522
2152000000,-21.480467,-19.12848445
2153000000,-21.487776,-19.12685486
2154000000,-21.495224,-19.12517652
2155000000,-21.45223,-19.1234495
2156000000,-21.49091,-19.12167389
2157000000,-21.522951,-19.11984977
2158000000,-21.478664,-19.1179772
2159000000,-21.526327,-19.11605628
2160000000,-21.517378,-19.11408708
2161000000,-21.469133,-19.11206969
2162000000,-21.506651,-19.11000419
2163000000,-21.518692,-19.10789065
2164000000,-21.520731,-19.10572917
2165000000,-21.508352,-19.10351983
2166000000,-21.508785,-19.10126272
2167000000,-21.530777,-19.09895792
2168000000,-21.524979,-19.09660551
2169000000,-21.544836,-19.09420559
2170000000,-21.568846,-19.09175825
2171000000,-21.535002,-19.08926357
2172000000,-21.568079,-19.08672164
2173000000,-21.571163,-19.08413255
2174000000,-21.557194,-19.0814964
2175000000,-21.535906,-19.07881328
2176000000,-21.554871,-19.07608328
2177000000,-21.592909,-19.07330649
2178000000,-21.53754,-19.070483
2179000000,-21.555983,-19.06761292
2180000000,-21.503275,-19.06469634
2181000000,-21.541748,-19.06173335
2182000000,-21.503622,-19.05872405
2183000000,-21.577627,-19.05566854
2184000000,-21.56605,-19.05256691
2185000000,-21.526079,-19.04941926
2186000000,-21.590336,-19.0462257
2187000000,-21.559799,-19.04298633
2188000000,-21.582474,-19.03970123
2189000000,-21.58289,-19.03637053
2190000000,-21.586792,-19.03299431
2191000000,-21.634571,-19.02957268
2192000000,-21.606083,-19.02610574
2193000000,-21.62159,-19.0225936
2194000000,-21.548904,-19.01903636
2195000000,-21.576031,-19.01543412
2196000000,-21.577623,-19.011787
2197000000,-21.571186,-19.00809509
2198000000,-21.540026,-19.00435851
2199000000,-21.631088,-19.00057736
2200000000,-21.593185,-18.99675175
2201000000,-21.589005,-18.99288178
2202000000,-21.57542,-18.98896757
2203000000,-21.585987,-18.98500923
2204000000,-21.648378,-18.98100686
2205000000,-21.580755,-18.97696058
2206000000,-21.563471,-18.9728705
2207000000,-21.611254,-18.96873672
2208000000,-21.61401,-18.96455937
2209000000,-21.592854,-18.96033855
2210000000,-21.604771,-18.95607437
2211000000,-21.610897,-18.95176696
2212000000,-21.598831,-18.94741642
2213000000,-21.527294,-18.94302287
2214000000,-21.554863,-18.93858643
2215000000,-21.629379,-18.9341072
2216000000,-21.613298,-18.92958532
2217000000,-21.574535,-18.92502088
2218000000,-21.58552,-18.92041401
2219000000,-21.587143,-18.91576483
2220000000,-21.579323,-18.91107346
2221000000,-21.547201,-18.90634001
2222000000,-21.549917,-18.9015646
2223000000,-21.617836,-18.89674736
2224000000,-21.590141,-18.89188839
2225000000,-21.566076,-18.88698783
2226000000,-21.618305,-18.88204578
2227000000,-21.588747,-18.87706239
2228000000,-21.582895,-18.87203775
2229000000,-21.563202,-18.866972
2230000000,-21.635223,-18.86186526
2231000000,-21.609198,-18.85671765
2232000000,-21.586233,-18.8515293
2233000000,-21.650536,-18.84630032
2234000000,-21.615416,-18.84103084
2235000000,-21.556982,-18.83572098
2236000000,-21.588097,-18.83037088
2237000000,-21.595427,-18.82498065
2238000000,-21.585964,-18.81955041
2239000000,-21.585001,-18.8140803
2240000000,-21.592865,-18.80857045
2241000000,-21.53776,-18.80302096
2242000000,-21.564608,-18.79743198
2243000000,-21.567266,-18.79180363
2244000000,-21.601351,-18.78613604
2245000000,-21.585871,-18.78042933
2246000000,-21.587078,-18.77468363
2247000000,-21.629269,-18.76889907
