Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1626000000,-8.0349941,-98.157639
1627000000,-8.0366611,-98.458221
1628000000,-8.0437546,-98.320694
1629000000,-8.0505686,-98.533104
1630000000,-8.0251818,-98.773796
1631000000,-8.06952,-98.71981
1632000000,-8.0515547,-98.689323
1633000000,-8.0365658,-98.821747
1634000000,-8.0421486,-98.963066
1635000000,-8.0354176,-99.104111
1636000000,-8.0681381,-99.166824
1637000000,-8.0086603,-99.075409
1638000000,-8.0482264,-99.350807
1639000000,-8.070981,-99.482536
1640000000,-8.1094236,-99.418083
1641000000,-8.0433855,-99.488998
1642000000,-8.0592718,-99.682228
1643000000,-8.1000051,-99.631104
1644000000,-8.0967064,-99.81765
1645000000,-8.1021061,-99.741409
1646000000,-8.116765,-99.982475
1647000000,-8.0614729,-99.962013
1648000000,-8.0913172,-100.03408
1649000000,-8.087451,-100.2562
1650000000,-8.1076794,-100.28428
1651000000,-8.1131001,-100.3114
1652000000,-8.1052809,-100.49034
1653000000,-8.1204491,-100.58517
1654000000,-8.1155767,-100.89384
1655000000,-8.1104507,-100.68943
1656000000,-8.1340742,-100.65647
1657000000,-8.1332197,-100.86803
1658000000,-8.1481323,-100.99731
1659000000,-8.1508884,-101.11609
1660000000,-8.1382761,-101.26576
1661000000,-8.1367216,-101.10279
1662000000,-8.1496563,-101.32766
1663000000,-8.1676397,-101.22382
1664000000,-8.1562176,-101.35085
1665000000,-8.1549349,-101.57528
1666000000,-8.1500483,-101.73741
1667000000,-8.1542978,-101.60793
1668000000,-8.2019281,-101.75418
1669000000,-8.18046,-101.95692
1670000000,-8.1588783,-101.94623
1671000000,-8.1883984,-102.32742
1672000000,-8.1933327,-102.27027
1673000000,-8.2090044,-102.25877
1674000000,-8.1983576,-102.47247
1675000000,-8.198822,-102.54436
1676000000,-8.2285995,-102.49631
1677000000,-8.2083549,-102.8334
1678000000,-8.1910324,-102.69292
1679000000,-8.2344875,-102.71505
1680000000,-8.2454987,-102.81229
1681000000,-8.261384,-102.66856
1682000000,-8.2490673,-102.94668
1683000000,-8.2458258,-103.10186
1684000000,-8.2371769,-103.13036
1685000000,-8.25597,-102.99667
1686000000,-8.2638721,-103.32642
1687000000,-8.2495499,-103.45649
1688000000,-8.2663593,-103.43681
1689000000,-8.2908678,-103.62919
1690000000,-8.2597637,-103.55706
1691000000,-8.2571011,-103.63216
1692000000,-8.2618074,-103.80132
1693000000,-8.3041153,-104.01408
1694000000,-8.2790575,-104.14977
1695000000,-8.2960052,-104.19646
1696000000,-8.2804804,-104.27444
1697000000,-8.2988005,-104.19186
1698000000,-8.3244209,-104.41497
1699000000,-8.303607,-104.56264
1700000000,-8.3085279,-104.57564
1701000000,-8.3218317,-104.54086
1702000000,-8.3510513,-104.75254
1703000000,-8.3267679,-104.84294
1704000000,-8.3327332,-104.82052
1705000000,-8.3668118,-104.85271
1706000000,-8.3368187,-105.23232
1707000000,-8.3646784,-105.39132
1708000000,-8.3112297,-105.45526
1709000000,-8.3656883,-105.50108
1710000000,-8.3562346,-105.55844
1711000000,-8.3616028,-105.43468
1712000000,-8.3338833,-105.6016
1713000000,-8.3817101,-105.61999
1714000000,-8.386981,-105.96132
1715000000,-8.3710604,-105.94365
1716000000,-8.4301634,-106.07575
1717000000,-8.3749456,-106.20074
1718000000,-8.4169846,-106.18976
1719000000,-8.4001198,-106.36169
1720000000,-8.3916435,-106.28957
1721000000,-8.4449253,-106.61339
1722000000,-8.4301558,-106.49887
1723000000,-8.4050922,-106.56221
1724000000,-8.4051504,-106.55949
1725000000,-8.4596891,-106.67966
1726000000,-8.4590158,-107.00484
1727000000,-8.4272041,-106.88763
1728000000,-8.4649839,-106.9712
1729000000,-8.4664106,-107.05973
1730000000,-8.4654474,-107.30798
1731000000,-8.4701576,-107.17593
1732000000,-8.464879,-107.47289
1733000000,-8.4797287,-107.58053
1734000000,-8.4874153,-107.65624
1735000000,-8.4941254,-107.4831
1736000000,-8.4683208,-107.70567
1737000000,-8.5241261,-107.73267
1738000000,-8.4921103,-108.00643
1739000000,-8.5006437,-107.96603
1740000000,-8.5403891,-107.9939
1741000000,-8.5478888,-108.312
1742000000,-8.5295992,-108.36021
1743000000,-8.5137997,-108.57591
1744000000,-8.537035,-108.39344
1745000000,-8.5187321,-108.46528
1746000000,-8.5289917,-108.82639
1747000000,-8.5598269,-108.78264
1748000000,-8.5783234,-108.85865
1749000000,-8.5710859,-108.80471
1750000000,-8.5811405,-108.90504
1751000000,-8.5754833,-109.11357
1752000000,-8.6020212,-109.36134
1753000000,-8.6136713,-109.29935
1754000000,-8.5842209,-109.48949
1755000000,-8.5970745,-109.43296
1756000000,-8.6268682,-109.4945
1757000000,-8.5960321,-109.7263
1758000000,-8.5857935,-109.79544
1759000000,-8.6413794,-109.97887
1760000000,-8.6236143,-110.1052
1761000000,-8.6253309,-110.03193
1762000000,-8.637063,-110.14326
1763000000,-8.6659689,-110.13394
1764000000,-8.6280403,-110.41194
1765000000,-8.6664495,-110.37012
1766000000,-8.6847448,-110.47112
1767000000,-8.6889973,-110.59563
1768000000,-8.6691055,-110.85072
1769000000,-8.6652784,-110.62237
1770000000,-8.6874657,-110.74967
1771000000,-8.7068501,-110.88869
