"Freq [GHz]","dB(S(1,1)) [] - line_width='1mm' reflect_length='10mm'","dB(S(1,1)) [] - line_width='3.09mm' reflect_length='15mm'"
1.35,-0.087991639416391,-0.155360836360548
1.351,-0.0880295425656854,-0.155418367330409
1.352,-0.0880673892940139,-0.155475838776006
1.353,-0.0881051798403163,-0.155533251189671
1.354,-0.0881429144429484,-0.155590605061364
1.355,-0.0881805933396703,-0.155647900878668
1.356,-0.0882182167676596,-0.155705139126831
1.357,-0.0882557849634914,-0.155762320288743
1.358,-0.0882932981631614,-0.155819444844954
1.359,-0.0883307566020742,-0.155876513273681
1.36,-0.0883681605150444,-0.15593352605081
1.361,-0.0884055101363011,-0.155990483649924
1.362,-0.0884428056994815,-0.156047386542271
1.363,-0.088480047437646,-0.156104235196814
1.364,-0.0885172355832572,-0.156161030080212
1.365,-0.0885543703682048,-0.156217771656832
1.366,-0.0885914520237815,-0.156274460388758
1.367,-0.0886284807807024,-0.1563310967358
1.368,-0.0886654568690989,-0.156387681155504
1.369,-0.088702380518519,-0.156444214103146
1.37,-0.0887392519579232,-0.156500696031751
1.371,-0.088776071415702,-0.156557127392103
1.372,-0.0888128391196525,-0.15661350863273
1.373,-0.088849555296997,-0.156669840199944
1.374,-0.0888862201743752,-0.156726122537825
1.375,-0.0889228339778535,-0.156782356088221
1.376,-0.08895939693291,-0.156838541290787
1.377,-0.0889959092644495,-0.156894678582961
1.378,-0.0890323711968021,-0.156950768399982
1.379,-0.0890687829537177,-0.157006811174903
1.38,-0.0891051447583685,-0.157062807338591
1.381,-0.0891414568333532,-0.157118757319729
1.382,-0.0891777194006938,-0.157174661544836
1.383,-0.0892139326818388,-0.157230520438259
1.384,-0.0892500968976667,-0.157286334422196
1.385,-0.0892862122684748,-0.157342103916688
1.386,-0.0893222790139919,-0.157397829339632
1.387,-0.0893582973533759,-0.157453511106793
1.388,-0.0893942675052147,-0.157509149631796
1.389,-0.0894301896875194,-0.157564745326149
1.39,-0.0894660641177363,-0.157620298599247
1.391,-0.0895018910127404,-0.157675809858357
1.392,-0.0895376705888421,-0.157731279508659
1.393,-0.0895734030617732,-0.15778670795323
1.394,-0.0896090886467137,-0.15784209559305
1.395,-0.0896447275582615,-0.157897442827024
1.396,-0.0896803200104573,-0.157952750051974
1.397,-0.0897158662167741,-0.15800801766265
1.398,-0.0897513663901186,-0.15806324605174
1.399,-0.0897868207428389,-0.15811843560987
1.4,-0.089822229486713,-0.15817358672562
1.401,-0.0898575928329605,-0.158228699785515
1.402,-0.0898929109922353,-0.158283775174051
1.403,-0.0899281841746343,-0.158338813273689
1.404,-0.0899634125896882,-0.158393814464851
1.405,-0.0899985964463729,-0.158448779125959
1.406,-0.0900337359531039,-0.158503707633411
1.407,-0.0900688313177339,-0.158558600361594
1.408,-0.0901038827475631,-0.158613457682903
1.409,-0.0901388904493287,-0.158668279967739
1.41,-0.0901738546292194,-0.158723067584499
1.411,-0.0902087754928589,-0.158777820899618
1.412,-0.0902436532453232,-0.158832540277542
1.413,-0.0902784880911254,-0.158887226080752
1.414,-0.0903132802342336,-0.158941878669765
1.415,-0.0903480298780568,-0.15899649840314
1.416,-0.0903827372254535,-0.159051085637486
1.417,-0.0904174024787343,-0.159105640727466
1.418,-0.0904520258396497,-0.159160164025808
1.419,-0.0904866075094073,-0.159214655883305
1.42,-0.0905211476886631,-0.159269116648818
1.421,-0.0905556465775223,-0.159323546669296
1.422,-0.0905901043755474,-0.159377946289766
1.423,-0.0906245212817481,-0.159432315853353
1.424,-0.0906588974945855,-0.159486655701279
1.425,-0.0906932332119825,-0.159540966172867
1.426,-0.0907275286313063,-0.159595247605548
1.427,-0.0907617839493911,-0.159649500334871
1.428,-0.090795999362519,-0.15970372469451
1.429,-0.0908301750664304,-0.159757921016257
1.43,-0.0908643112563224,-0.159812089630049
1.431,-0.0908984081268578,-0.159866230863959
1.432,-0.0909324658721477,-0.159920345044199
