Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),,S11 BSF HFSS Mag,S21 BSF HFSS Mag
1296000000,-15.054521,-0.4909071,,-18.94065531,-0.772970249
1297000000,-15.130586,-0.51225996,,-18.94302671,-0.773581166
1298000000,-15.137865,-0.51449722,,-18.94570551,-0.774188757
1299000000,-15.123528,-0.52698755,,-18.94869272,-0.774793021
1300000000,-15.09871,-0.49973956,,-18.9519894,-0.775393958
1301000000,-15.184354,-0.50095308,,-18.95559661,-0.775991567
1302000000,-15.107173,-0.48381892,,-18.95951547,-0.776585847
1303000000,-15.209143,-0.48648411,,-18.96374712,-0.777176798
1304000000,-15.144406,-0.48783872,,-18.96829273,-0.777764422
1305000000,-15.233807,-0.52203268,,-18.97315351,-0.778348719
1306000000,-15.216881,-0.51560378,,-18.97833069,-0.778929692
1307000000,-15.18534,-0.47850433,,-18.98382556,-0.779507343
1308000000,-15.171371,-0.49488688,,-18.9896394,-0.780081674
1309000000,-15.222099,-0.49562743,,-18.99577357,-0.780652689
1310000000,-15.261776,-0.52034402,,-19.00222944,-0.781220392
1311000000,-15.286799,-0.48454458,,-19.00900842,-0.781784788
1312000000,-15.300983,-0.51861989,,-19.01611195,-0.78234588
1313000000,-15.277361,-0.49863482,,-19.02354151,-0.782903676
1314000000,-15.280485,-0.48644161,,-19.03129864,-0.78345818
1315000000,-15.314968,-0.4886269,,-19.03938487,-0.784009399
1316000000,-15.333179,-0.52436727,,-19.04780181,-0.784557342
1317000000,-15.335149,-0.52525425,,-19.05655109,-0.785102014
1318000000,-15.387774,-0.50429541,,-19.06563438,-0.785643425
1319000000,-15.329997,-0.47485715,,-19.07505339,-0.786181584
1320000000,-15.325817,-0.46282154,,-19.08480987,-0.786716499
1321000000,-15.457441,-0.51079738,,-19.09490562,-0.787248181
1322000000,-15.399856,-0.48167211,,-19.10534247,-0.787776641
1323000000,-15.448509,-0.4860999,,-19.11612229,-0.788301889
1324000000,-15.426478,-0.49667856,,-19.12724701,-0.788823938
