frequency, S11, S21,, S22, S12
1265987840,-9.750461576,-0.782012002,,-9.772323507,-0.782009424
1266987776,-9.74393631,-0.783094869,,-9.765720657,-0.783092935
1267987712,-9.737424769,-0.78417592,,-9.759120581,-0.784177854
1268987648,-9.730911945,-0.785269337,,-9.752539875,-0.785269337
1269987584,-9.724404936,-0.786353847,,-9.745961917,-0.786353202
1270987520,-9.71789507,-0.787444278,,-9.739380391,-0.787444278
1271987456,-9.711402033,-0.788532894,,-9.732801615,-0.788532249
1272987392,-9.704908489,-0.789621628,,-9.726234259,-0.789620983
1273987328,-9.69843095,-0.790711125,,-9.719676728,-0.790709835
1274987264,-9.691942678,-0.791804612,,-9.713130578,-0.791804612
1275987200,-9.685467249,-0.792896929,,-9.70656511,-0.792895638
1276987136,-9.678995226,-0.793989364,,-9.70003068,-0.793988074
1277987072,-9.672525037,-0.795084501,,-9.693489517,-0.79508321
1278987008,-9.666066083,-0.796172657,,-9.686944779,-0.796175239
1279986944,-9.659611299,-0.797274488,,-9.680425507,-0.797273843
1280986880,-9.653151288,-0.798371921,,-9.673893231,-0.798368048
1281986816,-9.646707959,-0.799468183,,-9.667376974,-0.799468183
1282986752,-9.640261746,-0.800567794,,-9.660856346,-0.800565212
1283986688,-9.633826714,-0.801665589,,-9.654350923,-0.801666235
1284986624,-9.627395821,-0.80276415,,-9.647847384,-0.802764796
1285986560,-9.620966721,-0.803865415,,-9.641344163,-0.803863478
1286986496,-9.614547987,-0.804968094,,-9.634850636,-0.80496551
1287986432,-9.608117012,-0.806072187,,-9.628360543,-0.806069602
1288986368,-9.601702626,-0.807175109,,-9.621875439,-0.807174463
1289986304,-9.595293908,-0.808278153,,-9.615381285,-0.808276214
1290986240,-9.588883852,-0.809383903,,-9.608907706,-0.809380672
1291986176,-9.582485671,-0.81048913,,-9.602438316,-0.810488483
1292986112,-9.576093912,-0.811594478,,-9.59598011,-0.811595771
1293986048,-9.569692267,-0.812703182,,-9.589507411,-0.812704475
1294985984,-9.56330635,-0.813810715,,-9.583045116,-0.813813301
1295985920,-9.556918309,-0.814922251,,-9.576593206,-0.814922251
1296985856,-9.550538218,-0.816033264,,-9.570143904,-0.816032617
1297985792,-9.544158326,-0.817148281,,-9.563691779,-0.81714634
1298985728,-9.537787142,-0.818258247,,-9.55725544,-0.818260187
1299985664,-9.531416149,-0.819372218,,-9.550817044,-0.819372865
1300985600,-9.525050758,-0.820485019,,-9.544382018,-0.820486313
1301985536,-9.518687872,-0.821603768,,-9.537948035,-0.821603121
1302985472,-9.512334433,-0.822717465,,-9.531527466,-0.822720053
1303985408,-9.505974234,-0.823839052,,-9.525100973,-0.823837111
1304985344,-9.499621929,-0.82495494,,-9.51867552,-0.82495494
1305985280,-9.493278278,-0.826075484,,-9.512269623,-0.826078073
1306985216,-9.486931722,-0.827196153,,-9.505852407,-0.827196153
1307985152,-9.480594576,-0.828319538,,-9.499453946,-0.828320833
1308985088,-9.474255293,-0.82944564,,-9.493057267,-0.829443697
1309985024,-9.467926172,-0.830567982,,-9.48665775,-0.830569925
1310984960,-9.461598751,-0.83169369,,-9.480270017,-0.831694337
1311984896,-9.45526229,-0.832822763,,-9.47387099,-0.83281758
1312984832,-9.448946707,-0.833946132,,-9.467486041,-0.833943541
1313984768,-9.442622086,-0.835074163,,-9.461092884,-0.835073516
1314984704,-9.436306057,-0.836205562,,-9.454713017,-0.836201026
1315984640,-9.429999371,-0.837335145,,-9.448343351,-0.837335793
1316984576,-9.423682894,-0.838464207,,-9.441960884,-0.838466799
1317984512,-9.41738034,-0.839601175,,-9.435593973,-0.83959923
1318984448,-9.411069535,-0.840733086,,-9.42921887,-0.840733086
1319984384,-9.40477416,-0.84187161,,-9.422865417,-0.841869664
1320984320,-9.39848122,-0.843005075,,-9.416503771,-0.843008966
1321984256,-9.39218004,-0.844146451,,-9.410143878,-0.844143857
1322984192,-9.385885114,-0.845282768,,-9.403789554,-0.845285363
1323984128,-9.379597954,-0.846424405,,-9.397444604,-0.846421161
1324984064,-9.373311702,-0.847566171,,-9.391093006,-0.847563576
1325984000,-9.367030159,-0.848706122,,-9.384746963,-0.848706122
1326983936,-9.36074724,-0.849848798,,-9.37840799,-0.849851393
1327983872,-9.354470544,-0.850993551,,-9.372066185,-0.850996796
1328983808,-9.34819399,-0.852140383,,-9.365729921,-0.852141032
1329983744,-9.341917581,-0.853288645,,-9.359394629,-0.853289294
1330983680,-9.335648141,-0.854438986,,-9.353059551,-0.854438337
1331983616,-9.329379599,-0.855584914,,-9.346734556,-0.855584265
1332983552,-9.323116498,-0.856736169,,-9.34040294,-0.856738766
1333983488,-9.316845968,-0.857892102,,-9.334092006,-0.857895349
1334983424,-9.31058466,-0.85904687,,-9.327775962,-0.859049468
1335983360,-9.304318202,-0.860201772,,-9.321451037,-0.860200472
1336983296,-9.298059445,-0.861360055,,-9.315127084,-0.861359405
1337983232,-9.291804603,-0.862516523,,-9.308823003,-0.862518472
1338983168,-9.285547636,-0.863673774,,-9.302501739,-0.863673774
1339983104,-9.279295335,-0.864835709,,-9.296187489,-0.864834409
1340983040,-9.273052968,-0.865992579,,-9.289884769,-0.865996479
1341982976,-9.266800944,-0.867163233,,-9.283594315,-0.867163233
1342982912,-9.260552826,-0.868326224,,-9.277286713,-0.868327524
1343982848,-9.254305602,-0.86949065,,-9.270979321,-0.869488699
1344982784,-9.248062279,-0.870655862,,-9.264673647,-0.870653911
1345982720,-9.2418221,-0.871825112,,-9.258371947,-0.871823811
1346982656,-9.235579808,-0.872999701,,-9.252094512,-0.8729971
1347982592,-9.229345911,-0.874166623,,-9.245789462,-0.874166623
1348982528,-9.223109902,-0.87534409,,-9.239507906,-0.875344741
1349982464,-9.216868789,-0.876519094,,-9.233216787,-0.876516491
1350982400,-9.210634564,-0.877694235,,-9.226931124,-0.877696187
1351982336,-9.204404222,-0.878872769,,-9.220641915,-0.878873419
1352982272,-9.198170284,-0.88005079,,-9.214365646,-0.880054044
1353982208,-9.19192902,-0.881233507,,-9.208084332,-0.881238064
1354982144,-9.185709572,-0.882417015,,-9.201799482,-0.882414411
1355982080,-9.179483541,-0.883601965,,-9.195522316,-0.883602616
1356982016,-9.173252435,-0.884786405,,-9.189237136,-0.884785102
1357981952,-9.167034898,-0.885969682,,-9.182959637,-0.885973589
