!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:26:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2340000000,-12.815529,-3.4485724,84.210625,-9.8646364
2341000000,-12.777227,-3.5547767,82.854012,-9.4790506
2342000000,-12.802844,-3.689163,81.445518,-8.9814329
2343000000,-12.829793,-3.7656429,80.103516,-8.6983337
2344000000,-12.857557,-3.8330851,79.238365,-8.1242504
2345000000,-12.949941,-3.8594289,78.311066,-7.5518856
2346000000,-12.994137,-3.8226578,77.660072,-7.118434
2347000000,-13.030056,-3.7839413,77.412003,-6.5134921
2348000000,-13.0745,-3.7030895,77.151054,-6.0450306
2349000000,-13.071617,-3.6035361,77.338593,-5.8375769
2350000000,-13.043434,-3.4730844,77.245277,-5.6152539
2351000000,-12.970224,-3.3395724,77.389084,-5.6329722
2352000000,-12.837741,-3.218621,77.349831,-5.8378415
2353000000,-12.691434,-3.0442402,77.031479,-6.0063348
2354000000,-12.520031,-2.884984,76.741074,-6.5286832
2355000000,-12.390809,-2.70752,76.056641,-7.1163721
2356000000,-12.191545,-2.5429189,75.056381,-8.1025105
2357000000,-12.02514,-2.3904202,73.811462,-9.0967598
2358000000,-11.884301,-2.2650926,72.329811,-10.531538
2359000000,-11.847952,-2.1413858,70.733002,-11.966451
2360000000,-11.832597,-2.0836751,69.371101,-13.401842
2361000000,-11.815698,-2.0294631,67.668549,-15.053568
2362000000,-11.899527,-2.0368593,66.48127,-16.891459
2363000000,-11.99271,-2.0580184,65.616219,-18.49894
2364000000,-12.080039,-2.1439614,64.969826,-19.848339
2365000000,-12.142104,-2.1966894,64.416672,-21.223547
2366000000,-12.172064,-2.2880223,64.244125,-22.697369
2367000000,-12.236322,-2.4297528,64.354797,-23.780958
2368000000,-12.159411,-2.5775738,64.402527,-24.838972
2369000000,-12.169745,-2.7406974,64.411819,-25.536205
2370000000,-12.069428,-2.8511195,64.33107,-26.127062
2371000000,-11.934268,-3.0347688,64.157829,-26.4673
2372000000,-11.849541,-3.1891024,63.520397,-26.825029
2373000000,-11.756093,-3.3075528,63.067352,-26.926224
2374000000,-11.636724,-3.4415205,61.881432,-26.551245
2375000000,-11.548647,-3.5538776,61.03653,-26.164272
2376000000,-11.491114,-3.6403782,59.970924,-25.977448
2377000000,-11.500881,-3.6309831,58.916489,-25.268471
