frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
4176801536.0000000000, -92.5408087424, 57.8426657780, 57.8426657780, 57.8426657780, 0.4776227964, 44.7541193750, 57.8426609209, 44.7541145180, 0.4776425280
4177801472.0000000000, -92.6476729714, 57.7717823783, 57.7717823783, 57.7717823783, 0.3269106881, 44.7635517145, 57.7717775213, 44.7635468575, 0.3269016950
4178801408.0000000000, -92.7545469146, 57.7008795506, 57.7008795506, 57.7008795506, 0.1760437432, 44.7728917705, 57.7008844076, 44.7729063416, 0.1760303863
4179801344.0000000000, -92.8613820015, 57.6300155790, 57.6300155790, 57.6300155790, 0.0250869433, 44.7822172555, 57.6300155790, 44.7822123984, 0.0250940676
4180801280.0000000000, -92.9682268024, 57.5591370364, 57.5591370364, 57.5591467505, -0.1260022104, 44.7914601710, 57.5591370364, 44.7914601710, -0.1259968696
4181801216.0000000000, -93.0750813175, 57.4882633508, 57.4882633508, 57.4882633508, -0.2772134538, 44.8006448023, 57.4882633508, 44.8006593733, -0.2772188041
4182801152.0000000000, -93.1819261184, 57.4173750941, 57.4173750941, 57.4173848082, -0.4285727415, 44.8097954344, 57.4173848082, 44.8097954344, -0.4285816966
4183801088.0000000000, -93.2887903475, 57.3464916945, 57.3464916945, 57.3464916945, -0.5800925576, 44.8188634971, 57.3465014086, 44.8188634971, -0.5800731675
4184801024.0000000000, -93.3956254344, 57.2756422940, 57.2756422940, 57.2756422940, -0.7316511540, 44.8278684185, 57.2756374370, 44.8278684185, -0.7316599574
4185800960.0000000000, -93.5024410932, 57.2047734655, 57.2047734655, 57.2047734655, -0.8833849448, 44.8368150556, 57.2047734655, 44.8368296267, -0.8833991364
4186800896.0000000000, -93.6092761802, 57.1339240650, 57.1339192080, 57.1339192080, -1.0352277909, 44.8457131225, 57.1339192080, 44.8456985514, -1.0352102601
4187800832.0000000000, -93.7161209811, 57.0630552364, 57.0630600934, 57.0630552364, -1.1872155130, 44.8545529051, 57.0630552364, 44.8545334770, -1.1872014731
4188800768.0000000000, -93.8229269259, 56.9921961219, 56.9921961219, 56.9921961219, -1.3393295176, 44.8632858332, 56.9921961219, 44.8633052613, -1.3393313390
4189800704.0000000000, -93.9297620128, 56.9213467214, 56.9213467214, 56.9213515784, -1.4915208552, 44.8720187613, 56.9213564354, 44.8720236183, -1.4915307210
4190800640.0000000000, -94.0365873857, 56.8504973209, 56.8504973209, 56.8504924639, -1.6438835546, 44.8806788340, 56.8504924639, 44.8806836910, -1.6438955454
4191800576.0000000000, -94.1434321867, 56.7796236353, 56.7796187783, 56.7796236353, -1.7964320352, 44.8892903365, 56.7796187783, 44.8892709084, -1.7964226247
