"Freq [GHz]","ang_deg(S(1,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(1,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'"
4.154,133.438065257506,177.515438071402,177.515438072035,142.804758858818
4.155,133.216532970885,177.30185652057,177.30185652119,142.569097019064
4.156,132.995010621259,177.088266170652,177.088266171259,142.333448057579
4.157,132.773497973192,176.874666577551,176.874666578146,142.097811758717
4.158,132.551994791319,176.66105730046,176.661057301042,141.862187906684
4.159,132.330500840353,176.447437901818,176.447437902388,141.626576285542
4.16,132.10901588508,176.233807947249,176.233807947807,141.390976679208
4.161,131.887539690356,176.020167005514,176.02016700606,141.15538887145
4.162,131.66607202111,175.806514648461,175.806514648995,140.919812645889
4.163,131.444612642344,175.592850450972,175.592850451493,140.684247785999
4.164,131.223161319128,175.379173990909,175.37917399142,140.448694075107
4.165,131.001717816601,175.165484849075,175.165484849574,140.21315129639
4.166,130.780281899972,174.951782609157,174.951782609643,139.977619232877
4.167,130.558853334519,174.738066857679,174.738066858155,139.742097667445
4.168,130.337431885583,174.52433718396,174.524337184425,139.506586382824
4.169,130.116017318577,174.310593180061,174.310593180516,139.271085161593
4.17,129.894609398975,174.096834440744,174.096834441187,139.035593786179
4.171,129.673207892319,173.883060563423,173.883060563855,138.800112038858
4.172,129.451812564212,173.669271148121,173.669271148543,138.564639701754
4.173,129.230423180324,173.455465797431,173.455465797841,138.329176556841
4.174,129.009039506386,173.241644116462,173.241644116861,138.093722385937
4.175,128.787661308188,173.027805712805,173.027805713195,137.858276970708
4.176,128.566288351586,172.813950196489,172.81395019687,137.622840092669
4.177,128.344920402494,172.600077179938,172.600077180307,137.387411533176
4.178,128.123557226885,172.386186277929,172.386186278288,137.151991073433
4.179,127.902198590791,172.172277107556,172.172277107905,136.91657849449
4.18,127.680844260304,171.958349288185,171.958349288524,136.681173577241
4.181,127.459494001571,171.74440244142,171.744402441749,136.445776102422
4.182,127.238147580796,171.530436191058,171.530436191378,136.210385850614
4.183,127.01680476424,171.316450163059,171.31645016337,135.975002602242
4.184,126.795465318218,171.102443985499,171.1024439858,135.739626137572
4.185,126.574129009099,170.88841728854,170.888417288833,135.504256236712
4.186,126.352795603308,170.674369704393,170.674369704677,135.268892679614
4.187,126.13146486732,170.460300867277,170.460300867551,135.033535246068
4.188,125.910136567662,170.246210413386,170.246210413651,134.798183715708
4.189,125.688810470916,170.032097980858,170.032097981114,134.562837868005
4.19,125.467486343709,169.817963209732,169.817963209981,134.327497482273
4.191,125.246163952723,169.603805741923,169.603805742162,134.092162337663
4.192,125.024843064686,169.38962522118,169.389625221411,133.856832213165
4.193,124.803523446376,169.175421293061,169.175421293283,133.621506887609
4.194,124.582204864617,168.961193604891,168.961193605105,133.386186139662
4.195,124.360887086281,168.74694180574,168.746941805945,133.150869747827
4.196,124.139569878286,168.532665546381,168.532665546579,132.915557490446
4.197,123.918253007595,168.318364479268,168.318364479457,132.680249145697
4.198,123.696936241216,168.104038258497,168.104038258678,132.444944491593
4.199,123.475619346202,167.889686539781,167.889686539954,132.209643305984
4.2,123.254302089645,167.675308980417,167.675308980583,131.974345366554
4.201,123.032984238685,167.460905239257,167.460905239416,131.739050450821
4.202,122.811665560499,167.246474976681,167.246474976831,131.503758336139
4.203,122.590345822309,167.032017854562,167.032017854705,131.268468799695
4.204,122.369024791373,166.817533536246,166.817533536381,131.033181618508
4.205,122.147702234992,166.603021686515,166.603021686643,130.79789656943
4.206,121.926377920503,166.388481971566,166.388481971686,130.562613429146
4.207,121.705051615284,166.173914058982,166.173914059095,130.327331974172
4.208,121.483723086748,165.959317617702,165.959317617808,130.092051980856
4.209,121.262392102345,165.744692317998,165.744692318098,129.856773225376
4.21,121.041058429561,165.530037831447,165.53003783154,129.62149548374
4.211,120.819721835916,165.315353830905,165.315353830991,129.386218531787
4.212,120.598382088966,165.100639990484,165.100639990563,129.150942145184
4.213,120.377038956301,164.88589598552,164.885895985593,128.915666099427
4.214,120.155692205541,164.671121492559,164.671121492626,128.680390169841
4.215,119.93434160434,164.456316189322,164.456316189382,128.445114131579
4.216,119.712986920385,164.241479754685,164.241479754739,128.20983775962
4.217,119.49162792139,164.026611868658,164.026611868704,127.974560828772
4.218,119.270264375102,163.811712212355,163.811712212396,127.739283113666
4.219,119.048896049297,163.596780467978,163.596780468013,127.504004388763
4.22,118.827522711776,163.381816318787,163.381816318815,127.268724428346
4.221,118.606144130373,163.166819449084,163.166819449106,127.033443006524
4.222,118.384760072945,162.951789544185,162.951789544202,126.798159897233
4.223,118.163370307376,162.736726290402,162.736726290413,126.562874874228
4.224,117.941974601579,162.521629375019,162.521629375024,126.327587711092
4.225,117.720572723487,162.306498486272,162.306498486271,126.092298181228
4.226,117.49916444106,162.091333313325,162.091333313319,125.857006057863
4.227,117.277749522281,161.876133546255,161.876133546242,125.621711114045
4.228,117.056327735155,161.660898876022,161.660898876006,125.386413122645
4.229,116.834898847709,161.445628994463,161.44562899444,125.151111856353
4.23,116.613462627993,161.230323594254,161.230323594226,124.915807087681
4.231,116.392018844075,161.014982368905,161.014982368871,124.68049858896
4.232,116.170567264045,160.799605012733,160.799605012695,124.445186132342
4.233,115.94910765601,160.584191220846,160.584191220803,124.209869489796
4.234,115.727639788097,160.368740689122,160.368740689074,123.974548433111
4.235,115.50616342845,160.153253114191,160.153253114137,123.739222733894
4.236,115.284678345229,159.937728193414,159.937728193356,123.503892163567
4.237,115.063184306613,159.722165624873,159.722165624809,123.268556493374
4.238,114.841681080794,159.506565107341,159.506565107273,123.033215494371
4.239,114.620168435979,159.290926340272,159.2909263402,122.797868937432
4.24,114.39864614039,159.075249023785,159.075249023708,122.562516593246
4.241,114.177113962261,158.859532858639,158.859532858558,122.327158232317
4.242,113.955571669841,158.643777546222,158.643777546137,122.091793624965
4.243,113.734019031387,158.427982788534,158.427982788444,121.856422541321
4.244,113.512455815172,158.212148288166,158.212148288071,121.621044751333
4.245,113.290881789476,157.996273748288,157.996273748189,121.38566002476
4.246,113.06929672259,157.780358872629,157.780358872526,121.150268131173
4.247,112.847700382814,157.564403365467,157.56440336536,120.914868839957
4.248,112.626092538455,157.348406931605,157.348406931493,120.679461920307
4.249,112.40447295783,157.132369276361,157.132369276246,120.444047141229
4.25,112.182841409261,156.916290105553,156.916290105434,120.20862427154
