"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(1,2)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]"
2.308,132.894636449524,34.5464871156886,34.5464871156836,106.667228439545
2.309,132.580504594152,34.2763804831428,34.276380483139,106.426407990517
2.31,132.266288998706,34.0061418957139,34.0061418957114,106.185433006669
2.311,131.951989572723,33.7357710776819,33.7357710776806,105.944303206162
2.312,131.637606225496,33.4652677532035,33.4652677532034,105.703018306182
2.313,131.323138866073,33.1946316463205,33.1946316463217,105.461578022951
2.314,131.008587403249,32.9238624809652,32.9238624809676,105.219982071736
2.315,130.693951745561,32.6529599809715,32.6529599809753,104.978230166867
2.316,130.379231801285,32.3819238700803,32.3819238700853,104.736322021743
2.317,130.064427478428,32.1107538719487,32.1107538719551,104.494257348849
2.318,129.749538684724,31.8394497101577,31.8394497101653,104.252035859768
2.319,129.434565327631,31.5680111082203,31.5680111082292,104.009657265192
2.32,129.119507314327,31.2964377895905,31.2964377896007,103.767121274934
2.321,128.804364551704,31.0247294776716,31.0247294776832,103.524427597945
2.322,128.489136946361,30.7528858958234,30.7528858958364,103.281575942322
2.323,128.173824404608,30.4809067673733,30.4809067673876,103.038566015324
2.324,127.858426832457,30.2087918156229,30.2087918156385,102.795397523384
2.325,127.542944135619,29.9365407638577,29.9365407638748,102.55207017212
2.326,127.227376219501,29.6641533353568,29.6641533353752,102.308583666353
2.327,126.911722989205,29.3916292534005,29.3916292534204,102.064937710115
2.328,126.595984349522,29.1189682412807,29.1189682413019,101.821132006666
2.329,126.280160204931,28.84617002231,28.8461700223327,101.577166258506
2.33,125.964250459597,28.5732343198305,28.5732343198545,101.333040167387
2.331,125.648255017368,28.3001608572241,28.3001608572495,101.088753434331
2.332,125.332173781771,28.026949357922,28.0269493579489,100.844305759639
2.333,125.016006656016,27.7535995454141,27.7535995454424,100.599696842906
2.334,124.699753542987,27.4801111432592,27.4801111432889,100.354926383036
2.335,124.383414345245,27.2064838750952,27.2064838751263,100.109994078256
2.336,124.066988965026,26.9327174646486,26.9327174646812,99.8648996261293
2.337,123.750477304239,26.658811635746,26.6588116357801,99.6196427235684
2.338,123.433879264467,26.3847661123222,26.3847661123577,99.374223066851
2.339,123.117194746963,26.1105806184335,26.1105806184705,99.1286403516349
