Freq(Hz),S11 Phase_copper strip,S11 Phase_HFSS,S11 Phase_milled,S11 Phase_z0lver
1403000000,179.79163,-134.1127461,-58.251125,-152.7358135
1404000000,179.76302,-134.2090275,-58.290134,-152.9342909
1405000000,179.87582,-134.3060643,-58.479698,-153.1328363
1406000000,179.75655,-134.4038957,-58.858479,-153.3313817
1407000000,179.69055,-134.5025591,-58.961136,-153.5300049
1408000000,179.62782,-134.6020903,-59.52417,-153.7286571
1409000000,179.35588,-134.7025235,-59.485458,-153.9273579
1410000000,179.28906,-134.8038915,-59.953442,-154.1261948
1411000000,179.30493,-134.9062254,-60.175579,-154.3249539
1412000000,179.69159,-135.009555,-60.699898,-154.5237421
1413000000,179.49608,-135.1139085,-60.855892,-154.722579
1414000000,179.56367,-135.2193129,-60.953728,-154.9214643
1415000000,179.51945,-135.3257937,-61.490929,-155.1203303
1416000000,179.40651,-135.4333751,-61.622028,-155.3192254
1417000000,179.42804,-135.54208,-61.670372,-155.5181302
1418000000,179.03333,-135.65193,-61.9697,-155.7170836
1419000000,179.10031,-135.7629457,-62.437683,-155.9159885
1420000000,179.0752,-135.8751462,-62.414913,-156.115039
1421000000,179.00543,-135.9885496,-62.954353,-156.3139341
1422000000,178.79787,-136.1031728,-63.029102,-156.5128875
1423000000,179.04898,-136.2190319,-63.514423,-156.711802
1424000000,178.93199,-136.3361415,-63.850834,-156.9107846
1425000000,178.74443,-136.4545156,-63.818932,-157.1097088
1426000000,178.71136,-136.5741668,-64.136276,-157.3086525
1427000000,178.98433,-136.6951071,-64.684593,-157.5074699
1428000000,178.74681,-136.8173475,-64.709015,-157.7063747
1429000000,178.59541,-136.9408978,-65.14106,-157.9051533
1430000000,178.08162,-137.0657674,-65.180809,-158.1039609
1431000000,178.36914,-137.1919646,-65.575333,-158.3026618
1432000000,178.39078,-137.3194968,-65.89547,-158.5012849
1433000000,178.20152,-137.4483709,-66.210136,-158.6998691
1434000000,178.3954,-137.5785929,-66.52227,-158.8984048
1435000000,178.43948,-137.710168,-66.69725,-159.0969502
1436000000,178.28987,-137.8431008,-67.167587,-159.2952528
1437000000,178.19057,-137.9773953,-67.336319,-159.4935262
1438000000,177.90199,-138.1130548,-67.408592,-159.6916442
1439000000,178.2023,-138.2500818,-67.718369,-159.889733
1440000000,177.63232,-138.3884786,-68.039162,-160.0876859
1441000000,177.84569,-138.5282465,-68.448921,-160.2855124
1442000000,177.89806,-138.6693865,-68.62764,-160.4832321
1443000000,177.71063,-138.8118991,-68.984406,-160.680777
1444000000,177.62024,-138.9557842,-69.249023,-160.8781081
1445000000,177.33266,-139.1010412,-69.566841,-161.075313
1446000000,177.28349,-139.2476692,-69.822021,-161.2723624
1447000000,177.59877,-139.3956666,-69.969582,-161.4691593
1448000000,177.41463,-139.5450315,-70.342934,-161.6657813
1449000000,177.16995,-139.6957618,-70.696648,-161.8622091
1450000000,177.11246,-139.8478547,-70.856758,-162.0583454
1451000000,177.14688,-140.0013072,-71.244102,-162.2542
1452000000,176.8618,-140.156116,-71.653221,-162.4497244
1453000000,176.70982,-140.3122773,-71.688492,-162.6451515
1454000000,176.99928,-140.4697871,-72.00293,-162.8402582
1455000000,176.55226,-140.628641,-72.404961,-163.0348305
1456000000,176.60809,-140.7888346,-72.590347,-163.2292863
1457000000,176.66364,-140.9503628,-72.82132,-163.4232953
1458000000,176.34502,-141.1132206,-73.223068,-163.6168574
1459000000,176.39792,-141.2774026,-73.623932,-163.810128
1460000000,176.36436,-141.4429032,-73.69458,-164.0028353
1461000000,176.35204,-141.6097165,-74.058678,-164.1950763
1462000000,176.29825,-141.7778365,-74.331718,-164.3869481
1463000000,176.05003,-141.9472571,-74.530197,-164.578276
1464000000,175.86639,-142.1179718,-74.983467,-164.7689822
1465000000,175.40845,-142.289974,-75.061188,-164.9590472
1466000000,175.73785,-142.4632571,-75.333435,-165.1486848
1467000000,175.59367,-142.6378141,-75.739647,-165.3376036
1468000000,175.4805,-142.8136381,-76.226379,-165.5257841
1469000000,175.39253,-142.9907218,-76.478096,-165.7132069
1470000000,175.33284,-143.169058,-76.497383,-165.8998526
1471000000,175.15143,-143.3486394,-76.913422,-166.0857989
1472000000,174.97951,-143.5294584,-77.068382,-166.2706378
1473000000,174.99736,-143.7115076,-77.611847,-166.4547384
1474000000,175.0497,-143.8947791,-77.913673,-166.6379259
1475000000,174.77365,-144.0792653,-78.228745,-166.8198894
1476000000,174.75137,-144.2649583,-78.388405,-167.000901
1477000000,174.34926,-144.4518503,-78.711304,-167.1807274
1478000000,174.729,-144.6399333,-78.897392,-167.3591356
1479000000,174.38698,-144.8291993,-79.515945,-167.5364364
1480000000,174.21375,-145.0196403,-79.377937,-167.7121052
1481000000,174.32602,-145.2112482,-80.021454,-167.8864918
1482000000,174.33772,-145.4040147,-80.244293,-168.0591881
1483000000,174.02322,-145.5979319,-80.342026,-168.2301748
1484000000,173.73413,-145.7929914,-80.853043,-168.399374
1485000000,173.89709,-145.9891851,-81.08007,-168.5668053
1486000000,173.74017,-146.1865047,-81.461067,-168.7320801
1487000000,173.84175,-146.3849421,-81.603104,-168.8950041
1488000000,173.51991,-146.5844888,-81.948143,-169.0557716
1489000000,173.28206,-146.7851368,-82.296318,-169.213994
1490000000,173.35727,-146.9868777,-82.603607,-169.3695742
1491000000,173.09543,-147.1897032,-82.865288,-169.5221624
1492000000,172.92839,-147.3936052,-83.336411,-169.6717005
1493000000,173.07481,-147.5985753,-83.370064,-169.8178774
1494000000,172.92235,-147.8046054,-83.958778,-169.9604019
1495000000,172.66527,-148.0116871,-84.092201,-170.0990797
1496000000,172.90471,-148.2198124,-84.120735,-170.2335804
1497000000,172.45346,-148.428973,-84.600891,-170.3636514
1498000000,172.52547,-148.6391607,-84.814331,-170.4890015
1499000000,172.29268,-148.8503674,-85.423592,-170.6086786
1500000000,172.13823,-149.062585,-85.47229,-170.7228575
1501000000,172.14426,-149.2758055,-85.576828,-170.8308971
1502000000,172.08133,-149.4900206,-85.946411,-170.9320009
1503000000,171.75148,-149.7052225,-86.471863,-171.0255277
1504000000,171.68112,-149.9214031,-86.610283,-171.1109725
1505000000,171.57271,-150.1385545,-86.992264,-171.1875775
1506000000,171.50957,-150.3566687,-87.285156,-171.2540021
1507000000,171.68217,-150.5757379,-87.658615,-171.3100327
1508000000,171.48233,-150.7957542,-87.712311,-171.3532797
1509000000,171.46233,-151.0167098,-88.096886,-171.3834709
1510000000,170.92969,-151.2385969,-88.549217,-171.3984694
1511000000,170.95071,-151.4614078,-88.526314,-171.3967597
1512000000,171.00925,-151.6851348,-88.91124,-171.3759328
1513000000,170.81956,-151.9097704,-89.246544,-171.3339099
1514000000,170.76402,-152.1353068,-89.586861,-171.2678349
1515000000,170.49277,-152.3617366,-89.926697,-171.1739584
1516000000,170.32864,-152.5890522,-90.284798,-171.0487637
1517000000,170.18935,-152.8172461,-90.359192,-170.8864809
1518000000,170.01527,-153.0463111,-90.816879,-170.6822139
1519000000,169.93079,-153.2762397,-91.27327,-170.4282693
1520000000,169.93437,-153.5070245,-91.192108,-170.1157101
1521000000,169.62175,-153.7386584,-91.78981,-169.7328601
1522000000,169.67215,-153.9711341,-91.958008,-169.2671881
1523000000,169.51764,-154.2044444,-92.284447,-168.6977701
1524000000,169.31044,-154.4385822,-92.45031,-168.0030215
1525000000,169.59483,-154.6735404,-92.594337,-167.1499533
1526000000,169.09839,-154.9093121,-93.043396,-166.0956295
1527000000,169.22913,-155.1458902,-93.445518,-164.7817659
1528000000,168.96426,-155.3832678,-93.62043,-163.122393
1529000000,168.5358,-155.621438,-94.103958,-160.9940647
1530000000,168.81384,-155.8603941,-94.337936,-158.209844
1531000000,168.6302,-156.1001291,-94.568268,-154.4781832
1532000000,168.3894,-156.3406365,-94.635902,-149.3392873
1533000000,168.02165,-156.5819095,-95.211464,-142.0450582
1534000000,168.21509,-156.8239414,-95.413765,-131.4877349
1535000000,168.29666,-157.0667258,-95.706947,-116.4129428
1536000000,167.81625,-157.310256,-95.955078,-96.97345459
1537000000,167.64163,-157.5545256,-96.245186,-76.71530536
1538000000,167.54674,-157.7995281,-96.569351,-60.02757347
1539000000,167.28551,-158.0452571,-97.03968,-48.08629971
1540000000,167.5253,-158.2917063,-97.116737,-39.85439302
1541000000,167.26584,-158.5388695,-97.49884,-34.10451513
1542000000,167.17023,-158.7867403,-97.784996,-29.97035766
1543000000,166.99512,-159.0353125,-98.165306,-26.91552793
1544000000,167.02005,-159.28458,-98.296822,-24.59738723
1545000000,166.56679,-159.5345366,-98.671616,-22.80313721
1546000000,166.53735,-159.7851764,-99.16172,-21.39122479
1547000000,166.37642,-160.0364933,-99.31073,-20.26418286
1548000000,166.49294,-160.2884812,-99.498337,-19.3565849
1549000000,166.30072,-160.5411343,-99.872276,-18.62003308
1550000000,166.25189,-160.7944467,-100.10998,-18.02028298
1551000000,166.07576,-161.0484126,-100.31461,-17.53016196
1552000000,166.0049,-161.303026,-100.62086,-17.13015329
1553000000,165.54228,-161.5582813,-101.04382,-16.80487479
1554000000,165.6317,-161.8141728,-101.28379,-16.54240246
1555000000,165.50883,-162.0706948,-101.50395,-16.33280248
1556000000,165.17126,-162.3278416,-101.93239,-16.16859744
1557000000,165.31723,-162.5856076,-102.0139,-16.04328988
1558000000,164.92935,-162.8439873,-102.66956,-15.951446
1559000000,165.10045,-163.1029752,-102.81442,-15.88956266
1560000000,164.69658,-163.3625658,-103.15624,-15.85330984
1561000000,164.91273,-163.6227537,-103.34856,-15.83978303
1562000000,164.54335,-163.8835335,-103.60366,-15.84638494
1563000000,164.44385,-164.1448997,-103.60004,-15.87101005
1564000000,164.26738,-164.4068472,-104.18516,-15.91191225
1565000000,164.34488,-164.6693705,-104.36658,-15.96734668
1566000000,163.8333,-164.9324646,-104.72198,-16.03603106
1567000000,163.81468,-165.196124,-104.93826,-16.11647551
1568000000,163.66507,-165.4603438,-105.44674,-16.20750584
1569000000,163.73402,-165.7251187,-105.4778,-16.30830729
1570000000,163.52783,-165.9904436,-105.99014,-16.41822295
1571000000,163.54124,-166.2563135,-106.1193,-16.53653032
