Freq(Hz),S31(dB)_milled,S31(dB)_HFSS,S31(dB)_z0lver
1379000000,-3.2978554,-3.399766041,-3.722788027
1380000000,-3.2943864,-3.399745398,-3.722419592
1381000000,-3.3238397,-3.399725095,-3.722048577
1382000000,-3.2874339,-3.399705132,-3.721681899
1383000000,-3.2909613,-3.39968551,-3.721315235
1384000000,-3.2875969,-3.399666229,-3.720945125
1385000000,-3.2816491,-3.39964729,-3.720577623
1386000000,-3.2762461,-3.399628692,-3.720210135
1387000000,-3.2999437,-3.399610436,-3.719843524
1388000000,-3.3035131,-3.399592522,-3.719476063
1389000000,-3.2844713,-3.399574951,-3.719109479
1390000000,-3.3031194,-3.399557722,-3.718739451
1391000000,-3.2960706,-3.399540837,-3.71837203
1392000000,-3.3035593,-3.399524296,-3.718003758
1393000000,-3.2925491,-3.399508098,-3.717638958
1394000000,-3.2871337,-3.399492245,-3.717269849
1395000000,-3.2665579,-3.399476736,-3.716902482
1396000000,-3.2748015,-3.399461573,-3.716534264
1397000000,-3.316293,-3.399446754,-3.71616606
1398000000,-3.2888744,-3.399432281,-3.715799598
1399000000,-3.2655599,-3.399418154,-3.715433149
1400000000,-3.3052082,-3.399404374,-3.71506585
1401000000,-3.2860069,-3.399390939,-3.714700292
1402000000,-3.2767382,-3.399377852,-3.71433302
1403000000,-3.2779837,-3.399365112,-3.713964896
1404000000,-3.2925255,-3.39935272,-3.713598515
1405000000,-3.2855122,-3.399340675,-3.713231283
1406000000,-3.295444,-3.399328979,-3.712865792
1407000000,-3.3071225,-3.399317631,-3.712500315
1408000000,-3.2936218,-3.399306633,-3.712133123
1409000000,-3.2721705,-3.399295983,-3.711766809
1410000000,-3.2817729,-3.399285683,-3.711400508
1411000000,-3.2637906,-3.399275734,-3.711034221
1412000000,-3.2820573,-3.399266134,-3.710667083
1413000000,-3.2789025,-3.399256885,-3.710299958
1414000000,-3.2785244,-3.399247987,-3.709934575
1415000000,-3.2755094,-3.39923944,-3.70956575
1416000000,-3.243103,-3.399231245,-3.709202121
1417000000,-3.2639544,-3.399223402,-3.708835914
1418000000,-3.2657187,-3.399215912,-3.708471448
1419000000,-3.2852647,-3.399208774,-3.708106131
1420000000,-3.3040166,-3.399201989,-3.707738237
1421000000,-3.263525,-3.399195557,-3.707372947
1422000000,-3.2746778,-3.399189479,-3.707007671
1423000000,-3.2555654,-3.399183756,-3.706642408
1424000000,-3.2752295,-3.399178386,-3.706277158
1425000000,-3.2769425,-3.399173372,-3.705911921
1426000000,-3.2808645,-3.399168712,-3.705544971
1427000000,-3.2966955,-3.399164408,-3.705180625
1428000000,-3.2566574,-3.39916046,-3.704814565
1429000000,-3.2640557,-3.399156868,-3.704449382
1430000000,-3.2940595,-3.399153633,-3.704085939
1431000000,-3.2675173,-3.399150754,-3.703720783
1432000000,-3.2729578,-3.399148233,-3.703353913
1433000000,-3.2988987,-3.399146069,-3.702991373
1434000000,-3.2929857,-3.399144264,-3.702626257
1435000000,-3.2610836,-3.399142816,-3.702261153
1436000000,-3.2688508,-3.399141727,-3.701898653
1437000000,-3.2812309,-3.399140998,-3.701532713
1438000000,-3.2797282,-3.399140627,-3.701166787
1439000000,-3.2994039,-3.399140617,-3.700805189
1440000000,-3.2932556,-3.399140966,-3.700440152
1441000000,-3.2968984,-3.399141676,-3.700075992
1442000000,-3.2879653,-3.399142746,-3.699712708
1443000000,-3.2766852,-3.399144178,-3.699347711
1444000000,-3.2693284,-3.399145972,-3.698984453
1445000000,-3.2714732,-3.399148127,-3.698621209
1446000000,-3.2817538,-3.399150644,-3.698257114
1447000000,-3.2606263,-3.399153525,-3.697893034
1448000000,-3.2646585,-3.399156768,-3.697528966
1449000000,-3.2861464,-3.399160374,-3.697167499
1450000000,-3.2934637,-3.399164344,-3.696803458
1451000000,-3.2849226,-3.399168679,-3.696440293
1452000000,-3.2646251,-3.399173377,-3.696077141
1453000000,-3.290221,-3.399178441,-3.695714002
1454000000,-3.2787507,-3.39918387,-3.695351738
1455000000,-3.2914667,-3.399189664,-3.694989488
1456000000,-3.2882531,-3.399195824,-3.694626389
1457000000,-3.2580688,-3.399202351,-3.69426244
