Freq,Thru2,Thru,S180,S90
1.444,-17.979467,-23.228916,-30.846304,-26.045206
1.445,-17.981102,-23.313658,-30.818165,-26.079819
1.446,-17.985937,-23.270226,-30.76375,-26.125191
1.447,-17.989592,-23.3312,-30.974407,-26.210922
1.448,-17.918407,-23.17371,-30.696236,-26.085873
1.449,-17.986942,-23.346931,-30.931404,-26.321873
1.45,-18.000481,-23.316181,-31.204905,-26.517105
1.451,-17.991846,-23.21327,-31.27565,-26.455219
1.452,-17.988701,-23.241949,-31.263777,-26.506792
1.453,-17.941425,-23.281511,-31.340353,-26.507172
1.454,-17.961861,-23.264387,-31.536741,-26.577602
1.455,-17.974602,-23.223766,-31.878229,-26.82629
1.456,-17.939764,-23.281576,-31.945982,-26.778048
1.457,-17.936924,-23.258728,-32.210518,-26.816496
1.458,-17.925999,-23.213095,-32.245872,-26.755707
1.459,-17.906073,-23.179565,-32.391041,-26.817663
1.46,-17.896538,-23.246725,-32.654747,-26.923927
1.461,-17.909815,-23.164846,-32.683258,-26.862207
1.462,-17.920832,-23.218092,-33.108162,-27.126717
1.463,-17.905035,-23.246723,-33.074951,-27.131197
1.464,-17.919716,-23.200043,-33.26722,-27.241388
1.465,-17.88769,-23.304445,-32.76078,-27.150944
1.466,-17.897106,-23.263462,-32.764038,-27.2153
1.467,-17.914238,-23.200619,-32.74691,-27.461159
1.468,-17.925348,-23.18494,-32.747345,-27.610424
1.469,-17.891403,-23.166101,-32.421085,-27.501802
1.47,-17.903147,-23.207237,-32.052429,-27.655809
1.471,-17.889441,-23.178453,-31.659748,-27.591663
1.472,-17.836784,-23.321335,-31.147724,-27.572046
1.473,-17.881519,-23.207678,-31.068615,-27.706324
1.474,-17.88171,-23.295565,-30.626997,-27.88695
1.475,-17.853037,-23.282122,-30.496536,-27.760366
1.476,-17.892023,-23.23431,-30.216536,-27.984158
1.477,-17.883106,-23.29608,-29.888432,-28.035055
1.478,-17.88925,-23.233425,-29.687191,-28.057657
1.479,-17.930676,-23.252794,-29.584028,-28.313536
1.48,-17.892363,-23.255598,-29.214558,-28.122877
1.481,-17.883585,-23.358089,-28.964535,-28.288158
1.482,-17.945566,-23.311638,-28.920572,-28.490267
1.483,-17.844994,-23.229927,-28.463795,-28.216642
1.484,-17.887806,-23.31432,-28.290367,-28.484961
1.485,-17.894173,-23.279724,-28.269892,-28.510014
1.486,-17.849697,-23.322662,-27.988054,-28.49181
1.487,-17.918018,-23.296947,-28.027277,-28.760248
1.488,-17.945969,-23.327866,-27.82143,-28.977968
1.489,-17.891264,-23.323006,-27.588478,-28.811607
1.49,-17.901703,-23.262217,-27.51405,-28.960667
1.491,-17.912689,-23.238314,-27.363441,-28.942251
1.492,-17.936943,-23.341997,-27.22864,-29.151543
1.493,-17.911291,-23.24942,-27.022768,-29.161518
1.494,-17.889223,-23.271303,-26.894081,-29.214378
1.495,-17.882244,-23.20817,-26.726345,-29.32963
