"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
4.125,-18.8946707738635,-3.69646997078569,-17.7956903217275,-3.70683992824598,-30.7284757942046,-17.6035844836154
4.126,-18.908321680028,-3.69639448606273,-17.7975511419457,-3.70678669158417,-30.6933061270473,-17.6049796057623
4.127,-18.9219950416454,-3.69631921597865,-17.7993975150898,-3.70673371483047,-30.6582319144344,-17.6063603868518
4.128,-18.9356908965812,-3.69624416100769,-17.8012293983004,-3.70668099865107,-30.6232529483535,-17.6077267869011
4.129,-18.9494092827678,-3.69616932162249,-17.8030467488025,-3.70662854371071,-30.5883690144076,-17.6090787660103
4.13,-18.9631502382037,-3.696094698294,-17.8048495239066,-3.70657635067269,-30.553579892059,-17.6104162843635
4.131,-18.9769138009525,-3.69602029149159,-17.8066376810086,-3.70652442019893,-30.5188853548663,-17.6117393022291
4.132,-18.9907000091414,-3.69594610168298,-17.8084111775916,-3.70647275294989,-30.4842851707146,-17.6130477799604
4.133,-19.0045089009602,-3.6958721293343,-17.8101699712257,-3.70642134958463,-30.4497791020387,-17.6143416779967
4.134,-19.0183405146605,-3.69579837491008,-17.811914019569,-3.7063702107608,-30.4153669060403,-17.6156209568636
4.135,-19.0321948885539,-3.6957248388732,-17.8136432803686,-3.70631933713464,-30.3810483348989,-17.616885577174
4.136,-19.0460720610112,-3.695651521685,-17.8153577114608,-3.706268729361,-30.3468231359758,-17.6181354996281
4.137,-19.0599720704611,-3.69557842380523,-17.8170572707724,-3.70621838809331,-30.3126910520138,-17.6193706850148
4.138,-19.0738949553887,-3.69550554569201,-17.8187419163208,-3.70616831398363,-30.278651821329,-17.6205910942122
4.139,-19.0878407543344,-3.69543288780195,-17.8204116062151,-3.70611850768261,-30.2447051779989,-17.6217966881876
4.14,-19.1018095058927,-3.69536045059004,-17.8220662986566,-3.70606896983952,-30.2108508520435,-17.6229874279992
4.141,-19.1158012487103,-3.69528823450974,-17.8237059519397,-3.70601970110225,-30.1770885696023,-17.6241632747959
4.142,-19.1298160214855,-3.69521624001293,-17.8253305244525,-3.70597070211733,-30.1434180531053,-17.6253241898182
4.143,-19.143853862966,-3.69514446754997,-17.8269399746774,-3.70592197352988,-30.109839021439,-17.6264701343993
4.144,-19.157914811948,-3.69507291756965,-17.8285342611918,-3.70587351598369,-30.0763511901084,-17.6276010699649
4.145,-19.1719989072745,-3.69500159051926,-17.830113342669,-3.70582533012117,-30.0429542713925,-17.6287169580345
4.146,-19.186106187834,-3.69493048684453,-17.8316771778786,-3.70577741658337,-30.0096479744973,-17.6298177602218
4.147,-19.2002366925584,-3.69485960698968,-17.8332257256874,-3.70572977600997,-29.9764320057024,-17.6309034382354
4.148,-19.2143904604222,-3.69478895139744,-17.8347589450601,-3.70568240903934,-29.9433060685042,-17.6319739538794
4.149,-19.2285675304403,-3.69471852050901,-17.8362767950598,-3.70563531630849,-29.9102698637546,-17.6330292690539
4.15,-19.2427679416668,-3.69464831476407,-17.8377792348488,-3.70558849845306,-29.8773230897959,-17.634069345756
4.151,-19.256991733193,-3.69457833460085,-17.8392662236891,-3.7055419561074,-29.8444654425906,-17.63509414608
4.152,-19.2712389441458,-3.69450858045609,-17.8407377209434,-3.7054956899045,-29.8116966158488,-17.6361036322184
4.153,-19.2855096136861,-3.69443905276502,-17.8421936860756,-3.70544970047603,-29.7790163011501,-17.6370977664622
4.154,-19.2998037810069,-3.69436975196143,-17.8436340786514,-3.70540398845235,-29.7464241880638,-17.6380765112017
