Freq,S21_HFSS,S31_HFSS,S32_HFSS,S21_Milled,S31_Milled,S32_Milled
1.254,-3.457922282,-3.450417935,-8.474495367,-3.3372588,-3.3299575,-11.539649
1.255,-3.457901311,-3.450408642,-8.478697441,-3.2847416,-3.2897093,-11.505107
1.256,-3.457880487,-3.450399482,-8.482899231,-3.3038275,-3.296854,-11.513577
1.257,-3.457859809,-3.450390455,-8.487100739,-3.3080649,-3.2833509,-11.50036
1.258,-3.457839278,-3.45038156,-8.491301969,-3.2855904,-3.2793648,-11.529825
1.259,-3.457818892,-3.450372798,-8.495502925,-3.3165705,-3.2907395,-11.537996
1.26,-3.457798652,-3.450364166,-8.499703609,-3.3144634,-3.2778728,-11.56813
1.261,-3.457778556,-3.450355666,-8.503904026,-3.3098125,-3.3204634,-11.575989
1.262,-3.457758605,-3.450347296,-8.508104179,-3.3197045,-3.2901883,-11.56179
1.263,-3.457738797,-3.450339055,-8.51230407,-3.2929432,-3.2870495,-11.545028
1.264,-3.457719133,-3.450330944,-8.516503704,-3.3210411,-3.3165987,-11.585882
1.265,-3.457699611,-3.45032296,-8.520703084,-3.3111937,-3.2876003,-11.577779
1.266,-3.457680232,-3.450315105,-8.524902213,-3.3219867,-3.3023624,-11.597495
1.267,-3.457660995,-3.450307377,-8.529101094,-3.3104491,-3.3011107,-11.578665
1.268,-3.457641899,-3.450299776,-8.533299732,-3.2878478,-3.2924278,-11.601113
1.269,-3.457622944,-3.450292301,-8.537498129,-3.3079991,-3.2717938,-11.573347
1.27,-3.45760413,-3.450284951,-8.54169629,-3.3351245,-3.3249006,-11.674026
1.271,-3.457585455,-3.450277726,-8.545894216,-3.3427534,-3.3158586,-11.631222
1.272,-3.45756692,-3.450270626,-8.550091913,-3.3164928,-3.3038394,-11.624829
1.273,-3.457548525,-3.45026365,-8.554289383,-3.3091218,-3.2893014,-11.659373
1.274,-3.457530268,-3.450256796,-8.55848663,-3.2942197,-3.2832782,-11.642654
1.275,-3.457512149,-3.450250066,-8.562683657,-3.309433,-3.2898338,-11.638885
1.276,-3.457494167,-3.450243457,-8.566880469,-3.3289404,-3.3254118,-11.68793
1.277,-3.457476323,-3.45023697,-8.571077067,-3.3137484,-3.2968335,-11.657631
1.278,-3.457458616,-3.450230604,-8.575273456,-3.3117292,-3.2770638,-11.651483
1.279,-3.457441045,-3.450224359,-8.57946964,-3.3058178,-3.2782605,-11.702495
1.28,-3.457423609,-3.450218233,-8.583665622,-3.2992556,-3.2853973,-11.675127
