!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:01:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1412000000,-3.2820573,-130.84593
1413000000,-3.2789025,-130.93733
1414000000,-3.2785244,-130.9478
1415000000,-3.2755094,-131.11984
1416000000,-3.243103,-131.21992
1417000000,-3.2639544,-131.28419
1418000000,-3.2657187,-131.38632
1419000000,-3.2852647,-131.58897
1420000000,-3.3040166,-131.28564
1421000000,-3.263525,-131.66823
1422000000,-3.2746778,-131.66354
1423000000,-3.2555654,-131.688
1424000000,-3.2752295,-131.98862
1425000000,-3.2769425,-131.931
1426000000,-3.2808645,-132.10535
1427000000,-3.2966955,-132.04222
1428000000,-3.2566574,-132.24593
1429000000,-3.2640557,-132.25177
1430000000,-3.2940595,-132.31415
1431000000,-3.2675173,-132.61597
1432000000,-3.2729578,-132.59581
1433000000,-3.2988987,-132.69865
1434000000,-3.2929857,-132.78433
1435000000,-3.2610836,-132.85585
1436000000,-3.2688508,-133.07088
1437000000,-3.2812309,-133.05
1438000000,-3.2797282,-133.20183
1439000000,-3.2994039,-133.44395
1440000000,-3.2932556,-133.42682
1441000000,-3.2968984,-133.42975
1442000000,-3.2879653,-133.4449
1443000000,-3.2766852,-133.80814
1444000000,-3.2693284,-133.59766
1445000000,-3.2714732,-133.8074
1446000000,-3.2817538,-133.98027
1447000000,-3.2606263,-133.91107
1448000000,-3.2646585,-134.17526
1449000000,-3.2861464,-134.26822
1450000000,-3.2934637,-134.36986
1451000000,-3.2849226,-134.54483
1452000000,-3.2646251,-134.56898
1453000000,-3.290221,-134.70885
1454000000,-3.2787507,-134.76332
1455000000,-3.2914667,-134.86653
1456000000,-3.2882531,-134.94128
1457000000,-3.2580688,-135.01338
1458000000,-3.2819991,-135.15332
1459000000,-3.3057983,-135.26125
1460000000,-3.2850807,-134.99178
1461000000,-3.265167,-135.62213
1462000000,-3.2700641,-135.44751
1463000000,-3.2970312,-135.53085
1464000000,-3.2717247,-135.64693
1465000000,-3.2928045,-135.84276
1466000000,-3.2869463,-135.70961
1467000000,-3.2700236,-135.86797
1468000000,-3.257865,-136.07112
1469000000,-3.2733548,-136.29482
1470000000,-3.274519,-136.2507
1471000000,-3.2672641,-136.38882
1472000000,-3.256362,-136.49292
1473000000,-3.2618959,-136.56158
1474000000,-3.2669358,-136.51106
1475000000,-3.2953506,-136.9158
1476000000,-3.247936,-136.74359
1477000000,-3.2878861,-136.73059
1478000000,-3.30935,-136.91724
1479000000,-3.2892325,-137.11748
1480000000,-3.2827303,-137.26701
1481000000,-3.2611866,-137.23361
1482000000,-3.2590814,-137.55569
1483000000,-3.2873518,-137.46628
1484000000,-3.2537358,-137.48529
1485000000,-3.2626598,-137.59955
1486000000,-3.2756011,-137.64832
1487000000,-3.2862782,-137.90407
1488000000,-3.3001559,-137.72633
1489000000,-3.2630544,-137.99989
1490000000,-3.2558928,-137.92456
1491000000,-3.2729731,-138.29312
1492000000,-3.2703629,-138.31752
1493000000,-3.2598045,-138.26616
1494000000,-3.2900722,-138.33046
1495000000,-3.2760077,-138.50523
1496000000,-3.2766137,-138.57449
1497000000,-3.2774315,-138.82326
1498000000,-3.2670996,-138.77707
1499000000,-3.2679391,-139.00908
1500000000,-3.2797554,-139.24008
1501000000,-3.2840004,-139.15071
1502000000,-3.2889438,-139.21317
1503000000,-3.2549753,-139.22008
1504000000,-3.2630022,-139.3606
1505000000,-3.278738,-139.6409
1506000000,-3.3047669,-139.57683
1507000000,-3.2620447,-139.83571
1508000000,-3.2623527,-139.81583
1509000000,-3.2574708,-139.92599
1510000000,-3.2713845,-139.9753
1511000000,-3.2891088,-139.95773
1512000000,-3.267349,-140.05096
1513000000,-3.2746546,-140.23694
1514000000,-3.2533317,-140.23418
1515000000,-3.2747369,-140.42804
1516000000,-3.2749295,-140.57797
1517000000,-3.283287,-140.59796
1518000000,-3.2574112,-140.49437
1519000000,-3.2744477,-140.52631
1520000000,-3.2333477,-140.79312
1521000000,-3.277004,-141.06662
1522000000,-3.2791867,-141.12259
1523000000,-3.2808821,-141.2793
1524000000,-3.2873302,-141.26057
1525000000,-3.2649586,-141.29195
1526000000,-3.2562454,-141.68765
1527000000,-3.2864561,-141.63445
1528000000,-3.2874868,-141.49309
1529000000,-3.271595,-141.72475
1530000000,-3.2866199,-141.81311
1531000000,-3.2832439,-142.02837
1532000000,-3.2664177,-141.99182
1533000000,-3.2782507,-142.01811
1534000000,-3.2728252,-142.21461
1535000000,-3.2711794,-142.28839
1536000000,-3.2433555,-142.50745
1537000000,-3.2636092,-142.65121
1538000000,-3.2492158,-142.54971
1539000000,-3.2799084,-142.59367
1540000000,-3.2700338,-142.79788
1541000000,-3.2746806,-142.95192
1542000000,-3.2844424,-142.75175
1543000000,-3.2951152,-143.22552
1544000000,-3.2675483,-143.15335
1545000000,-3.284693,-143.30606
1546000000,-3.251184,-143.41818
1547000000,-3.2797873,-143.54849
1548000000,-3.2603271,-143.34738
1549000000,-3.2672892,-143.67279
1550000000,-3.3065269,-143.85971
1551000000,-3.2584152,-143.83865
1552000000,-3.2476256,-143.9068
1553000000,-3.276845,-143.94014
1554000000,-3.2633345,-143.92511
1555000000,-3.2672458,-144.1463
1556000000,-3.2443841,-144.12033
1557000000,-3.2656097,-144.44298
