Freq(Hz),S21 Log Mag(dB),S21 Phase,S11 Log Mag(dB),S11 Phase
1380000000,-0.44113505,91.047119,-22.933449,158.761
1381000000,-0.41843989,90.859634,-22.825108,158.89577
1382000000,-0.4310883,90.661652,-22.806898,159.78401
1383000000,-0.42546153,90.419868,-22.765491,159.95502
1384000000,-0.43895835,90.17057,-22.523094,160.92244
1385000000,-0.44676793,90.16481,-22.618902,161.45862
1386000000,-0.45426735,89.81765,-22.557467,161.02911
1387000000,-0.43372625,89.497581,-22.450758,161.71255
1388000000,-0.43494305,89.408661,-22.363701,162.5005
1389000000,-0.45949569,89.371857,-22.306108,163.4278
1390000000,-0.42577815,89.041634,-22.220797,163.16479
1391000000,-0.459425,88.771988,-22.1406,163.57259
1392000000,-0.46708801,88.505249,-22.087864,164.0896
1393000000,-0.43597528,88.391968,-21.973515,164.06606
1394000000,-0.44618011,88.16111,-22.003099,165.10835
1395000000,-0.45037025,88.058647,-21.869324,164.75267
1396000000,-0.44874546,87.946564,-21.750645,165.09564
1397000000,-0.45743361,87.700089,-21.72209,165.63954
1398000000,-0.47040662,87.488342,-21.704189,165.69609
1399000000,-0.43778393,87.193878,-21.563538,166.04572
1400000000,-0.48378029,86.761742,-21.485197,165.25385
1401000000,-0.48352078,86.778313,-21.380064,166.57254
1402000000,-0.47315165,86.612686,-21.4041,166.32599
1403000000,-0.45928571,86.21582,-21.313288,166.51906
1404000000,-0.44869497,86.181618,-21.216503,167.05717
1405000000,-0.438743,85.928299,-21.055252,166.78192
1406000000,-0.48152372,85.693176,-21.060804,166.5296
1407000000,-0.48548982,85.556808,-21.016447,167.33417
1408000000,-0.47856545,85.306641,-20.888805,167.26155
1409000000,-0.48175079,85.163162,-20.853447,167.4458
1410000000,-0.48609948,85.142998,-20.860533,167.91412
1411000000,-0.49866292,84.782639,-20.754225,167.76123
1412000000,-0.49528331,84.513428,-20.664539,167.27463
1413000000,-0.48941892,84.383972,-20.724953,167.6792
1414000000,-0.49941495,84.227859,-20.651739,168.12128
1415000000,-0.48471314,84.026337,-20.636011,167.9843
1416000000,-0.50168818,83.769257,-20.685753,168.70892
1417000000,-0.51439011,83.742134,-20.604918,168.26837
1418000000,-0.50264823,83.555389,-20.603687,168.24901
1419000000,-0.50001907,83.321167,-20.619383,168.92159
1420000000,-0.49610335,83.311584,-20.525501,169.79057
1421000000,-0.52390724,83.045433,-20.539795,169.69122
1422000000,-0.49787429,82.915001,-20.433329,170.43253
1423000000,-0.49602452,82.786255,-20.425297,170.25404
1424000000,-0.49999821,82.511314,-20.371506,171.00545
1425000000,-0.52942246,82.226219,-20.354015,171.35988
1426000000,-0.51069546,81.995903,-20.288473,171.46056
1427000000,-0.48446915,81.787048,-20.233133,171.92975
1428000000,-0.52101922,81.759521,-20.252012,172.61739
1429000000,-0.49563682,81.413292,-20.098291,172.42378
1430000000,-0.49449646,81.320206,-20.059132,173.38469
1431000000,-0.50631118,81.006165,-19.918583,173.45316
1432000000,-0.48027691,80.790543,-19.822092,173.54991
1433000000,-0.51580071,80.835785,-19.863813,174.70834
1434000000,-0.48506644,80.347618,-19.731976,174.86908
1435000000,-0.50074536,80.348694,-19.697153,174.5298
1436000000,-0.48712662,79.981445,-19.621103,174.56821
1437000000,-0.47108972,79.896347,-19.570675,174.60754
1438000000,-0.50235635,79.479744,-19.543003,175.26254
1439000000,-0.4676972,79.367508,-19.369822,174.87157
1440000000,-0.51594847,79.169113,-19.382126,175.02997
1441000000,-0.5281471,79.080025,-19.312906,175.98883
1442000000,-0.49486217,78.518036,-19.261477,175.93872
1443000000,-0.53021222,78.395645,-19.177282,176.08165
1444000000,-0.4900406,78.484695,-19.062517,176.55132
1445000000,-0.50643831,78.178406,-19.052696,176.40852
1446000000,-0.49372172,78.057083,-18.989002,176.96553
1447000000,-0.49398938,77.867813,-18.835148,176.58618
1448000000,-0.48699787,77.526573,-18.811007,176.8653
1449000000,-0.49566954,77.523308,-18.767128,177.24498
1450000000,-0.49820545,77.127327,-18.638075,176.95049
1451000000,-0.50801939,77.007538,-18.633116,176.9464
1452000000,-0.49712878,76.745239,-18.512489,177.03355
1453000000,-0.49643993,76.715897,-18.514565,177.33336
1454000000,-0.50625962,76.480614,-18.458193,177.61089
1455000000,-0.50349468,76.151306,-18.378429,177.87294
1456000000,-0.50599945,75.995773,-18.347174,177.65001
1457000000,-0.52244234,75.735344,-18.258759,178.12367
1458000000,-0.5107106,75.55426,-18.154551,177.90054
1459000000,-0.52614665,75.262985,-18.194799,177.73854
1460000000,-0.48377872,75.153465,-18.049955,177.76076
1461000000,-0.50846934,74.937187,-17.991978,178.24208
1462000000,-0.50843799,74.745667,-17.957489,177.86957
1463000000,-0.51974076,74.796654,-17.804176,178.35391
1464000000,-0.50671625,74.41169,-17.86475,178.4805
1465000000,-0.50492072,74.234688,-17.765791,178.25887
1466000000,-0.53308707,73.94696,-17.703449,178.31995
1467000000,-0.53265804,73.782059,-17.697594,178.3494
