Freq(Hz),Line S21 Phase,,Thru S21 Phase,,Line S21 Phase Sim,,Thru S21 Phase Sim
1253000000,-38.937485,,-0.91050017,,54.5540177,,-80.18915963
1254000000,-38.953568,,-1.0024191,,54.45291123,,-80.25390308
1255000000,-38.803444,,-0.73677957,,54.35180485,,-80.31864612
1256000000,-38.89349,,-0.9390344,,54.25069856,,-80.38338878
1257000000,-39.095276,,-1.0719634,,54.14959236,,-80.44813104
1258000000,-38.964272,,-1.2096918,,54.04848625,,-80.51287291
1259000000,-39.007259,,-0.83298892,,53.94738022,,-80.57761439
1260000000,-39.221989,,-0.97000664,,53.84627429,,-80.64235548
1261000000,-38.998722,,-0.90692097,,53.74516844,,-80.70709619
1262000000,-39.219242,,-1.1740721,,53.64406269,,-80.77183651
1263000000,-39.123146,,-0.93826044,,53.54295703,,-80.83657645
1264000000,-39.142204,,-0.86982435,,53.44185146,,-80.901316
1265000000,-39.087761,,-0.93426371,,53.34074598,,-80.96605518
1266000000,-39.399704,,-1.0821443,,53.2396406,,-81.03079397
1267000000,-39.276585,,-0.83121216,,53.13853531,,-81.09553238
1268000000,-39.262749,,-0.84882623,,53.03743011,,-81.16027042
1269000000,-39.467575,,-1.0638871,,52.93632501,,-81.22500808
1270000000,-39.281544,,-0.82443017,,52.83522,,-81.28974537
1271000000,-39.480961,,-0.97854304,,52.73411509,,-81.35448228
1272000000,-39.385384,,-0.96293223,,52.63301028,,-81.41921882
1273000000,-39.598083,,-1.0678716,,52.53190555,,-81.483955
1274000000,-39.376816,,-0.83891195,,52.43080093,,-81.5486908
1275000000,-39.570358,,-0.9675613,,52.3296964,,-81.61342623
1276000000,-39.590668,,-0.94853216,,52.22859197,,-81.6781613
1277000000,-39.56461,,-0.78215617,,52.12748764,,-81.74289601
1278000000,-39.684544,,-0.92336899,,52.0263834,,-81.80763035
1279000000,-39.715996,,-0.92251074,,51.92527926,,-81.87236433
1280000000,-39.579376,,-0.91586637,,51.82417522,,-81.93709794
1281000000,-39.679489,,-0.96793121,,51.72307128,,-82.0018312
1282000000,-39.865536,,-1.0935503,,51.62196744,,-82.0665641
1283000000,-39.694843,,-0.93462676,,51.5208637,,-82.13129664
1284000000,-39.492142,,-0.93832278,,51.41976006,,-82.19602883
1285000000,-40.027378,,-1.012705,,51.31865651,,-82.26076067
1286000000,-39.960724,,-0.84647399,,51.21755307,,-82.32549215
1287000000,-39.841125,,-0.99710709,,51.11644973,,-82.39022328
1288000000,-39.952209,,-0.91401517,,51.01534649,,-82.45495406
1289000000,-40.011253,,-0.88168716,,50.91424334,,-82.51968449
1290000000,-39.902271,,-0.91575956,,50.8131403,,-82.58441458
1291000000,-40.039913,,-1.0357529,,50.71203737,,-82.64914432
1292000000,-40.033943,,-1.1208127,,50.61093453,,-82.71387371
1293000000,-40.132992,,-0.97915119,,50.50983179,,-82.77860276
1294000000,-39.993992,,-0.83610743,,50.40872916,,-82.84333148
1295000000,-40.262268,,-1.1382022,,50.30762663,,-82.90805985
1296000000,-40.192944,,-0.97950143,,50.2065242,,-82.97278788
1297000000,-40.285515,,-1.1104608,,50.10542187,,-83.03751557
1298000000,-40.227642,,-0.86010534,,50.00431965,,-83.10224293
1299000000,-40.291241,,-0.86343205,,49.90321753,,-83.16696996
1300000000,-40.383152,,-1.208057,,49.80211551,,-83.23169665
1301000000,-40.501171,,-1.0676316,,49.7010136,,-83.29642301
1302000000,-40.267551,,-0.95038241,,49.59991179,,-83.36114904
1303000000,-40.248955,,-0.76573068,,49.49881008,,-83.42587473
1304000000,-40.348621,,-0.83955693,,49.39770847,,-83.49060011
1305000000,-40.36129,,-1.0693471,,49.29660697,,-83.55532515
1306000000,-40.570831,,-0.99482912,,49.19550557,,-83.62004987
1307000000,-40.454746,,-1.0155715,,49.09440428,,-83.68477427
1308000000,-40.47966,,-0.98369294,,48.99330309,,-83.74949834
1309000000,-40.544617,,-0.9309597,,48.892202,,-83.8142221
1310000000,-40.602093,,-0.90301633,,48.79110102,,-83.87894553
1311000000,-40.839855,,-1.1447397,,48.69000014,,-83.94366865
1312000000,-40.860893,,-1.1788696,,48.58889937,,-84.00839145
1313000000,-40.604893,,-0.8797006,,48.48779869,,-84.07311393
1314000000,-40.725189,,-0.93421161,,48.38669813,,-84.1378361
1315000000,-40.600483,,-0.86148703,,48.28559766,,-84.20255796
1316000000,-40.85696,,-0.95497018,,48.18449731,,-84.26727951
1317000000,-40.966087,,-0.88588202,,48.08339705,,-84.33200074
1318000000,-40.790028,,-0.97502202,,47.9822969,,-84.39672167
1319000000,-40.924511,,-1.0710741,,47.88119685,,-84.46144229
1320000000,-40.917053,,-0.90758765,,47.78009691,,-84.52616261
1321000000,-40.929813,,-0.86798871,,47.67899707,,-84.59088262
1322000000,-40.794617,,-0.87401867,,47.57789733,,-84.65560233
1323000000,-40.987144,,-0.97507834,,47.4767977,,-84.72032173
1324000000,-41.097301,,-0.91254687,,47.37569817,,-84.78504084
1325000000,-41.121407,,-0.94937366,,47.27459875,,-84.84975965
1326000000,-41.043064,,-0.90250522,,47.17349943,,-84.91447816
1327000000,-41.125,,-0.95504469,,47.07240021,,-84.97919637
1328000000,-41.168243,,-0.92848748,,46.9713011,,-85.04391429
1329000000,-41.233597,,-0.90997297,,46.87020209,,-85.10863192
1330000000,-41.213821,,-0.80634052,,46.76910318,,-85.17334926
1331000000,-41.194351,,-0.9068346,,46.66800437,,-85.2380663
1332000000,-41.249809,,-0.90198702,,46.56690567,,-85.30278305
1333000000,-41.335052,,-1.0821675,,46.46580707,,-85.36749952
1334000000,-41.363182,,-0.88585341,,46.36470858,,-85.4322157
1335000000,-41.435959,,-1.1463675,,46.26361018,,-85.4969316
1336000000,-41.597252,,-0.97092485,,46.16251189,,-85.56164721
1337000000,-41.316753,,-0.89850062,,46.0614137,,-85.62636254
1338000000,-41.528969,,-1.0749253,,45.96031561,,-85.69107759
1339000000,-41.636787,,-1.0378355,,45.85921763,,-85.75579236
1340000000,-41.539169,,-0.90415919,,45.75811974,,-85.82050685
1341000000,-41.608166,,-1.2105266,,45.65702196,,-85.88522107
1342000000,-41.581009,,-1.0015604,,45.55592428,,-85.94993501
1343000000,-41.546139,,-0.93887758,,45.4548267,,-86.01464867
1344000000,-41.736179,,-1.038813,,45.35372922,,-86.07936207
1345000000,-41.689384,,-1.0536447,,45.25263184,,-86.14407519
1346000000,-41.618225,,-0.98255175,,45.15153456,,-86.20878804
1347000000,-41.610371,,-1.0097743,,45.05043738,,-86.27350062
1348000000,-41.814629,,-0.95292163,,44.9493403,,-86.33821294
1349000000,-41.95665,,-1.0930557,,44.84824332,,-86.40292499
1350000000,-41.940033,,-1.0064522,,44.74714644,,-86.46763678
1351000000,-41.920265,,-0.93938112,,44.64604965,,-86.5323483
1352000000,-41.780048,,-0.87668759,,44.54495297,,-86.59705956
1353000000,-41.725845,,-0.7638638,,44.44385639,,-86.66177057
1354000000,-41.925797,,-0.98190469,,44.3427599,,-86.72648131
1355000000,-41.963993,,-1.0457499,,44.24166351,,-86.79119179
1356000000,-42.121777,,-1.1374058,,44.14056722,,-86.85590202
1357000000,-41.96241,,-1.1142694,,44.03947102,,-86.920612
1358000000,-42.050575,,-0.97371668,,43.93837492,,-86.98532172
1359000000,-42.051445,,-0.92687309,,43.83727892,,-87.05003119
1360000000,-42.024712,,-1.1498045,,43.73618301,,-87.11474041
1361000000,-42.195179,,-0.86384356,,43.6350872,,-87.17944938
1362000000,-42.212471,,-0.97496128,,43.53399149,,-87.2441581
1363000000,-42.28347,,-1.0503572,,43.43289587,,-87.30886657
1364000000,-42.002316,,-0.94799685,,43.33180034,,-87.3735748
1365000000,-42.137417,,-0.98821837,,43.23070491,,-87.43828279
1366000000,-42.372711,,-1.0061086,,43.12960957,,-87.50299053
1367000000,-42.417202,,-0.93039036,,43.02851433,,-87.56769804
1368000000,-42.230885,,-0.97677225,,42.92741918,,-87.6324053
1369000000,-42.493484,,-0.94306761,,42.82632412,,-87.69711233
1370000000,-42.274143,,-0.84142077,,42.72522916,,-87.76181911
1371000000,-42.553432,,-0.96718001,,42.62413428,,-87.82652567
1372000000,-42.461609,,-0.96479911,,42.5230395,,-87.89123198
1373000000,-42.550808,,-1.0389196,,42.42194481,,-87.95593807
1374000000,-42.612846,,-0.79154533,,42.32085021,,-88.02064392
1375000000,-42.669289,,-0.99819547,,42.21975569,,-88.08534955
1376000000,-42.693218,,-1.0216162,,42.11866127,,-88.15005494
1377000000,-42.449875,,-0.74538374,,42.01756694,,-88.21476011
1378000000,-42.635197,,-0.84660238,,41.9164727,,-88.27946505
1379000000,-42.631077,,-0.92510718,,41.81537854,,-88.34416977
1380000000,-42.704948,,-0.92815518,,41.71428447,,-88.40887427
1381000000,-42.866318,,-0.88634783,,41.61319049,,-88.47357854
1382000000,-42.603565,,-0.84954226,,41.5120966,,-88.53828259
1383000000,-42.917164,,-1.0608882,,41.41100279,,-88.60298642
1384000000,-42.792595,,-0.82835239,,41.30990907,,-88.66769004
1385000000,-43.043259,,-1.1788095,,41.20881543,,-88.73239344
1386000000,-42.818043,,-0.83952755,,41.10772188,,-88.79709662
1387000000,-42.893177,,-0.76546729,,41.00662841,,-88.86179959
1388000000,-42.897869,,-0.95043361,,40.90553502,,-88.92650235
1389000000,-42.877827,,-0.7664361,,40.80444172,,-88.99120489
1390000000,-43.002953,,-0.83202475,,40.7033485,,-89.05590723
1391000000,-43.086529,,-0.85859025,,40.60225536,,-89.12060936
1392000000,-43.117863,,-1.044623,,40.50116231,,-89.18531128
1393000000,-42.923965,,-1.0075527,,40.40006933,,-89.250013
1394000000,-43.19838,,-0.95161122,,40.29897644,,-89.31471451
1395000000,-43.147327,,-0.90127099,,40.19788362,,-89.37941582
1396000000,-43.129177,,-0.79282898,,40.09679088,,-89.44411693
1397000000,-43.236843,,-0.7917276,,39.99569822,,-89.50881783
1398000000,-43.151691,,-0.81569558,,39.89460564,,-89.57351854
1399000000,-43.133327,,-0.78601086,,39.79351314,,-89.63821905
1400000000,-43.242901,,-0.88219839,,39.69242071,,-89.70291937
1401000000,-43.180878,,-0.8365131,,39.59132836,,-89.76761949
1402000000,-43.317646,,-1.0474535,,39.49023609,,-89.83231942
1403000000,-43.339188,,-0.98917776,,39.38914389,,-89.89701915
