"Freq [GHz]","im(Z(1,1)) []"
1.569,-1376.62541617674
1.57,-1375.19699405592
1.571,-1373.7711220639
1.572,-1372.34779482327
1.573,-1370.92700696998
1.574,-1369.50875315305
1.575,-1368.09302803475
1.576,-1366.67982629048
1.577,-1365.26914260875
1.578,-1363.86097169112
1.579,-1362.45530825224
1.58,-1361.05214701972
1.581,-1359.65148273411
1.582,-1358.25331014892
1.583,-1356.85762403042
1.584,-1355.46441915793
1.585,-1354.07369032344
1.586,-1352.68543233166
1.587,-1351.29964000013
1.588,-1349.91630815914
1.589,-1348.53543165144
1.59,-1347.15700533253
1.591,-1345.78102407054
1.592,-1344.40748274606
1.593,-1343.03637625214
1.594,-1341.66769949452
1.595,-1340.30144739115
1.596,-1338.93761487246
1.597,-1337.57619688133
1.598,-1336.21718837286
1.599,-1334.86058431448
1.6,-1333.50637968592
1.601,-1332.15456947911
1.602,-1330.8051486981
1.603,-1329.45811235926
1.604,-1328.11345549092
1.605,-1326.7711731335
1.606,-1325.43126033965
1.607,-1324.09371217378
1.608,-1322.75852371253
1.609,-1321.42569004425
1.61,-1320.09520626941
1.611,-1318.76706750023
1.612,-1317.4412688608
1.613,-1316.11780548705
1.614,-1314.79667252664
1.615,-1313.47786513904
1.616,-1312.1613784953
1.617,-1310.84720777836
1.618,-1309.53534818258
1.619,-1308.22579491403
1.62,-1306.91854319037
1.621,-1305.61358824077
1.622,-1304.31092530593
1.623,-1303.01054963799
1.624,-1301.71245650058
1.625,-1300.41664116867
1.626,-1299.12309892874
1.627,-1297.83182507846
1.628,-1296.54281492687
1.629,-1295.25606379444
1.63,-1293.9715670126
1.631,-1292.68931992422
1.632,-1291.40931788325
1.633,-1290.13155625491
1.634,-1288.85603041536
1.635,-1287.58273575207
1.636,-1286.31166766339
1.637,-1285.04282155873
1.638,-1283.7761928586
1.639,-1282.51177699433
1.64,-1281.24956940832
1.641,-1279.9895655537
1.642,-1278.73176089473
1.643,-1277.47615090622
1.644,-1276.22273107405
1.645,-1274.97149689466
1.646,-1273.72244387539
1.647,-1272.47556753425
1.648,-1271.23086339994
1.649,-1269.98832701179
1.65,-1268.74795391985
1.651,-1267.50973968461
1.652,-1266.27367987731
1.653,-1265.0397700796
1.654,-1263.80800588372
1.655,-1262.57838289229
1.656,-1261.35089671846
1.657,-1260.1255429858
1.658,-1258.90231732822
1.659,-1257.68121539012
1.66,-1256.46223282607
1.661,-1255.24536530099
1.662,-1254.03060849014
1.663,-1252.81795807896
1.664,-1251.60740976317
1.665,-1250.39895924864
1.666,-1249.19260225134
1.667,-1247.98833449754
1.668,-1246.78615172341
1.669,-1245.58604967533
1.67,-1244.38802410972
1.671,-1243.19207079293
1.672,-1241.99818550144
1.673,-1240.80636402154
1.674,-1239.6166021496
1.675,-1238.42889569178
1.676,-1237.24324046418
1.677,-1236.05963229273
1.678,-1234.87806701319
1.679,-1233.69854047121
1.68,-1232.52104852197
1.681,-1231.34558703066
1.682,-1230.1721518721
1.683,-1229.00073893064
1.684,-1227.83134410056
1.685,-1226.66396328554
1.686,-1225.49859239902
1.687,-1224.33522736394
1.688,-1223.17386411284
1.689,-1222.01449858777
1.69,-1220.8571267403
1.691,-1219.70174453142
1.692,-1218.54834793165
1.693,-1217.39693292086
1.694,-1216.24749548836
1.695,-1215.10003163283
