!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:03:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1642000000,9.4124708,-166.99771
1643000000,9.5702333,-165.7021
1644000000,9.2022533,-164.91217
1645000000,9.3582888,-164.47777
1646000000,8.9932556,-162.80774
1647000000,8.3670645,-162.23523
1648000000,8.3681889,-161.4317
1649000000,9.0832319,-160.74014
1650000000,8.0654716,-161.09026
1651000000,8.8869972,-158.93837
1652000000,7.8957005,-158.25508
1653000000,9.6774731,-157.30515
1654000000,8.2481022,-156.36537
1655000000,8.6462412,-156.40483
1656000000,8.3597546,-155.80397
1657000000,8.4362278,-154.22604
1658000000,7.5033083,-153.74243
1659000000,7.9232173,-152.46797
1660000000,8.449625,-152.91385
1661000000,7.039886,-151.7442
1662000000,8.0030394,-150.60391
1663000000,7.1991601,-149.60681
1664000000,7.7558331,-148.79366
1665000000,7.3624401,-148.41534
1666000000,7.3684363,-147.16209
1667000000,7.371563,-147.20816
1668000000,7.5744114,-146.89473
1669000000,7.9571738,-145.84534
1670000000,7.5222502,-144.85492
1671000000,7.3093929,-144.65414
1672000000,7.7431202,-143.93309
1673000000,7.4168682,-143.45468
1674000000,7.3693657,-142.21536
1675000000,7.043664,-141.58519
1676000000,6.9043217,-141.81995
1677000000,7.3618503,-140.84236
1678000000,7.177887,-139.91866
1679000000,6.8259625,-140.23058
1680000000,6.8930702,-138.42651
1681000000,6.6942821,-138.06709
1682000000,7.0557013,-137.40359
1683000000,7.0936875,-137.74269
1684000000,6.4183064,-135.76816
1685000000,6.8506627,-136.1216
1686000000,6.0087767,-135.56061
1687000000,5.7864265,-134.47328
1688000000,6.0671353,-133.82852
1689000000,6.4466834,-133.51262
1690000000,6.5608516,-133.19598
1691000000,5.8556557,-132.569
1692000000,6.1485052,-131.33086
1693000000,6.4345202,-131.00389
1694000000,5.7699847,-131.06828
1695000000,5.8771868,-130.10223
1696000000,5.9581637,-130.0036
1697000000,5.2749586,-128.67316
1698000000,6.1053967,-128.34369
1699000000,6.1684165,-127.94776
1700000000,5.8447499,-127.22263
1701000000,5.7557769,-126.12894
1702000000,5.985961,-126.30554
1703000000,5.2473559,-125.97372
1704000000,6.0231395,-125.27911
1705000000,5.6305747,-125.11642
1706000000,5.6618986,-124.23422
1707000000,5.6257339,-123.67432
1708000000,5.6325631,-123.09978
1709000000,4.9580655,-122.77406
1710000000,4.7330966,-121.8106
1711000000,5.4019661,-121.41136
1712000000,5.5107613,-121.34508
1713000000,5.6060138,-121.0299
1714000000,5.7585592,-120.14178
1715000000,5.5091729,-119.63459
1716000000,5.0731425,-119.22904
1717000000,4.9335775,-118.6165
1718000000,4.9966569,-118.26536
1719000000,5.3407812,-117.86001
1720000000,5.1792021,-117.38757
1721000000,4.9045281,-116.5771
1722000000,5.1254158,-116.26479
1723000000,4.6152821,-116.35164
1724000000,4.8749542,-115.75817
1725000000,4.4851995,-115.19949
1726000000,5.2932372,-114.63246
1727000000,4.9190817,-114.65297
1728000000,4.4905944,-113.91546
1729000000,4.5346317,-113.20341
1730000000,4.515038,-113.07452
1731000000,4.7014346,-112.31545
1732000000,4.5496883,-111.96037
1733000000,4.5411057,-111.5967
1734000000,4.2807794,-111.41815
1735000000,4.665626,-110.55703
1736000000,4.4268842,-110.26514
1737000000,4.290637,-109.70218
1738000000,4.5287886,-109.78992
1739000000,4.4063559,-109.26722
1740000000,4.1165562,-108.78616
1741000000,4.2122355,-108.61308
1742000000,4.3595119,-107.88322
1743000000,4.2360225,-106.96418
1744000000,4.2192149,-107.49923
1745000000,4.2218971,-106.6838
1746000000,4.2702446,-106.04272
1747000000,4.132246,-106.01915
1748000000,4.497479,-105.63126
1749000000,4.4481039,-105.08783
1750000000,3.9830372,-104.77116
1751000000,3.692766,-104.45686
1752000000,4.3353767,-104.06441
1753000000,4.5581141,-103.96082
1754000000,4.0946255,-103.00083
1755000000,4.035284,-102.83627
1756000000,3.7646775,-102.57984
1757000000,4.1240826,-102.29882
1758000000,4.0714135,-102.31899
1759000000,3.7557821,-101.54872
1760000000,4.003324,-101.4331
1761000000,3.6514397,-100.88802
1762000000,3.9059129,-100.71702
1763000000,3.9461308,-100.23206
1764000000,3.5685382,-99.8489
1765000000,3.9498343,-99.639221
1766000000,3.6434791,-99.289658
1767000000,3.6242287,-98.59063
1768000000,3.6590986,-98.358078
1769000000,3.9775856,-97.946808
1770000000,3.487236,-97.623001
1771000000,3.4807105,-97.233307
1772000000,3.5567169,-97.196983
1773000000,3.1246955,-96.472923
1774000000,3.1104076,-96.116486
1775000000,3.4155462,-95.949806
1776000000,3.1684279,-95.595474
1777000000,3.5005174,-95.593559
1778000000,3.1416786,-95.081406
1779000000,3.5124016,-94.392418
1780000000,3.7212565,-94.758331
1781000000,3.220762,-94.287514
1782000000,3.6386247,-93.777458
1783000000,3.398684,-93.284317
1784000000,3.4746904,-93.137352
1785000000,3.2803237,-93.000885
1786000000,3.5268836,-92.658058
1787000000,3.5031629,-92.392242
1788000000,3.2629206,-91.675209
1789000000,3.4254115,-91.657196
1790000000,3.3139195,-91.277275
1791000000,3.6113343,-90.812805
1792000000,3.5872829,-90.687561
1793000000,3.3760169,-90.090828
1794000000,3.5732083,-90.013962
1795000000,3.4825058,-89.83609
1796000000,3.216244,-89.246574
1797000000,3.3374457,-89.015442
1798000000,3.3131673,-89.0373
1799000000,3.2297359,-88.730812
1800000000,3.499579,-88.371231
1801000000,2.9422131,-88.302071
1802000000,3.2278135,-87.617455
1803000000,2.9305127,-87.501083
1804000000,3.2947865,-87.386993
1805000000,3.1079781,-86.63327
1806000000,3.3020575,-86.587967
1807000000,2.9139862,-86.051598
1808000000,2.9242804,-86.178635
1809000000,2.837712,-85.847488
1810000000,3.1588879,-85.450241
1811000000,2.7295506,-85.327713
1812000000,3.0814273,-84.828094
1813000000,2.9460731,-84.894928
1814000000,2.8865786,-84.178886
1815000000,2.7574992,-84.008057
1816000000,2.9624159,-83.925789
1817000000,2.8795722,-83.821556
1818000000,3.1113822,-83.492912
1819000000,3.0408309,-82.94088
1820000000,3.0027823,-82.77742
1821000000,2.8772035,-82.793373
1822000000,2.8170791,-82.224663
1823000000,2.5123155,-82.168251
1824000000,2.8144951,-81.889359
1825000000,2.6482034,-81.525169
1826000000,2.6128013,-81.009903
