frequency, S11, S12, S21, S22
2984877824.0000000000, -1.4553580364, -10.7493742121, -10.7493707195, -1.4553580364
2985877760.0000000000, -1.4514849211, -10.7614047391, -10.7614108585, -1.4514862994
2986877696.0000000000, -1.4476367275, -10.7734707631, -10.7734707631, -1.4476381053
2987877632.0000000000, -1.4438099844, -10.7855601267, -10.7855618793, -1.4438072299
2988877568.0000000000, -1.4400005376, -10.7976825482, -10.7976834256, -1.4400032910
2989877504.0000000000, -1.4362193774, -10.8098372518, -10.8098398872, -1.4362180012
2990877440.0000000000, -1.4324575303, -10.8220216989, -10.8220252169, -1.4324561546
2991877376.0000000000, -1.4287142876, -10.8342395025, -10.8342359802, -1.4287142876
2992877312.0000000000, -1.4249944401, -10.8464810686, -10.8464801870, -1.4249958147
2993877248.0000000000, -1.4212979623, -10.8587508800, -10.8587544110, -1.4212993365
2994877184.0000000000, -1.4176241420, -10.8710569769, -10.8710605122, -1.4176241420
2995877120.0000000000, -1.4139708950, -10.8833906254, -10.8833941652, -1.4139702084
2996877056.0000000000, -1.4103368265, -10.8957563392, -10.8957607693, -1.4103368265
2997876992.0000000000, -1.4067294631, -10.9081551054, -10.9081524440, -1.4067287770
2998876928.0000000000, -1.4031439755, -10.9205843636, -10.9205861400, -1.4031439755
2999876864.0000000000, -1.3995755415, -10.9330353150, -10.9330344256, -1.3995755415
3000876800.0000000000, -1.3960323674, -10.9455187068, -10.9455160354, -1.3960316821
3001876736.0000000000, -1.3925123716, -10.9580355328, -10.9580346412, -1.3925123716
3002876672.0000000000, -1.3890127905, -10.9705796504, -10.9705796504, -1.3890134754
3003876608.0000000000, -1.3855363418, -10.9831502489, -10.9831547179, -1.3855356572
3004876544.0000000000, -1.3820830016, -10.9957572527, -10.9957563577, -1.3820836860
3005876480.0000000000, -1.3786479574, -11.0083945071, -11.0083962993, -1.3786465891
3006876416.0000000000, -1.3752380299, -11.0210585183, -11.0210567239, -1.3752380299
3007876352.0000000000, -1.3718504592, -11.0337475708, -11.0337493675, -1.3718497755
3008876288.0000000000, -1.3684824890, -11.0464806289, -11.0464770310, -1.3684852228
3009876224.0000000000, -1.3651388826, -11.0592272189, -11.0592299208, -1.3651422987
3010876160.0000000000, -1.3618202989, -11.0720117199, -11.0720117199, -1.3618182498
3011876096.0000000000, -1.3585205683, -11.0848225185, -11.0848225185, -1.3585205683
3012876032.0000000000, -1.3552437679, -11.0976642153, -11.0976660235, -1.3552451330
3013875968.0000000000, -1.3519878286, -11.1105369085, -11.1105369085, -1.3519885109
3014875904.0000000000, -1.3487554587, -11.1234352580, -11.1234361644, -1.3487561408
3015875840.0000000000, -1.3455479995, -11.1363647873, -11.1363638797, -1.3455452719
3016875776.0000000000, -1.3423579290, -11.1493192346, -11.1493237785, -1.3423579290
3017875712.0000000000, -1.3391920454, -11.1623132345, -11.1623168743, -1.3391934084
3018875648.0000000000, -1.3360510074, -11.1753286964, -11.1753323410, -1.3360510074
3019875584.0000000000, -1.3329313867, -11.1883839291, -11.1883830167, -1.3329307057
3020875520.0000000000, -1.3298324827, -11.2014553144, -11.2014562279, -1.3298318019
3021875456.0000000000, -1.3267563183, -11.2145639322, -11.2145666764, -1.3267563183
3022875392.0000000000, -1.3237035533, -11.2276979996, -11.2276998314, -1.3237028729
3023875328.0000000000, -1.3206748467, -11.2408658484, -11.2408649313, -1.3206748467
3024875264.0000000000, -1.3176640570, -11.2540556511, -11.2540556511, -1.3176626970
3025875200.0000000000, -1.3146779662, -11.2672812652, -11.2672775869, -1.3146779662
3026875136.0000000000, -1.3117124748, -11.2805280772, -11.2805271564, -1.3117138340
3027875072.0000000000, -1.3087736794, -11.2938109004, -11.2938099784, -1.3087750382
3028875008.0000000000, -1.3058561232, -11.3071187763, -11.3071252390, -1.3058547648
3029874944.0000000000, -1.3029604668, -11.3204554794, -11.3204573283, -1.3029618248
3030874880.0000000000, -1.3000866914, -11.3338266556, -11.3338266556, -1.3000866914
3031874816.0000000000, -1.2972354570, -11.3472212963, -11.3472240771, -1.2972347784
3032874752.0000000000, -1.2944060662, -11.3606403999, -11.3606478255, -1.2944060662
3033874688.0000000000, -1.2916025700, -11.3740979827, -11.3741035593, -1.2916018918
3034874624.0000000000, -1.2888168104, -11.3875876609, -11.3875820768, -1.2888168104
3035874560.0000000000, -1.2860589406, -11.4010918331, -11.4010964928, -1.2860582627
3036874496.0000000000, -1.2833180950, -11.4146366633, -11.4146366633, -1.2833187727
3037874432.0000000000, -1.2806030672, -11.4282073404, -11.4282026680, -1.2806023897
3038874368.0000000000, -1.2779097725, -11.4417973947, -11.4417983305, -1.2779111271
3039874304.0000000000, -1.2752381935, -11.4554246836, -11.4554228096, -1.2752415791
3040874240.0000000000, -1.2725916978, -11.4690715065, -11.4690724448, -1.2725916978
3041874176.0000000000, -1.2699668818, -11.4827529515, -11.4827557703, -1.2699682353
3042874112.0000000000, -1.2673657584, -11.4964681944, -11.4964672536, -1.2673650818
3043874048.0000000000, -1.2647849272, -11.5102041584, -11.5102107536, -1.2647822216
3044873984.0000000000, -1.2622250489, -11.5239703376, -11.5239665637, -1.2622223440
3045873920.0000000000, -1.2596908402, -11.5377677758, -11.5377658862, -1.2596894880
3046873856.0000000000, -1.2571775502, -11.5515861693, -11.5515861693, -1.2571782261
3047873792.0000000000, -1.2546844878, -11.5654350529, -11.5654331581, -1.2546851636
3048873728.0000000000, -1.2522177180, -11.5793173728, -11.5793192702, -1.2522190691
3049873664.0000000000, -1.2497718183, -11.5932218415, -11.5932180414, -1.2497738445
3050873600.0000000000, -1.2473501498, -11.6071523301, -11.6071532814, -1.2473515002
3051873536.0000000000, -1.2449486445, -11.6211174944, -11.6211165418, -1.2449472943
3052873472.0000000000, -1.2425699877, -11.6351088668, -11.6351060047, -1.2425713375
3053873408.0000000000, -1.2402161875, -11.6491255746, -11.6491227085, -1.2402188865
3054873344.0000000000, -1.2378858773, -11.6631648268, -11.6631734371, -1.2378858773
3055873280.0000000000, -1.2355743197, -11.6772410617, -11.6772401036, -1.2355763430
3056873216.0000000000, -1.2332855476, -11.6913390573, -11.6913390573, -1.2332855476
3057873152.0000000000, -1.2310202196, -11.7054675246, -11.7054694461, -1.2310188713
3058873088.0000000000, -1.2287762978, -11.7196188679, -11.7196217542, -1.2287762978
3059873024.0000000000, -1.2265551158, -11.7337989369, -11.7338056812, -1.2265551158
3060872960.0000000000, -1.2243593532, -11.7480184389, -11.7480194037, -1.2243600268
3061872896.0000000000, -1.2221842785, -11.7622514255, -11.7622523917, -1.2221836050
3062872832.0000000000, -1.2200292051, -11.7765153424, -11.7765143748, -1.2200305518
3063872768.0000000000, -1.2179015257, -11.7908064173, -11.7908054483, -1.2179015257
3064872704.0000000000, -1.2157904534, -11.8051247375, -11.8051227967, -1.2157904534
3065872640.0000000000, -1.2137053992, -11.8194713627, -11.8194723344, -1.2137040533
3066872576.0000000000, -1.2116416372, -11.8338454121, -11.8338434658, -1.2116416372
3067872512.0000000000, -1.2096018449, -11.8482411273, -11.8482372290, -1.2096045357
3068872448.0000000000, -1.2075819726, -11.8626566200, -11.8626585719, -1.2075826452
3069872384.0000000000, -1.2055867152, -11.8771154032, -11.8771202901, -1.2055853703
3070872320.0000000000, -1.2036133688, -11.8916039316, -11.8915970799, -1.2036120242
3071872256.0000000000, -1.2016585598, -11.9061017195, -11.9061017195, -1.2016612484
3072872192.0000000000, -1.1997316858, -11.9206333179, -11.9206323362, -1.1997337019
3073872128.0000000000, -1.1978239960, -11.9351909792, -11.9351958946, -1.1978260117
3074872064.0000000000, -1.1959408537, -11.9497826626, -11.9497787246, -1.1959401819
3075872000.0000000000, -1.1940762002, -11.9643897532, -11.9643828515, -1.1940762002
3076871936.0000000000, -1.1922374121, -11.9790261108, -11.9790280856, -1.1922380836
3077871872.0000000000, -1.1904184325, -11.9936878776, -11.9936938107, -1.1904204467
3078871808.0000000000, -1.1886246210, -12.0083860272, -12.0083880078, -1.1886252923
3079871744.0000000000, -1.1868499235, -12.0230998616, -12.0231018451, -1.1868499235
3080871680.0000000000, -1.1850983563, -12.0378453098, -12.0378463030, -1.1851010404
3081871616.0000000000, -1.1833699072, -12.0526075595, -12.0526115382, -1.1833692362
3082871552.0000000000, -1.1816605394, -12.0674045839, -12.0673986069, -1.1816618810
3083871488.0000000000, -1.1799769502, -12.0822305195, -12.0822295218, -1.1799776209
3084871424.0000000000, -1.1783137619, -12.0970774694, -12.0970784685, -1.1783137619
3085871360.0000000000, -1.1766763282, -12.1119474959, -12.1119524990, -1.1766736463
3086871296.0000000000, -1.1750545810, -12.1268426735, -12.1268456798, -1.1750559217
3087871232.0000000000, -1.1734578963, -12.1417670959, -12.1417721139, -1.1734605774
3088871168.0000000000, -1.1718842517, -12.1567208612, -12.1567198561, -1.1718822413
3089871104.0000000000, -1.1703329663, -12.1716940017, -12.1716940017, -1.1703329663
3090871040.0000000000, -1.1687993402, -12.1866946358, -12.1866946358, -1.1688020200
3091870976.0000000000, -1.1672920731, -12.2017147768, -12.2017167961, -1.1672907335
3092870912.0000000000, -1.1658037861, -12.2167676238, -12.2167706572, -1.1658031164
3093870848.0000000000, -1.1643404975, -12.2318472144, -12.2318502524, -1.1643398279
3094870784.0000000000, -1.1628961705, -12.2469414651, -12.2469445077, -1.1628948314
3095870720.0000000000, -1.1614741440, -12.2620717386, -12.2620717386, -1.1614768218
3096870656.0000000000, -1.1600770861, -12.2772229047, -12.2772239220, -1.1600770861
3097870592.0000000000, -1.1586976244, -12.2924062309, -12.2924041933, -1.1586982937
3098870528.0000000000, -1.1573431126, -12.3075983602, -12.3076055029, -1.1573437818
3099870464.0000000000, -1.1560095260, -12.3228309776, -12.3228319995, -1.1560081879
3100870400.0000000000, -1.1546975254, -12.3380817162, -12.3380827397, -1.1546968564
3101870336.0000000000, -1.1534064332, -12.3533618991, -12.3533608741, -1.1534084399
3102870272.0000000000, -1.1521369102, -12.3686541733, -12.3686582798, -1.1521355726
3103870208.0000000000, -1.1508922921, -12.3839791225, -12.3839822071, -1.1508896171
3104870144.0000000000, -1.1496652142, -12.3993389208, -12.3993358314, -1.1496638769
3105870080.0000000000, -1.1484616873, -12.4147048144, -12.4147079085, -1.1484603501
3106870016.0000000000, -1.1472776919, -12.4301026191, -12.4301046850, -1.1472770234
3107869952.0000000000, -1.1461172317, -12.4455221005, -12.4455272733, -1.1461165632
3108869888.0000000000, -1.1449762883, -12.4609674670, -12.4609726477, -1.1449742832
3109869824.0000000000, -1.1438575282, -12.4764439906, -12.4764450283, -1.1438575282
3110869760.0000000000, -1.1427609441, -12.4919372280, -12.4919382674, -1.1427622805
3111869696.0000000000, -1.1416858604, -12.5074545068, -12.5074545068, -1.1416865285
3112869632.0000000000, -1.1406322702, -12.5230000719, -12.5230000719, -1.1406329383
3113869568.0000000000, -1.1396008348, -12.5385646201, -12.5385635758, -1.1396001668
3114869504.0000000000, -1.1385888756, -12.5541534315, -12.5541565690, -1.1385868718
3115869440.0000000000, -1.1376003939, -12.5697697244, -12.5697728669, -1.1376017296
3116869376.0000000000, -1.1366313759, -12.5854104424, -12.5854135897, -1.1366307081
3117869312.0000000000, -1.1356824838, -12.6010714588, -12.6010714588, -1.1356838192
3118869248.0000000000, -1.1347557148, -12.6167549355, -12.6167591452, -1.1347550471
3119869184.0000000000, -1.1338510627, -12.6324630481, -12.6324651562, -1.1338523979
