Freq(Hz),S11 Log Mag(dB),S11 Phase(�),S22 Log Mag(dB),S22 Phase(�),S21 Log Mag(dB),S21 Phase(�),S31 Log Mag(dB),S31 Phase(�),S32 Log Mag(dB),S32 Phase(�),S33 Log Mag(dB),S33 Phase(�)
1154000000,-15.222344,113.05325,-16.723135,-2.1652865,-3.3204541,-106.67876,-3.3242731,-106.55842,-10.821312,-162.01503,-17.302853,-1.4443754
1155000000,-15.185664,113.04977,-16.722269,-2.2220881,-3.339401,-106.92055,-3.288136,-106.89366,-10.809521,-162.01791,-17.321865,-1.70476
1156000000,-15.228167,112.94137,-16.700748,-2.0873263,-3.3079476,-106.95265,-3.2859199,-106.87144,-10.801022,-162.11079,-17.292381,-1.3879503
1157000000,-15.193965,113.19208,-16.772045,-2.3061159,-3.3388646,-106.92506,-3.2989321,-106.82957,-10.81778,-162.22498,-17.340843,-1.5863787
1158000000,-15.209511,112.90546,-16.726694,-2.3581634,-3.3269255,-106.96871,-3.3048391,-106.91302,-10.839805,-162.47716,-17.32201,-1.7085452
1159000000,-15.203706,112.95428,-16.765568,-2.3346002,-3.3292811,-107.38608,-3.3149669,-107.08723,-10.864226,-162.65175,-17.368311,-1.6529272
1160000000,-15.238254,112.88734,-16.734325,-2.5403452,-3.3049076,-107.36452,-3.2696495,-107.10748,-10.867642,-162.73619,-17.330343,-1.7345753
1161000000,-15.24626,112.98119,-16.766113,-2.5816832,-3.3085892,-107.32392,-3.3042147,-107.09969,-10.850175,-162.64093,-17.36274,-1.6766425
1162000000,-15.281507,113.08835,-16.759869,-2.839931,-3.3057449,-107.49174,-3.3144491,-107.35252,-10.852784,-162.91724,-17.383455,-2.1073124
1163000000,-15.271078,112.75969,-16.769194,-2.5738854,-3.3160367,-107.66384,-3.3085001,-107.39706,-10.875602,-163.05522,-17.380529,-1.910235
1164000000,-15.308498,112.75762,-16.747108,-2.5780318,-3.3257678,-107.63065,-3.3333271,-107.45665,-10.878407,-163.23434,-17.366665,-2.0801136
1165000000,-15.278342,112.63901,-16.777149,-2.635308,-3.3094137,-107.71753,-3.3010154,-107.62519,-10.86959,-163.19255,-17.372868,-1.9996922
1166000000,-15.266824,112.73077,-16.769302,-2.7028203,-3.3082678,-107.85207,-3.282094,-107.67661,-10.877916,-163.36879,-17.395,-1.9993373
1167000000,-15.322979,112.78139,-16.774269,-2.8871484,-3.3140891,-107.98598,-3.2934194,-107.83859,-10.896549,-163.5784,-17.394537,-2.2339716
1168000000,-15.309242,112.55945,-16.776878,-2.7362208,-3.3119445,-108.00517,-3.2960327,-107.94295,-10.903621,-163.59398,-17.405161,-2.2177484
