Freq(Hz),S21 Phase_measured(deg),S21 Phase_HFSS(deg)
1636000000,-0.75989383,-0.382703607
1637000000,-0.71726018,-0.38301166
1638000000,-0.92023075,-0.383319101
1639000000,-0.78012574,-0.383625932
1640000000,-0.67889917,-0.383932153
1641000000,-0.76786339,-0.384237766
1642000000,-0.99309903,-0.384542773
1643000000,-0.87125945,-0.384847173
1644000000,-0.82593125,-0.385150969
1645000000,-0.7699275,-0.385454162
1646000000,-0.97594535,-0.385756752
1647000000,-0.97491753,-0.386058742
1648000000,-0.54946935,-0.386360132
1649000000,-0.68107992,-0.386660923
1650000000,-0.78052044,-0.386961117
1651000000,-0.6254344,-0.387260715
1652000000,-0.82607687,-0.387559718
1653000000,-0.8021155,-0.387858127
1654000000,-0.90812415,-0.388155944
1655000000,-0.80189717,-0.388453169
1656000000,-0.91227049,-0.388749805
1657000000,-0.52933252,-0.389045851
1658000000,-0.91881275,-0.389341309
1659000000,-0.7934888,-0.389636181
1660000000,-0.93595856,-0.389930467
1661000000,-0.89467043,-0.390224169
1662000000,-0.84963417,-0.390517289
1663000000,-0.59267324,-0.390809826
1664000000,-0.75479704,-0.391101782
1665000000,-0.87021327,-0.391393159
1666000000,-0.79067761,-0.391683958
1667000000,-0.91864115,-0.391974179
1668000000,-0.69990706,-0.392263825
1669000000,-0.72003412,-0.392552895
1670000000,-0.83791178,-0.392841392
1671000000,-0.75944513,-0.393129317
1672000000,-0.77872121,-0.39341667
1673000000,-0.88320988,-0.393703453
1674000000,-0.84909165,-0.393989667
1675000000,-0.86189407,-0.394275313
1676000000,-0.62694377,-0.394560393
1677000000,-0.81951016,-0.394844907
1678000000,-0.75466639,-0.395128857
1679000000,-0.80129981,-0.395412244
1680000000,-0.8619808,-0.395695068
1681000000,-0.75828046,-0.395977332
1682000000,-0.82293493,-0.396259036
1683000000,-0.83365721,-0.396540182
1684000000,-0.85222781,-0.39682077
1685000000,-0.76871043,-0.397100802
1686000000,-0.78136957,-0.397380279
1687000000,-0.79689538,-0.397659202
1688000000,-0.71803552,-0.397937572
1689000000,-0.72532904,-0.398215391
1690000000,-0.83058447,-0.398492659
1691000000,-0.73670465,-0.398769377
1692000000,-0.81220478,-0.399045548
1693000000,-0.71463329,-0.399321171
1694000000,-0.7567153,-0.399596249
1695000000,-0.91312695,-0.399870782
1696000000,-0.81518877,-0.400144771
1697000000,-0.7537455,-0.400418217
1698000000,-0.76200545,-0.400691123
1699000000,-0.76728874,-0.400963488
1700000000,-0.74943542,-0.401235313
1701000000,-0.94060469,-0.401506601
1702000000,-0.85956281,-0.401777352
1703000000,-0.83523011,-0.402047568
1704000000,-0.92183018,-0.402317249
1705000000,-0.76212615,-0.402586396
1706000000,-0.5969258,-0.402855011
1707000000,-0.69976091,-0.403123095
1708000000,-0.84244567,-0.403390649
1709000000,-0.83010906,-0.403657673
1710000000,-0.79840499,-0.40392417
1711000000,-0.80381608,-0.40419014
1712000000,-0.59869039,-0.404455585
1713000000,-0.62681603,-0.404720505
1714000000,-0.73781997,-0.404984902
1715000000,-0.66841626,-0.405248776
1716000000,-0.78056246,-0.40551213
1717000000,-0.87793219,-0.405774963
1718000000,-0.78734112,-0.406037277
1719000000,-0.72941834,-0.406299074
1720000000,-0.70224357,-0.406560354
1721000000,-0.71220762,-0.406821118
1722000000,-0.61986595,-0.407081367
1723000000,-0.59779912,-0.407341104
1724000000,-0.79391193,-0.407600328
1725000000,-0.74144697,-0.40785904
1726000000,-0.77569646,-0.408117243
1727000000,-0.80560881,-0.408374937
