x,y1
2.982,-1.202852668
2.983,-1.202842773
2.984,-1.20283274
2.985,-1.202822569
2.986,-1.202812259
2.987,-1.202801811
2.988,-1.202791226
2.989,-1.202780502
2.99,-1.202769642
2.991,-1.202758644
2.992,-1.202747509
2.993,-1.202736237
2.994,-1.202724828
2.995,-1.202713283
2.996,-1.202701602
2.997,-1.202689785
2.998,-1.202677833
2.999,-1.202665744
3,-1.202653521
