"Freq [GHz]","dB(S(1,1)) []"
2.495,-14.1039480903694
2.496,-13.9866265814463
2.497,-13.8711449160083
2.498,-13.7574612556077
2.499,-13.6455348785828
2.5,-13.5353261633083
2.501,-13.4267965689712
2.502,-13.3199086143888
2.503,-13.2146258553101
2.504,-13.1109128605726
2.505,-13.0087351874305
2.506,-12.9080593563214
2.507,-12.8088528252952
2.508,-12.7110839642934
2.509,-12.6147220294365
2.51,-12.5197371374491
2.511,-12.4261002403315
2.512,-12.3337831003651
2.513,-12.2427582655241
2.514,-12.1529990453504
2.515,-12.064479487337
2.516,-11.9771743538554
2.517,-11.8910590996526
2.518,-11.8061098499364
2.519,-11.7223033790633
2.52,-11.6396170898324
2.521,-11.5580289933932
2.522,-11.477517689761
2.523,-11.3980623489407
2.524,-11.3196426926487
2.525,-11.2422389766263
2.526,-11.1658319735339
2.527,-11.0904029564138
2.528,-11.0159336827088
2.529,-10.9424063788247
2.53,-10.8698037252192
2.531,-10.7981088420063
2.532,-10.7273052750588
2.533,-10.6573769825945
2.534,-10.5883083222319
2.535,-10.5200840384988
2.536,-10.4526892507802
2.537,-10.3861094416902
2.538,-10.3203304458538
2.539,-10.2553384390838
2.54,-10.1911199279388
2.541,-10.1276617396501
2.542,-10.0649510124023
2.543,-10.0029751859561
2.544,-9.94172199260053
2.545,-9.88117944842174
2.546,-9.82133584487791
2.547,-9.76217974066773
2.548,-9.70369995388196
2.549,-9.6458855544278
2.55,-9.58872585671504
2.551,-9.53221041259476
2.552,-9.47632900454106
2.553,-9.42107163906605
2.554,-9.36642854036018
2.555,-9.31239014414849
2.556,-9.25894709175538
2.557,-9.20609022436959
2.558,-9.153810577502
2.559,-9.1020993756291
2.56,-9.05094802701469
2.561,-9.00034811870377
2.562,-8.95029141168172
2.563,-8.90076983619274
2.564,-8.85177548721145
2.565,-8.80330062006241
2.566,-8.75533764618122
2.567,-8.70787912901303
2.568,-8.66091778004243
2.569,-8.61444645495044
2.57,-8.56845814989389
2.571,-8.52294599790225
2.572,-8.47790326538842
2.573,-8.43332334876856
2.574,-8.38919977118747
2.575,-8.34552617934574
2.576,-8.30229634042447
2.577,-8.25950413910486
2.578,-8.21714357467869
2.579,-8.17520875824659
2.58,-8.13369391000128
2.581,-8.09259335659223
2.582,-8.05190152856947
2.583,-8.01161295790342
2.584,-7.97172227557811
2.585,-7.9322242092555
2.586,-7.893113581008
2.587,-7.85438530511737
2.588,-7.81603438593726
2.589,-7.77805591581749
2.59,-7.74044507308803
2.591,-7.70319712010019
2.592,-7.66630740132383
2.593,-7.62977134149801
2.594,-7.59358444383378
2.595,-7.55774228826721
2.596,-7.52224052976075
2.597,-7.48707489665188
2.598,-7.45224118904698
2.599,-7.41773527725922
2.6,-7.38355310028895
2.601,-7.34969066434528
2.602,-7.31614404140734
2.603,-7.28290936782428
2.604,-7.24998284295245
2.605,-7.21736072782874
2.606,-7.18503934387889
2.607,-7.15301507165973
2.608,-7.12128434963417
2.609,-7.08984367297807
2.61,-7.05868959241792
2.611,-7.02781871309826
2.612,-6.99722769347819
2.613,-6.96691324425584
2.614,-6.93687212732013
2.615,-6.90710115472882
2.616,-6.87759718771216
2.617,-6.84835713570141
2.618,-6.81937795538136
2.619,-6.79065664976623
2.62,-6.7621902672983
2.621,-6.73397590096837
2.622,-6.70601068745772
2.623,-6.67829180630076
2.624,-6.65081647906772
2.625,-6.62358196856707
2.626,-6.59658557806662
2.627,-6.56982465053334
2.628,-6.54329656789093
2.629,-6.51699875029483
2.63,-6.49092865542418
2.631,-6.46508377779004
2.632,-6.43946164805982
2.633,-6.41405983239704
2.634,-6.38887593181629
2.635,-6.36390758155284
2.636,-6.33915245044648
2.637,-6.3146082403393
2.638,-6.29027268548695
2.639,-6.26614355198298
2.64,-6.24221863719614
2.641,-6.21849576921987
2.642,-6.19497280633404
2.643,-6.17164763647856
2.644,-6.14851817673819
2.645,-6.12558237283886
2.646,-6.10283819865451
2.647,-6.08028365572484
2.648,-6.05791677278313
2.649,-6.0357356052943
2.65,-6.01373823500257
2.651,-5.99192276948886
2.652,-5.97028734173725
2.653,-5.94883010971074
2.654,-5.92754925593563
2.655,-5.90644298709467
2.656,-5.88550953362844
2.657,-5.86474714934504
2.658,-5.84415411103772
2.659,-5.82372871811019
2.66,-5.80346929220971
2.661,-5.78337417686735
2.662,-5.76344173714566
2.663,-5.74367035929327
2.664,-5.72405845040639
2.665,-5.7046044380971
2.666,-5.68530677016799
2.667,-5.66616391429338
2.668,-5.64717435770669
2.669,-5.62833660689387
2.67,-5.60964918729291
2.671,-5.59111064299894
2.672,-5.57271953647519
2.673,-5.55447444826941
2.674,-5.53637397673567
2.675,-5.51841673776152
2.676,-5.50060136450021
2.677,-5.48292650710808
2.678,-5.46539083248673
2.679,-5.44799302403016
2.68,-5.4307317813765
2.681,-5.41360582016439
2.682,-5.39661387179385
2.683,-5.37975468319155
2.684,-5.36302701658039
2.685,-5.34642964925328
2.686,-5.32996137335098
2.687,-5.31362099564406
2.688,-5.29740733731871
2.689,-5.28131923376643
2.69,-5.26535553437748
2.691,-5.24951510233803
2.692,-5.23379681443091
2.693,-5.21819956083979
2.694,-5.202722244957
2.695,-5.18736378319454
2.696,-5.17212310479856
2.697,-5.15699915166692
