Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°),S31 Log Mag(dB),S31 Phase(°),S41 Log Mag(dB),S41 Phase(°),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS
1116000000,-4.1856356,110.58648,-6.5002284,-68.971428,-12.550388,-55.555897,-4.9994936,-126.84327,,-3.894795833,-6.918893925,-13.31906754,-5.199035236
1117000000,-4.1280727,110.63332,-6.4959064,-68.996269,-12.544469,-55.493172,-4.9537358,-126.91922,,-3.891486657,-6.923983619,-13.33731918,-5.197945785
1118000000,-4.1713462,110.62931,-6.4989901,-68.918358,-12.578399,-55.233177,-5.0068078,-126.82507,,-3.888180389,-6.929101583,-13.3555248,-5.196860753
1119000000,-4.1490335,110.33431,-6.5017009,-69.188194,-12.566892,-55.188858,-4.9585381,-127.14825,,-3.884877085,-6.934247972,-13.37368237,-5.195780192
1120000000,-4.1590729,110.29765,-6.5303845,-69.247627,-12.602318,-55.256042,-4.9660048,-127.31865,,-3.881576799,-6.939422941,-13.39178984,-5.194704151
1121000000,-4.154233,110.24152,-6.530509,-69.418404,-12.617537,-55.246101,-4.9845343,-127.63914,,-3.878279588,-6.944626645,-13.4098451,-5.193632681
1122000000,-4.1493177,110.24934,-6.5530705,-69.440842,-12.65115,-55.178703,-4.9985266,-127.55657,,-3.874985508,-6.94985924,-13.42784604,-5.192565834
1123000000,-4.1469069,110.0584,-6.5376897,-69.350616,-12.645952,-54.622078,-4.9552178,-127.50063,,-3.871694617,-6.955120883,-13.4457905,-5.19150366
1124000000,-4.1206422,109.81135,-6.5213332,-69.633141,-12.638355,-54.690727,-4.9500761,-127.90333,,-3.868406971,-6.960411732,-13.46367628,-5.190446211
1125000000,-4.1539006,109.67865,-6.5514627,-69.677574,-12.672854,-54.784046,-4.9800773,-128.08502,,-3.865122628,-6.965731947,-13.48150115,-5.18939354
1126000000,-4.1183887,109.38132,-6.5765471,-69.748161,-12.696718,-54.483189,-4.9748764,-128.1834,,-3.861841646,-6.971081685,-13.49926286,-5.188345699
1127000000,-4.1287804,109.4315,-6.576335,-69.75853,-12.714885,-54.396992,-4.9734612,-128.27086,,-3.858564085,-6.976461107,-13.51695912,-5.187302741
1128000000,-4.1562419,109.46653,-6.5603971,-69.966049,-12.726635,-54.2547,-4.966527,-128.42799,,-3.855290002,-6.981870373,-13.53458758,-5.18626472
1129000000,-4.1102138,109.02055,-6.5974927,-70.053207,-12.775947,-54.358868,-4.9815869,-128.71005,,-3.852019457,-6.987309647,-13.5521459,-5.185231688
1130000000,-4.1089478,109.13094,-6.5914221,-69.969803,-12.801017,-54.208771,-4.9769335,-128.71556,,-3.848752511,-6.992779088,-13.56963168,-5.184203701
1131000000,-4.1076126,109.11555,-6.5649824,-70.129402,-12.757758,-54.177574,-4.931706,-128.83838,,-3.845489223,-6.998278862,-13.58704248,-5.183180812
