Freq,M,H
1.865,49.68393879,74.76082
1.866,49.77502519,74.885354
1.867,49.86624879,75.012545
1.868,49.9576089,74.998856
1.869,50.04910485,75.063786
1.87,50.14073592,75.272617
1.871,50.23250142,75.323401
1.872,50.32440062,75.342008
1.873,50.4164328,75.203747
1.874,50.50859723,75.364151
1.875,50.60089315,75.610802
1.876,50.69331983,75.586134
1.877,50.7858765,75.608886
1.878,50.87856238,75.718514
1.879,50.9713767,75.484009
1.88,51.06431868,75.713844
1.881,51.1573875,75.975797
1.882,51.25058237,75.897676
1.883,51.34390248,76.097254
1.884,51.43734699,76.084664
1.885,51.53091508,76.103363
1.886,51.62460589,76.438484
1.887,51.71841859,76.141174
1.888,51.81235231,76.491582
1.889,51.90640617,76.709499
1.89,52.00057931,76.576005
1.891,52.09487084,76.44992
1.892,52.18927985,76.573155
1.893,52.28380544,76.669585
1.894,52.3784467,76.642398
1.895,52.47320271,77.072342
1.896,52.56807252,76.772173
1.897,52.66305521,76.898267
1.898,52.75814982,77.052958
1.899,52.85335538,77.161096
1.9,52.94867094,77.175525
1.901,53.04409551,77.191648
1.902,53.13962811,77.434999
1.903,53.23526774,77.519974
1.904,53.3310134,77.197267
1.905,53.42686408,77.526098
1.906,53.52281874,77.717399
1.907,53.61887637,77.464751
1.908,53.71503593,77.64342
1.909,53.81129635,77.759517
1.91,53.9076566,77.68012
1.911,54.00411559,77.899674
1.912,54.10067226,78.0284
1.913,54.19732552,78.071071
1.914,54.29407429,78.178988
1.915,54.39091745,78.085033
1.916,54.4878539,78.153765
1.917,54.58488253,78.290288
1.918,54.6820022,78.254737
1.919,54.77921178,78.29849
1.92,54.87651012,78.438116
1.921,54.97389608,78.85216
1.922,55.0713685,78.573476
1.923,55.1689262,78.613909
1.924,55.266568,78.684768
1.925,55.36429273,78.625824
1.926,55.46209918,78.867463
1.927,55.55998616,79.109665
1.928,55.65795246,79.124064
1.929,55.75599685,79.007929
1.93,55.8541181,79.02673
