Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase
2400000000,-6.7907271,-6.9172931,-68.522247,111.5139
2401000000,-6.8193598,-6.9834185,-68.48719,109.8365
2402000000,-6.8706069,-7.117456,-68.332466,108.24985
2403000000,-6.8609896,-7.2466927,-68.389366,107.02488
2404000000,-6.8698392,-7.3804183,-68.194717,105.75305
2405000000,-6.8724761,-7.6028609,-68.140015,104.85736
2406000000,-6.8584504,-7.8058457,-68.365868,103.85939
2407000000,-6.8062053,-7.9993763,-68.24221,103.5438
2408000000,-6.8026676,-8.240756,-68.404404,103.09397
2409000000,-6.7805567,-8.4509182,-68.783844,103.03928
2410000000,-6.7637591,-8.685626,-68.915184,103.42733
2411000000,-6.765564,-8.8697186,-69.239914,103.88175
2412000000,-6.7528229,-9.0755987,-69.567986,104.71057
2413000000,-6.7394128,-9.1981697,-69.907166,105.37621
2414000000,-6.7375269,-9.3120031,-70.328667,106.5863
2415000000,-6.7433572,-9.4184141,-70.584267,107.63339
2416000000,-6.7561927,-9.4181166,-70.986282,108.88222
2417000000,-6.8118415,-9.4120836,-71.25354,110.01463
2418000000,-6.8394227,-9.3513498,-71.414154,111.3324
2419000000,-6.8668723,-9.2652769,-71.673866,112.27912
2420000000,-6.8907375,-9.1325684,-71.825897,113.32325
2421000000,-6.9393578,-8.9852028,-71.972389,113.99161
2422000000,-6.9715285,-8.7835751,-71.962639,114.34264
2423000000,-7.0091672,-8.5695591,-72.097473,114.66549
2424000000,-7.0408063,-8.4051695,-71.926338,114.46518
2425000000,-7.0376477,-8.1995716,-71.967522,114.35303
2426000000,-7.0404334,-7.9713693,-72.004974,113.71525
2427000000,-7.009932,-7.7909446,-71.993515,112.72446
2428000000,-6.9903164,-7.6220107,-72.080078,111.64993
2429000000,-6.9783115,-7.4901958,-72.453613,110.41774
2430000000,-6.9762874,-7.3801279,-72.594185,108.91639
2431000000,-6.9593525,-7.3431349,-72.784645,107.63506
2432000000,-6.9629192,-7.3148808,-73.097237,105.8829
2433000000,-6.9730167,-7.3335238,-73.373306,104.32413
2434000000,-7.0329437,-7.3808708,-73.695389,102.44566
2435000000,-7.0730629,-7.5095758,-73.907265,100.87511
2436000000,-7.0985746,-7.6350803,-74.175514,99.591118
2437000000,-7.1359816,-7.8087859,-74.162735,98.301033
2438000000,-7.1734414,-7.9318414,-74.272789,97.292725
2439000000,-7.2234769,-8.1642065,-74.218292,96.431709
2440000000,-7.2054534,-8.4088573,-74.09697,95.917732
2441000000,-7.2086935,-8.6178102,-74.146393,95.578209
2442000000,-7.1916323,-8.8273811,-74.196564,95.720871
2443000000,-7.1831527,-9.0596523,-74.269905,95.901123
2444000000,-7.1842637,-9.2383595,-74.357407,96.465485
2445000000,-7.1541495,-9.4133863,-74.366714,97.196968
2446000000,-7.1151338,-9.5466824,-74.638741,97.85717
2447000000,-7.1017861,-9.6718044,-74.986732,98.667534
2448000000,-7.1120377,-9.7729406,-75.093262,100.05681
2449000000,-7.1228571,-9.7972727,-75.681984,101.27612
2450000000,-7.1255531,-9.7762108,-75.889,102.37077
2451000000,-7.1364236,-9.7470045,-76.174706,103.62916
2452000000,-7.1388993,-9.6520615,-76.444344,104.71886
2453000000,-7.1803041,-9.537878,-76.788467,105.7764
2454000000,-7.2227588,-9.3785305,-77.095734,106.27345
2455000000,-7.231782,-9.2093458,-77.337158,106.8606
2456000000,-7.2816644,-9.017211,-77.52253,107.23676
