!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:07:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°)
1767000000,-5.947454,120.95943
1768000000,-5.9563065,120.65543
1769000000,-6.0000405,120.59826
1770000000,-5.9881539,120.49582
1771000000,-6.0177641,120.33298
1772000000,-5.9986281,120.42483
1773000000,-5.987092,120.21712
1774000000,-6.0083647,120.32043
1775000000,-5.9856744,120.27649
1776000000,-6.0239978,120.02659
1777000000,-6.0128655,119.83695
1778000000,-6.0190825,119.68391
1779000000,-6.0604844,119.90082
1780000000,-6.0725756,120.05754
1781000000,-6.0638824,119.78184
1782000000,-6.0699077,119.58031
1783000000,-6.087039,119.64413
1784000000,-6.1037974,119.43453
1785000000,-6.077683,119.51107
1786000000,-6.067687,119.36475
1787000000,-6.0996623,119.36276
1788000000,-6.134325,119.19231
1789000000,-6.1102691,119.21982
