"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
3.891,-4.64683979073875,-4.14338319898827,-3.22246057636328,-3.35184648206723
3.892,-4.65961350941718,-4.13873490397577,-3.21544662471685,-3.3558659804728
3.893,-4.67245528650937,-4.13409180833793,-3.20843135780806,-3.35988892374023
3.894,-4.68536560633765,-4.12945390793549,-3.20141484196977,-3.36391531050557
3.895,-4.69834495748092,-4.12482119863231,-3.19439714420374,-3.36794513939393
3.896,-4.71139383281962,-4.12019367629547,-3.18737833218576,-3.37197840901948
3.897,-4.72451272958114,-4.11557133679533,-3.18035847427076,-3.37601511798528
3.898,-4.73770214938592,-4.1109541760056,-3.17333763949793,-3.38005526488324
3.899,-4.75096259829414,-4.10634218980343,-3.16631589759586,-3.38409884829406
3.9,-4.76429458685283,-4.10173537406942,-3.15929331898779,-3.38814586678709
3.901,-4.77769863014383,-4.09713372468778,-3.15226997479675,-3.39219631892023
3.902,-4.79117524783208,-4.09253723754632,-3.14524593685088,-3.39625020323991
3.903,-4.80472496421485,-4.08794590853655,-3.13822127768859,-3.40030751828092
3.904,-4.81834830827124,-4.08335973355376,-3.13119607056392,-3.40436826256636
3.905,-4.83204581371264,-4.07877870849711,-3.12417038945185,-3.40843243460754
3.906,-4.84581801903356,-4.07420282926966,-3.11714430905362,-3.41250003290386
3.907,-4.85966546756336,-4.06963209177847,-3.11011790480205,-3.41657105594273
3.908,-4.87358870751842,-4.06506649193465,-3.103091252867,-3.42064550219948
3.909,-4.88758829205522,-4.06050602565347,-3.09606443016073,-3.42472337013721
3.91,-4.90166477932381,-4.05595068885444,-3.08903751434335,-3.42880465820678
3.911,-4.91581873252236,-4.05140047746128,-3.08201058382824,-3.43288936484662
3.912,-4.93005071995194,-4.04685538740218,-3.0749837177876,-3.43697748848266
3.913,-4.94436131507254,-4.0423154146097,-3.06795699615788,-3.44106902752819
3.914,-4.95875109655933,-4.03778055502092,-3.06093049964534,-3.44516398038383
3.915,-4.97322064836007,-4.03325080457758,-3.05390430973159,-3.44926234543733
3.916,-4.98777055975292,-4.02872615922601,-3.04687850867916,-3.45336412106354
3.917,-5.00240142540534,-4.02420661491734,-3.03985317953708,-3.45746930562421
3.918,-5.01711384543342,-4.01969216760754,-3.03282840614652,-3.46157789746796
3.919,-5.03190842546238,-4.01518281325743,-3.0258042731464,-3.4656898949301
3.92,-5.04678577668748,-4.01067854783288,-3.01878086597906,-3.46980529633258
3.921,-5.06174651593607,-4.00617936730478,-3.01175827089591,-3.47392409998378
3.922,-5.07679126573019,-4.00168526764921,-3.00473657496317,-3.47804630417851
3.923,-5.09192065435031,-3.99719624484743,-2.99771586606755,-3.48217190719776
3.924,-5.10713531589953,-3.99271229488606,-2.990696232922,-3.48630090730865
3.925,-5.1224358903691,-3.98823341375704,-2.98367776507148,-3.49043330276431
3.926,-5.13782302370432,-3.98375959745787,-2.97666055289872,-3.49456909180373
3.927,-5.15329736787183,-3.97929084199155,-2.96964468763002,-3.49870827265163
3.928,-5.16885958092743,-3.97482714336671,-2.96263026134105,-3.50285084351834
3.929,-5.18451032708497,-3.97036849759773,-2.95561736696271,-3.50699680259969
3.93,-5.20025027678613,-3.9659149007048,-2.94860609828696,-3.51114614807679
3.931,-5.21608010677124,-3.96146634871399,-2.94159654997269,-3.51529887811602
3.932,-5.23200050015099,-3.95702283765733,-2.9345888175516,-3.5194549908688
3.933,-5.24801214647907,-3.95258436357294,-2.92758299743409,-3.52361448447149
3.934,-5.26411574182589,-3.94815092250509,-2.92057918691522,-3.52777735704525
3.935,-5.28031198885334,-3.94372251050426,-2.91357748418059,-3.53194360669585
3.936,-5.29660159689041,-3.93929912362727,-2.90657798831231,-3.53611323151362
3.937,-5.31298528201008,-3.93488075793734,-2.89958079929496,-3.54028622957321
3.938,-5.32946376710706,-3.93046740950421,-2.89258601802156,-3.54446259893349
3.939,-5.34603778197679,-3.9260590744042,-2.88559374629957,-3.54864233763741
3.94,-5.3627080633954,-3.92165574872029,-2.87860408685687,-3.55282544371179
3.941,-5.3794753552008,-3.91725742854226,-2.87161714334778,-3.55701191516726
3.942,-5.39634040837502,-3.91286410996673,-2.86463302035914,-3.56120174999801
3.943,-5.41330398112755,-3.90847578909728,-2.85765182341626,-3.56539494618166
3.944,-5.43036683897993,-3.90409246204451,-2.85067365898902,-3.56959150167917
3.945,-5.44752975485152,-3.8997141249262,-2.84369863449792,-3.57379141443458
3.946,-5.46479350914649,-3.89534077386731,-2.83672685832015,-3.57799468237493
3.947,-5.48215888984195,-3.89097240500016,-2.82975843979567,-3.58220130340998
3.948,-5.49962669257741,-3.88660901446447,-2.82279348923328,-3.58641127543217
3.949,-5.51719772074557,-3.88225059840746,-2.81583211791674,-3.59062459631641
3.95,-5.53487278558426,-3.87789715298399,-2.80887443811085,-3.59484126391985
3.951,-5.55265270626971,-3.8735486743566,-2.80192056306755,-3.59906127608179
3.952,-5.57053831001127,-3.86920515869564,-2.79497060703206,-3.60328463062342
3.953,-5.5885304321474,-3.86486660217934,-2.78802468524897,-3.60751132534773
3.954,-5.60662991624295,-3.86053300099394,-2.78108291396841,-3.61174135803926
3.955,-5.62483761418807,-3.85620435133378,-2.77414541045209,-3.61597472646396
3.956,-5.6431543862983,-3.85188064940138,-2.76721229297952,-3.62021142836895
3.957,-5.66158110141628,-3.84756189140757,-2.76028368085409,-3.62445146148244
3.958,-5.68011863701484,-3.84324807357157,-2.75335969440918,-3.62869482351338
3.959,-5.69876787930158,-3.83893919212107,-2.74644045501437,-3.63294151215143
