"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1))_1 []"
1.827,-1.51676498077458,-8.43975358221574
1.828,-1.5161289027091,-8.44049644624442
1.829,-1.5154907160998,-8.44124784347862
1.83,-1.51485043922841,-8.44200771502821
1.831,-1.51420809031977,-8.44277600225547
1.832,-1.51356368754199,-8.44355264677367
1.833,-1.51291724900616,-8.44433759044582
1.834,-1.51226879276605,-8.44513077538333
1.835,-1.51161833681845,-8.44593214394473
1.836,-1.51096589910261,-8.44674163873437
1.837,-1.51031149750033,-8.44755920260107
1.838,-1.50965514983589,-8.44838477863697
1.839,-1.50899687387584,-8.44921831017609
1.84,-1.50833668732896,-8.45005974079314
1.841,-1.5076746078462,-8.45090901430226
1.842,-1.50701065302052,-8.45176607475568
1.843,-1.50634484038681,-8.45263086644254
1.844,-1.50567718742179,-8.45350333388757
1.845,-1.505007711544,-8.45438342184988
1.846,-1.50433643011375,-8.45527107532171
1.847,-1.50366336043294,-8.45616623952715
1.848,-1.50298851974493,-8.45706885992095
1.849,-1.50231192523465,-8.4579788821873
1.85,-1.5016335940285,-8.45889625223852
1.851,-1.5009535431942,-8.45982091621397
1.852,-1.50027178974071,-8.46075282047872
1.853,-1.49958835061832,-8.46169191162242
1.854,-1.49890324271856,-8.46263813645803
1.855,-1.49821648287402,-8.46359144202072
1.856,-1.49752808785842,-8.46455177556656
1.857,-1.49683807438657,-8.46551908457143
1.858,-1.49614645911422,-8.46649331672981
1.859,-1.49545325863822,-8.46747441995358
1.86,-1.49475848949628,-8.46846234237087
1.861,-1.49406216816707,-8.46945703232491
1.862,-1.49336431107018,-8.47045843837286
1.863,-1.49266493456592,-8.47146650928466
1.864,-1.49196405495564,-8.47248119404187
1.865,-1.49126168848144,-8.47350244183655
1.866,-1.49055785132618,-8.47453020207012
1.867,-1.48985255961346,-8.47556442435223
1.868,-1.48914582940785,-8.47660505849962
1.869,-1.48843767671455,-8.47765205453502
1.87,-1.48772811747957,-8.47870536268604
1.871,-1.48701716758963,-8.47976493338407
1.872,-1.48630484287222,-8.48083071726314
1.873,-1.4855911590957,-8.48190266515887
1.874,-1.48487613196899,-8.48298072810735
1.875,-1.48415977714207,-8.4840648573441
1.876,-1.48344211020536,-8.48515500430291
1.877,-1.48272314669034,-8.48625112061488
1.878,-1.48200290206915,-8.48735315810724
1.879,-1.48128139175483,-8.4884610688024
1.88,-1.48055863110114,-8.48957480491676
1.881,-1.47983463540285,-8.49069431885983
1.882,-1.47910941989559,-8.49181956323303
1.883,-1.4783829997557,-8.49295049082875
1.884,-1.47765539010071,-8.49408705462927
1.885,-1.47692660598902,-8.49522920780577
1.886,-1.47619666241994,-8.49637690371729
1.887,-1.47546557433394,-8.4975300959097
1.888,-1.47473335661243,-8.49868873811472
1.889,-1.47400002407801,-8.4998527842489
1.89,-1.47326559149446,-8.50102218841264
1.891,-1.47253007356662,-8.50219690488916
1.892,-1.47179348494065,-8.50337688814357
1.893,-1.47105584020397,-8.50456209282184
1.894,-1.47031715388526,-8.50575247374987
1.895,-1.46957744045472,-8.50694798593245
1.896,-1.46883671432384,-8.50814858455239
1.897,-1.46809498984569,-8.50935422496949
1.898,-1.46735228131478,-8.51056486271963
1.899,-1.46660860296723,-8.51178045351379
1.9,-1.46586396898093,-8.51300095323716
1.901,-1.46511839347535,-8.51422631794811
1.902,-1.46437189051177,-8.51545650387741
1.903,-1.46362447409336,-8.51669146742712
1.904,-1.46287615816522,-8.51793116516986
1.905,-1.4621269566143,-8.51917555384776
1.906,-1.46137688326974,-8.5204245903716
1.907,-1.46062595190271,-8.52167823181993
1.908,-1.45987417622663,-8.52293643543815
1.909,-1.45912156989714,-8.52419915863761
1.91,-1.45836814651223,-8.52546635899476
1.911,-1.45761391961244,-8.52673799425022
1.912,-1.45685890268054,-8.52801402230795
1.913,-1.45610310914219,-8.52929440123438
1.914,-1.4553465523655,-8.5305790892575
1.915,-1.45458924566146,-8.53186804476608
1.916,-1.45383120228378,-8.53316122630874
1.917,-1.45307243542922,-8.53445859259313
1.918,-1.4523129582375,-8.53576010248512
1.919,-1.45155278379142,-8.53706571500793
1.92,-1.45079192511697,-8.53837538934133
1.921,-1.45003039518342,-8.53968908482074
1.922,-1.44926820690354,-8.54100676093649
1.923,-1.44850537313342,-8.542328377333
1.924,-1.44774190667284,-8.54365389380792
1.925,-1.44697782026512,-8.54498327031136
1.926,-1.44621312659749,-8.54631646694509
1.927,-1.44544783830097,-8.54765344396173
1.928,-1.44468196795058,-8.54899416176398
1.929,-1.44391552806541,-8.55033858090383
1.93,-1.44314853110875,-8.55168666208179
1.931,-1.4423809894881,-8.55303836614607
1.932,-1.44161291555546,-8.55439365409189
1.933,-1.44084432160728,-8.55575248706065
1.934,-1.44007521988458,-8.55711482633921
1.935,-1.43930562257315,-8.55848063335911
1.936,-1.43853554180356,-8.55984986969585
1.937,-1.43776498965137,-8.56122249706814
1.938,-1.43699397813718,-8.56259847733713
1.939,-1.43622251922674,-8.56397777250574
1.94,-1.43545062483112,-8.56536034471785
1.941,-1.43467830680673,-8.56674615625767
1.942,-1.43390557695553,-8.56813516954893
1.943,-1.43313244702512,-8.56952734715423
1.944,-1.43235892870882,-8.57092265177432
1.945,-1.43158503364586,-8.57232104624737
1.946,-1.43081077342147,-8.5737224935483
1.947,-1.43003615956693,-8.57512695678808
1.948,-1.42926120355983,-8.57653439921302
1.949,-1.42848591682407,-8.57794478420411
1.95,-1.42771031073006,-8.57935807527634
1.951,-1.42693439659477,-8.58077423607801
1.952,-1.42615818568204,-8.58219323039004
1.953,-1.42538168920237,-8.58361502212538
1.954,-1.42460491831341,-8.58503957532825
