"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
3.172,-10.8413367869919,-0.799557182464803
3.173,-10.830613591298,-0.80083760782581
3.174,-10.8199001551721,-0.802120460296205
3.175,-10.8091964508444,-0.803405744705311
3.176,-10.7985024506412,-0.804693465897443
3.177,-10.7878181269841,-0.805983628731979
3.178,-10.7771434523901,-0.807276238083404
3.179,-10.7664783994708,-0.808571298841361
3.18,-10.7558229409324,-0.809868815910691
3.181,-10.7451770495747,-0.811168794211488
3.182,-10.7345406982913,-0.812471238679149
3.183,-10.7239138600689,-0.813776154264411
3.184,-10.713296507987,-0.815083545933433
3.185,-10.7026886152172,-0.816393418667807
3.186,-10.6920901550236,-0.817705777464627
3.187,-10.6815011007614,-0.81902062733654
3.188,-10.6709214258772,-0.820337973311799
3.189,-10.6603511039085,-0.821657820434296
3.19,-10.6497901084832,-0.822980173763635
3.191,-10.6392384133192,-0.82430503837517
3.192,-10.6286959922242,-0.825632419360055
3.193,-10.6181628190951,-0.826962321825306
3.194,-10.6076388679179,-0.828294750893838
3.195,-10.5971241127671,-0.829629711704535
3.196,-10.5866185278055,-0.830967209412274
3.197,-10.5761220872835,-0.83230724918802
3.198,-10.5656347655393,-0.833649836218822
3.199,-10.5551565369981,-0.834994975707916
3.2,-10.5446873761719,-0.836342672874762
3.201,-10.5342272576591,-0.837692932955068
3.202,-10.5237761561442,-0.839045761200899
3.203,-10.5133340463973,-0.840401162880675
3.204,-10.502900903274,-0.841759143279256
3.205,-10.492476701715,-0.843119707697982
3.206,-10.4820614167454,-0.844482861454756
3.207,-10.4716550234748,-0.84584860988404
3.208,-10.4612574970969,-0.847216958336967
3.209,-10.4508688128888,-0.848587912181377
3.21,-10.4404889462112,-0.849961476801841
3.211,-10.4301178725076,-0.851337657599766
3.212,-10.4197555673041,-0.85271645999342
3.213,-10.4094020062094,-0.854097889417988
3.214,-10.3990571649139,-0.855481951325638
3.215,-10.3887210191897,-0.85686865118557
3.216,-10.3783935448905,-0.85825799448407
3.217,-10.3680747179507,-0.859649986724574
3.218,-10.3577645143857,-0.861044633427723
3.219,-10.3474629102909,-0.86244194013141
3.22,-10.3371698818422,-0.863841912390838
3.221,-10.3268854052949,-0.8652445557786
3.222,-10.316609456984,-0.866649875884701
3.223,-10.3063420133234,-0.868057878316637
3.224,-10.2960830508059,-0.869468568699448
3.225,-10.2858325460029,-0.870881952675793
3.226,-10.275590475564,-0.872298035905958
3.227,-10.2653568162165,-0.873716824067971
3.228,-10.2551315447654,-0.875138322857641
3.229,-10.2449146380932,-0.876562537988592
3.23,-10.2347060731591,-0.877989475192355
3.231,-10.2245058269992,-0.879419140218414
3.232,-10.214313876726,-0.880851538834262
3.233,-10.2041301995279,-0.882286676825474
3.234,-10.1939547726694,-0.883724559995741
3.235,-10.1837875734904,-0.885165194166958
3.236,-10.1736285794061,-0.886608585179271
3.237,-10.1634777679066,-0.888054738891143
3.238,-10.1533351165568,-0.889503661179393
3.239,-10.1432006029958,-0.890955357939298
3.24,-10.1330742049371,-0.892409835084617
3.241,-10.1229559001677,-0.893867098547673
3.242,-10.1128456665484,-0.895327154279393
3.243,-10.1027434820131,-0.896790008249406
3.244,-10.092649324569,-0.898255666446076
3.245,-10.0825631722958,-0.899724134876558
3.246,-10.0724850033457,-0.901195419566897
3.247,-10.0624147959431,-0.902669526562054
3.248,-10.0523525283845,-0.904146461925989
3.249,-10.0422981790377,-0.905626231741718
3.25,-10.0322517263423,-0.907108842111371
3.251,-10.0222131488087,-0.908594299156276
3.252,-10.0121824250184,-0.910082609017002
3.253,-10.0021595336236,-0.911573777853421
3.254,-9.99214445334643,-0.913067811844797
3.255,-9.98213716297959,-0.914564717189825
3.256,-9.97213764138538,-0.916064500106716
3.257,-9.96214586749575,-0.917567166833241
3.258,-9.95216182031199,-0.919072723626818
3.259,-9.9421854789045,-0.920581176764562
3.26,-9.93221682241248,-0.922092532543363
3.261,-9.92225583004376,-0.923606797279938
3.262,-9.91230248107452,-0.925123977310914
3.263,-9.90235675484903,-0.926644078992884
3.264,-9.89241863077941,-0.928167108702468
3.265,-9.88248808834545,-0.929693072836397
3.266,-9.87256510709426,-0.931221977811571
3.267,-9.86264966664014,-0.932753830065131
3.268,-9.85274174666426,-0.934288636054512
3.269,-9.8428413269145,-0.935826402257534
3.27,-9.83294838720511,-0.93736713517246
3.271,-9.82306290741663,-0.938910841318053
3.272,-9.8131848674955,-0.940457527233667
3.273,-9.80331424745393,-0.942007199479302
3.274,-9.79345102736963,-0.943559864635682
3.275,-9.78359518738561,-0.945115529304298
3.276,-9.77374670770993,-0.946674200107539
3.277,-9.76390556861549,-0.948235883688682
3.278,-9.75407175043981,-0.949800586712037
3.279,-9.74424523358477,-0.95136831586296
3.28,-9.73442599851644,-0.952939077847971
3.281,-9.72461402576485,-0.954512879394783
3.282,-9.71480929592373,-0.95608972725241
3.283,-9.70501178965037,-0.957669628191215
3.284,-9.69522148766534,-0.959252589002986
3.285,-9.68543837075228,-0.96083861650103
3.286,-9.67566241975774,-0.962427717520215
3.287,-9.66589361559088,-0.964019898917053
3.288,-9.65613193922337,-0.965615167569786
3.289,-9.64637737168912,-0.967213530378451
3.29,-9.63662989408403,-0.96881499426495
3.291,-9.62688948756588,-0.970419566173123
3.292,-9.61715613335405,-0.972027253068845
3.293,-9.60742981272936,-0.973638061940063
3.294,-9.59771050703382,-0.975251999796899
3.295,-9.58799819767051,-0.976869073671723
3.296,-9.57829286610329,-0.978489290619213
3.297,-9.56859449385666,-0.980112657716449
3.298,-9.55890306251553,-0.981739182062974
3.299,-9.54921855372504,-0.983368870780887
3.3,-9.53954094919037,-0.985001731014907
3.301,-9.52987023067654,-0.986637769932446
3.302,-9.52020638000822,-0.988276994723703
3.303,-9.51054937906951,-0.989919412601731
3.304,-9.50089920980379,-0.991565030802511
3.305,-9.49125585421352,-0.993213856585045
