Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1148000000,-6.9812565,,-1.2274117,,-1.5324895,,-14.823503,,-0.829779117,-15.17667465
1149000000,-6.9738255,,-1.2506876,,-1.5025282,,-14.763506,,-0.83150134,-15.15021565
1150000000,-6.9939022,,-1.2232755,,-1.5425397,,-14.780955,,-0.833229733,-15.12379802
1151000000,-7.0295906,,-1.2661769,,-1.5119059,,-14.782928,,-0.834964262,-15.09742191
1152000000,-7.0480556,,-1.2708156,,-1.5284004,,-14.785925,,-0.836704897,-15.07108746
1153000000,-7.0210824,,-1.247359,,-1.4740986,,-14.716759,,-0.838451603,-15.04479481
1154000000,-7.0390224,,-1.2354708,,-1.4817683,,-14.706676,,-0.840204349,-15.01854412
1155000000,-7.0702567,,-1.2443219,,-1.5034502,,-14.718259,,-0.8419631,-14.99233553
1156000000,-7.0743365,,-1.2488191,,-1.4897695,,-14.722928,,-0.843727825,-14.96616918
1157000000,-7.1108403,,-1.2433308,,-1.4892131,,-14.671947,,-0.845498487,-14.94004522
1158000000,-7.1023288,,-1.2443714,,-1.4804622,,-14.679115,,-0.847275055,-14.9139638
1159000000,-7.1287284,,-1.2705026,,-1.50797,,-14.722211,,-0.849057493,-14.88792506
1160000000,-7.1324244,,-1.2772759,,-1.461513,,-14.651388,,-0.850845767,-14.86192914
1161000000,-7.159019,,-1.2609593,,-1.4666944,,-14.656703,,-0.852639842,-14.8359762
1162000000,-7.186132,,-1.2473968,,-1.4624412,,-14.647982,,-0.854439682,-14.81006638
1163000000,-7.1864305,,-1.2619424,,-1.459312,,-14.629634,,-0.856245253,-14.78419982
1164000000,-7.1995378,,-1.2778966,,-1.4607561,,-14.649067,,-0.858056519,-14.75837666
1165000000,-7.1972427,,-1.265406,,-1.464734,,-14.630805,,-0.859873443,-14.73259707
1166000000,-7.2094002,,-1.2661914,,-1.4829146,,-14.607288,,-0.86169599,-14.70686117
1167000000,-7.2137108,,-1.2480689,,-1.434855,,-14.575729,,-0.863524122,-14.68116913
1168000000,-7.2174392,,-1.2464093,,-1.4450186,,-14.581837,,-0.865357804,-14.65552107
1169000000,-7.2250333,,-1.2687663,,-1.4506313,,-14.546288,,-0.867196998,-14.62991716
1170000000,-7.2616339,,-1.2687001,,-1.4590799,,-14.54755,,-0.869041666,-14.60435753
1171000000,-7.2754374,,-1.2641915,,-1.4317268,,-14.530332,,-0.870891772,-14.57884232
1172000000,-7.2661481,,-1.2605411,,-1.4511232,,-14.51455,,-0.872747276,-14.5533717
1173000000,-7.2882614,,-1.2631022,,-1.4455003,,-14.516088,,-0.874608142,-14.52794579
1174000000,-7.3077526,,-1.2758583,,-1.4644705,,-14.535598,,-0.876474331,-14.50256475
1175000000,-7.3399434,,-1.2684973,,-1.4424092,,-14.491143,,-0.878345804,-14.47722872
1176000000,-7.3486228,,-1.2854737,,-1.4529752,,-14.52743,,-0.880222522,-14.45193785
1177000000,-7.3566055,,-1.2606401,,-1.4236757,,-14.498501,,-0.882104446,-14.42669229
