"Freq [GHz]","S(1,1) []"
1.534,-0.980917071554876 + 0.167816517720495i
1.535,-0.98084269558583 + 0.168233678172499i
1.536,-0.980768140280827 + 0.168650735456103i
1.537,-0.98069340565918 + 0.169067690037513i
1.538,-0.980618491739172 + 0.169484542382485i
1.539,-0.980543398538061 + 0.169901292956325i
1.54,-0.980468126072074 + 0.170317942223888i
1.541,-0.980392674356412 + 0.17073449064959i
1.542,-0.980317043405248 + 0.171150938697401i
1.543,-0.98024123323173 + 0.17156728683086i
1.544,-0.980165243847977 + 0.171983535513063i
1.545,-0.980089075265087 + 0.172399685206674i
1.546,-0.980012727493127 + 0.172815736373933i
1.547,-0.979936200541144 + 0.173231689476653i
1.548,-0.979859494417156 + 0.173647544976219i
1.549,-0.97978260912816 + 0.174063303333597i
1.55,-0.979705544680127 + 0.17447896500934i
1.551,-0.979628301078006 + 0.17489453046358i
1.552,-0.979550878325722 + 0.175310000156041i
1.553,-0.979473276426176 + 0.175725374546037i
1.554,-0.979395495381247 + 0.176140654092478i
1.555,-0.979317535191791 + 0.176555839253868i
1.556,-0.979239395857643 + 0.176970930488313i
1.557,-0.979161077377614 + 0.177385928253522i
1.558,-0.979082579749495 + 0.177800833006808i
1.559,-0.979003902970053 + 0.178215645205094i
1.56,-0.978925047035036 + 0.178630365304917i
1.561,-0.978846011939169 + 0.179044993762424i
1.562,-0.978766797676156 + 0.17945953103338i
1.563,-0.97868740423868 + 0.179873977573174i
