Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
2.981,-13.07049803,-3.73763061,-14.97086223,-3.713573995,-17.74221419,-14.95257354
2.982,-13.06934128,-3.737802272,-14.97160115,-3.713720167,-17.75074195,-14.95409756
2.983,-13.06819519,-3.737973301,-14.9723464,-3.71386586,-17.75927613,-14.95562749
2.984,-13.06705977,-3.738143697,-14.97309797,-3.714011072,-17.76781674,-14.95716331
2.985,-13.065935,-3.73831346,-14.97385586,-3.714155803,-17.77636379,-14.95870503
2.986,-13.06482091,-3.73848259,-14.97462007,-3.714300054,-17.78491731,-14.96025264
2.987,-13.06371749,-3.738651087,-14.9753906,-3.714443824,-17.79347729,-14.96180613
2.988,-13.06262474,-3.738818952,-14.97616745,-3.714587114,-17.80204375,-14.9633655
2.989,-13.06154267,-3.738986183,-14.97695062,-3.714729922,-17.8106167,-14.96493074
2.99,-13.06047128,-3.739152781,-14.9777401,-3.714872248,-17.81919616,-14.96650185
2.991,-13.05941058,-3.739318746,-14.9785359,-3.715014094,-17.82778214,-14.96807882
2.992,-13.05836056,-3.739484079,-14.97933801,-3.715155457,-17.83637465,-14.96966164
2.993,-13.05732124,-3.739648778,-14.98014644,-3.715296339,-17.84497371,-14.97125032
2.994,-13.0562926,-3.739812845,-14.98096118,-3.71543674,-17.85357932,-14.97284484
2.995,-13.05527467,-3.739976279,-14.98178223,-3.715576658,-17.8621915,-14.9744452
2.996,-13.05426743,-3.740139081,-14.98260958,-3.715716094,-17.87081026,-14.97605139
2.997,-13.05327089,-3.74030125,-14.98344325,-3.715855049,-17.87943561,-14.97766341
2.998,-13.05228506,-3.740462786,-14.98428322,-3.715993521,-17.88806758,-14.97928125
2.999,-13.05130994,-3.74062369,-14.9851295,-3.71613151,-17.89670616,-14.9809049
3,-13.05034552,-3.740783962,-14.98598208,-3.716269017,-17.90535137,-14.98253436
3.001,-13.04939182,-3.740943602,-14.98684096,-3.716406041,-17.91400324,-14.98416963
3.002,-13.04844884,-3.74110261,-14.98770615,-3.716542583,-17.92266176,-14.98581069
3.003,-13.04751658,-3.741260986,-14.98857763,-3.716678642,-17.93132695,-14.98745754
3.004,-13.04659504,-3.74141873,-14.98945541,-3.716814218,-17.93999883,-14.98911018
3.005,-13.04568422,-3.741575843,-14.99033949,-3.716949311,-17.9486774,-14.99076859
3.006,-13.04478413,-3.741732324,-14.99122986,-3.717083921,-17.95736269,-14.99243278
3.007,-13.04389477,-3.741888174,-14.99212652,-3.717218048,-17.9660547,-14.99410272
3.008,-13.04301614,-3.742043393,-14.99302947,-3.717351692,-17.97475345,-14.99577843
3.009,-13.04214825,-3.74219798,-14.99393871,-3.717484853,-17.98345895,-14.99745989
3.01,-13.04129109,-3.742351938,-14.99485424,-3.71761753,-17.99217121,-14.9991471
3.011,-13.04044468,-3.742505264,-14.99577605,-3.717749724,-18.00089025,-15.00084004
3.012,-13.03960901,-3.742657961,-14.99670415,-3.717881434,-18.00961608,-15.00253872
3.013,-13.03878409,-3.742810027,-14.99763852,-3.718012661,-18.01834872,-15.00424312
3.014,-13.03796991,-3.742961463,-14.99857917,-3.718143405,-18.02708817,-15.00595324
3.015,-13.03716649,-3.74311227,-14.99952611,-3.718273665,-18.03583446,-15.00766907
3.016,-13.03637382,-3.743262447,-15.00047931,-3.718403441,-18.04458759,-15.00939061
3.017,-13.0355919,-3.743411995,-15.00143879,-3.718532733,-18.05334758,-15.01111784
3.018,-13.03482074,-3.743560914,-15.00240454,-3.718661542,-18.06211444,-15.01285077
3.019,-13.03406035,-3.743709204,-15.00337655,-3.718789868,-18.07088819,-15.01458938
3.02,-13.03331071,-3.743856866,-15.00435483,-3.718917709,-18.07966884,-15.01633366
3.021,-13.03257185,-3.7440039,-15.00533938,-3.719045067,-18.0884564,-15.01808362
3.022,-13.03184375,-3.744150306,-15.00633018,-3.719171941,-18.09725089,-15.01983924
3.023,-13.03112642,-3.744296085,-15.00732725,-3.719298331,-18.10605232,-15.02160051
3.024,-13.03041986,-3.744441236,-15.00833057,-3.719424237,-18.1148607,-15.02336744
3.025,-13.02972408,-3.74458576,-15.00934014,-3.71954966,-18.12367606,-15.02514
3.026,-13.02903908,-3.744729658,-15.01035597,-3.719674599,-18.1324984,-15.0269182
