Freq [GHz],S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
2.152,1.289853721,46.48081786,168.3634578,46.48396454,-48.74285679,168.3242099
2.153,1.259833992,46.33259692,168.2410303,46.33575767,-48.92326178,168.2026293
2.154,1.229749778,46.18437607,168.1185592,46.1875506,-49.10366438,168.0810021
2.155,1.199600362,46.03615532,167.9960446,46.03934334,-49.2840646,167.9593284
2.156,1.169385025,45.88793468,167.8734865,45.89113589,-49.46446242,167.837608
2.157,1.139103051,45.73971415,167.7508849,45.74292826,-49.64485784,167.7158411
2.158,1.108753727,45.59149374,167.62824,45.59472047,-49.82525085,167.5940278
2.159,1.07833634,45.44327347,167.5055516,45.44651251,-50.00564146,167.4721679
2.16,1.04785018,45.29505334,167.3828199,45.29830441,-50.18602966,167.3502616
2.161,1.017294539,45.14683336,167.2600448,45.15009617,-50.36641543,167.2283089
2.162,0.986668711,44.99861354,167.1372265,45.0018878,-50.54679879,167.1063098
2.163,0.955971992,44.85039389,167.0143649,44.8536793,-50.72717972,166.9842643
2.164,0.92520368,44.70217441,166.8914601,44.70547069,-50.90755822,166.8621725
2.165,0.894363075,44.55395513,166.7685122,44.55726197,-51.08793428,166.7400344
2.166,0.863449479,44.40573603,166.6455211,44.40905316,-51.2683079,166.61785
2.167,0.832462197,44.25751715,166.5224869,44.26084427,-51.44867907,166.4956194
2.168,0.801400535,44.10929847,166.3994096,44.11263529,-51.6290478,166.3733426
2.169,0.770263802,43.96108002,166.2762893,43.96442625,-51.80941407,166.2510196
2.17,0.73905131,43.8128618,166.1531261,43.81621714,-51.98977788,166.1286505
2.171,0.707762371,43.66464382,166.0299199,43.66800798,-52.17013923,166.0062353
2.172,0.676396301,43.51642608,165.9066708,43.51979879,-52.35049812,165.883774
2.173,0.644952419,43.36820861,165.7833788,43.37158955,-52.53085452,165.7612666
2.174,0.613430044,43.2199914,165.660044,43.2233803,-52.71120846,165.6387133
2.175,0.5818285,43.07177446,165.5366664,43.07517102,-52.89155991,165.516114
2.176,0.550147112,42.92355781,165.4132461,42.92696175,-53.07190887,165.3934688
2.177,0.518385208,42.77534146,165.2897831,42.77875247,-53.25225535,165.2707777
2.178,0.486542117,42.6271254,165.1662774,42.6305432,-53.43259933,165.1480407
2.179,0.454617172,42.47890966,165.0427292,42.48233396,-53.61294081,165.0252579
2.18,0.422609709,42.33069423,164.9191383,42.33412474,-53.79327979,164.9024293
2.181,0.390519066,42.18247914,164.7955049,42.18591556,-53.97361625,164.779555
2.182,0.358344582,42.03426438,164.6718291,42.03770643,-54.15395021,164.656635
2.183,0.326085601,41.88604996,164.5481107,41.88949735,-54.33428165,164.5336693
2.184,0.293741469,41.7378359,164.42435,41.74128834,-54.51461057,164.4106579
2.185,0.261311533,41.58962221,164.300547,41.5930794,-54.69493697,164.287601
2.186,0.228795145,41.44140888,164.1767016,41.44487054,-54.87526083,164.1644985
2.187,0.196191659,41.29319594,164.052814,41.29666178,-55.05558216,164.0413505
2.188,0.163500431,41.14498339,163.9288841,41.14845311,-55.23590095,163.918157
2.189,0.130720819,40.99677124,163.8049121,41.00024455,-55.4162172,163.7949181
2.19,0.097852188,40.84855949,163.680898,40.85203611,-55.59653091,163.6716339
2.191,0.0648939,40.70034816,163.5568418,40.7038278,-55.77684206,163.5483042
2.192,0.031845324,40.55213725,163.4327435,40.55561962,-55.95715066,163.4249293
2.193,-0.00129417,40.40392678,163.3086033,40.40741158,-56.13745669,163.301509
2.194,-0.034525208,40.25571675,163.1844211,40.2592037,-56.31776017,163.1780436
2.195,-0.067848413,40.10750718,163.0601971,40.11099598,-56.49806108,163.054533
2.196,-0.101264407,39.95929806,162.9359312,39.96278843,-56.67835941,162.9309772
2.197,-0.134773808,39.81108941,162.8116235,39.81458106,-56.85865517,162.8073764
2.198,-0.16837723,39.66288123,162.6872741,39.66637388,-57.03894835,162.6837304
2.199,-0.202075284,39.51467355,162.562883,39.51816689,-57.21923894,162.5600395
2.2,-0.23586858,39.36646635,162.4384503,39.36996011,-57.39952694,162.4363036
2.201,-0.269757724,39.21825967,162.3139759,39.22175355,-57.57981236,162.3125228
2.202,-0.303743317,39.07005349,162.18946,39.0735472,-57.76009517,162.1886972
2.203,-0.33782596,38.92184783,162.0649027,38.92534109,-57.94037539,162.0648266
2.204,-0.37200625,38.7736427,161.9403038,38.77713522,-58.120653,161.9409114
2.205,-0.406284778,38.62543811,161.8156636,38.6289296,-58.300928,161.8169513
2.206,-0.440662137,38.47723407,161.6909821,38.48072424,-58.48120039,161.6929466
2.207,-0.475138912,38.32903058,161.5662592,38.33251915,-58.66147016,161.5688972
2.208,-0.509715687,38.18082766,161.4414952,38.18431433,-58.84173731,161.4448032
2.209,-0.544393044,38.03262531,161.3166899,38.03610979,-59.02200183,161.3206647
2.21,-0.57917156,37.88442354,161.1918435,37.88790555,-59.20226373,161.1964817
2.211,-0.614051809,37.73622235,161.0669561,37.73970161,-59.38252299,161.0722542
2.212,-0.649034361,37.58802177,160.9420276,37.59149798,-59.56277962,160.9479823
2.213,-0.684119785,37.43982179,160.8170581,37.44329467,-59.74303361,160.823666
2.214,-0.719308646,37.29162243,160.6920478,37.29509169,-59.92328495,160.6993055
2.215,-0.754601503,37.14342369,160.5669965,37.14688904,-60.10353365,160.5749006
2.216,-0.789998916,36.99522559,160.4419045,36.99868674,-60.28377969,160.4504516
2.217,-0.825501437,36.84702812,160.3167717,36.8504848,-60.46402307,160.3259583
2.218,-0.86110962,36.69883131,160.1915982,36.70228322,-60.6442638,160.201421
2.219,-0.896824011,36.55063515,160.066384,36.554082,-60.82450186,160.0768396
2.22,-0.932645154,36.40243966,159.9411293,36.40588117,-61.00473726,159.9522141
2.221,-0.968573591,36.25424484,159.815834,36.25768073,-61.18496998,159.8275447
2.222,-1.004609859,36.10605071,159.6904983,36.10948068,-61.36520003,159.7028314
2.223,-1.040754493,35.95785727,159.5651221,35.96128104,-61.5454274,159.5780742
2.224,-1.077008022,35.80966452,159.4397055,35.81308182,-61.72565209,159.4532732
2.225,-1.113370975,35.66147249,159.3142487,35.66488302,-61.90587409,159.3284284
2.226,-1.149843874,35.51328118,159.1887516,35.51668465,-62.0860934,159.20354
2.227,-1.186427241,35.36509058,159.0632143,35.36848672,-62.26631002,159.0786078
2.228,-1.223121592,35.21690073,158.9376368,35.22028923,-62.44652394,158.9536321
2.229,-1.259927441,35.06871161,158.8120193,35.07209221,-62.62673516,158.8286127
2.23,-1.296845296,34.92052325,158.6863617,34.92389565,-62.80694367,158.7035499
2.231,-1.333875665,34.77233565,158.5606642,34.77569957,-62.98714948,158.5784437
2.232,-1.37101905,34.62414881,158.4349267,34.62750397,-63.16735258,158.453294
2.233,-1.408275951,34.47596275,158.3091495,34.47930886,-63.34755296,158.328101
2.234,-1.445646862,34.32777747,158.1833324,34.33111425,-63.52775062,158.2028646
2.235,-1.483132276,34.17959298,158.0574755,34.18292015,-63.70794556,158.0775851
2.236,-1.520732681,34.0314093,157.931579,34.03472657,-63.88813777,157.9522623
2.237,-1.558448563,33.88322642,157.8056429,33.88653351,-64.06832726,157.8268965
2.238,-1.596280402,33.73504437,157.6796673,33.73834099,-64.24851401,157.7014875
2.239,-1.634228676,33.58686313,157.5536521,33.59014901,-64.42869802,157.5760355
2.24,-1.672293859,33.43868273,157.4275975,33.44195758,-64.6088793,157.4505406
2.241,-1.710476421,33.29050318,157.3015035,33.29376671,-64.78905783,157.3250027
2.242,-1.74877683,33.14232447,157.1753702,33.14557641,-64.96923361,157.199422
2.243,-1.787195548,32.99414662,157.0491976,32.99738668,-65.14940665,157.0737985
2.244,-1.825733035,32.84596964,156.9229858,32.84919754,-65.32957693,156.9481322
2.245,-1.864389747,32.69779354,156.7967349,32.70100899,-65.50974445,156.8224232
2.246,-1.903166135,32.54961831,156.6704449,32.55282105,-65.68990922,156.6966716
2.247,-1.942062649,32.40144398,156.5441159,32.40463371,-65.87007122,156.5708774
2.248,-1.981079732,32.25327055,156.417748,32.25644699,-66.05023045,156.4450407
2.249,-2.020217827,32.10509803,156.2913411,32.1082609,-66.23038692,156.3191615
2.25,-2.05947737,31.95692642,156.1648955,31.96007544,-66.41054061,156.1932399
2.251,-2.098858796,31.80875573,156.038411,31.81189063,-66.59069152,156.067276
2.252,-2.138362533,31.66058598,155.9118879,31.66370647,-66.77083965,155.9412697
2.253,-2.177989009,31.51241717,155.785326,31.51552297,-66.95098501,155.8152212
2.254,-2.217738647,31.3642493,155.6587257,31.36734013,-67.13112757,155.6891305
2.255,-2.257611864,31.21608239,155.5320867,31.21915798,-67.31126735,155.5629977
2.256,-2.297609076,31.06791645,155.4054094,31.07097651,-67.49140433,155.4368228
2.257,-2.337730695,30.91975148,155.2786936,30.92279573,-67.67153851,155.3106059
2.258,-2.377977129,30.77158748,155.1519395,30.77461565,-67.8516699,155.1843471
2.259,-2.41834878,30.62342448,155.0251471,30.62643628,-68.03179849,155.0580463
