frequency, S11, S12, S21, S22
2399915264.0000000000, -5.2116131030, -2.2038883118, -2.2038875688, -5.2116060769
2400915200.0000000000, -5.1915816338, -2.2148663414, -2.2148678290, -5.1915776269
2401915136.0000000000, -5.1715842120, -2.2258944127, -2.2258944127, -5.1715922098
2402915072.0000000000, -5.1516506456, -2.2369667145, -2.2369682054, -5.1516496479
2403915008.0000000000, -5.1317716711, -2.2480886044, -2.2480878581, -5.1317716711
2404914944.0000000000, -5.1119122601, -2.2592445445, -2.2592437973, -5.1119092788
2405914880.0000000000, -5.0921130385, -2.2704495945, -2.2704510904, -5.0921080794
2406914816.0000000000, -5.0723479911, -2.2816956687, -2.2816956687, -5.0723489810
2407914752.0000000000, -5.0526347751, -2.2929851406, -2.2929858902, -5.0526347751
2408914688.0000000000, -5.0329741471, -2.3043256479, -2.3043263984, -5.0329711893
2409914624.0000000000, -5.0133422571, -2.3157015714, -2.3157053282, -5.0133402891
2410914560.0000000000, -4.9937596358, -2.3271333274, -2.3271348318, -4.9937606179
2411914496.0000000000, -4.9742339110, -2.3386007593, -2.3385985001, -4.9742290101
2412914432.0000000000, -4.9547423242, -2.3501062370, -2.3501077449, -4.9547413459
2413914368.0000000000, -4.9353062304, -2.3616627087, -2.3616642183, -4.9352993958
2414914304.0000000000, -4.9158980948, -2.3732658018, -2.3732627789, -4.9158990692
2415914240.0000000000, -4.8965508961, -2.3849194461, -2.3849179329, -4.8965518687
2416914176.0000000000, -4.8772362029, -2.3965972915, -2.3965980490, -4.8772391151
2417914112.0000000000, -4.8579742453, -2.4083395998, -2.4083373248, -4.8579781207
2418914048.0000000000, -4.8387618896, -2.4201154530, -2.4201169715, -4.8387638236
2419913984.0000000000, -4.8195892700, -2.4319424367, -2.4319393962, -4.8195969912
2420913920.0000000000, -4.8004697151, -2.4438123447, -2.4438169110, -4.8004677885
2421913856.0000000000, -4.7813904921, -2.4557352187, -2.4557314089, -4.7813933765
2422913792.0000000000, -4.7623687134, -2.4676952112, -2.4676974998, -4.7623687134
2423913728.0000000000, -4.7433763442, -2.4796954937, -2.4797000764, -4.7433715551
2424913664.0000000000, -4.7244419656, -2.4917469001, -2.4917484295, -4.7244343176
2425913600.0000000000, -4.7055414620, -2.5038495979, -2.5038465354, -4.7055414620
2426913536.0000000000, -4.6866851855, -2.5159853586, -2.5159822923, -4.6866804235
2427913472.0000000000, -4.6678957683, -2.5281727046, -2.5281780771, -4.6678872128
2428913408.0000000000, -4.6491349472, -2.5404048910, -2.5404064278, -4.6491339984
2429913344.0000000000, -4.6304158865, -2.5526897579, -2.5526866804, -4.6304206218
2430913280.0000000000, -4.6117582688, -2.5650113044, -2.5650166968, -4.6117573235
2431913216.0000000000, -4.5931580418, -2.5773812169, -2.5773812169, -4.5931495500
2432913152.0000000000, -4.5745697446, -2.5898012007, -2.5897973395, -4.5745659775
2433913088.0000000000, -4.5560525973, -2.6022567325, -2.6022590522, -4.5560554174
2434913024.0000000000, -4.5375687368, -2.6147618613, -2.6147641838, -4.5375696751
2435912960.0000000000, -4.5191423930, -2.6273221798, -2.6273221798, -4.5191358370
2436912896.0000000000, -4.5007677021, -2.6399208019, -2.6399246825, -4.5007611581
2437912832.0000000000, -4.4824267122, -2.6525687319, -2.6525687319, -4.4824211134
2438912768.0000000000, -4.4641295458, -2.6652544658, -2.6652560220, -4.4641220943
2439912704.0000000000, -4.4458806727, -2.6779913716, -2.6779921507, -4.4458741645
2440912640.0000000000, -4.4276780338, -2.6907757241, -2.6907780643, -4.4276845301
2441912576.0000000000, -4.4095288484, -2.7036084658, -2.7036076847, -4.4095260693
2442912512.0000000000, -4.3914264129, -2.7164819412, -2.7164827233, -4.3914338105
2443912448.0000000000, -4.3733631493, -2.7294033346, -2.7294033346, -4.3733686875
2444912384.0000000000, -4.3553619386, -2.7423751627, -2.7423751627, -4.3553600959
2445912320.0000000000, -4.3373985923, -2.7553944597, -2.7553936746, -4.3374013514
2446912256.0000000000, -4.3194876537, -2.7684535278, -2.7684558863, -4.3194812272
2447912192.0000000000, -4.3016059886, -2.7815611599, -2.7815635214, -4.3016014065
2448912128.0000000000, -4.2837846004, -2.7947214657, -2.7947198893, -4.2837873448
2449912064.0000000000, -4.2660022213, -2.8079227920, -2.8079172671, -4.2660058739
2450912000.0000000000, -4.2482787537, -2.8211692298, -2.8211692298, -4.2482778422
2451911936.0000000000, -4.2306048416, -2.8344672666, -2.8344688493, -4.2306002919
2452911872.0000000000, -4.2129657443, -2.8478242168, -2.8478202547, -4.2129612027
2453911808.0000000000, -4.1953694937, -2.8612014122, -2.8611998253, -4.1953776544
2454911744.0000000000, -4.1778322112, -2.8746354597, -2.8746394324, -4.1778340215
2455911680.0000000000, -4.1603391840, -2.8881178125, -2.8881201994, -4.1603473161
2456911616.0000000000, -4.1428911358, -2.9016462519, -2.9016430651, -4.1429001558
2457911552.0000000000, -4.1255004909, -2.9152201426, -2.9152265249, -4.1255049930
2458911488.0000000000, -4.1081544187, -2.9288500304, -2.9288532259, -4.1081517221
2459911424.0000000000, -4.0908401777, -2.9425225200, -2.9425241200, -4.0908392804
2460911360.0000000000, -4.0735845276, -2.9562361587, -2.9562361587, -4.0735782572
2461911296.0000000000, -4.0563666499, -2.9700039249, -2.9700023206, -4.0563684384
2462911232.0000000000, -4.0392149671, -2.9838203937, -2.9838203937, -4.0392140744
2463911168.0000000000, -4.0220971077, -2.9976817189, -2.9976801101, -4.0220997812
2464911104.0000000000, -4.0050289622, -3.0115848386, -3.0115864496, -4.0050316312
2465911040.0000000000, -3.9880121025, -3.0255411936, -3.0255371604, -3.9880112144
