Freq,Simulated,Measured
1.264,-7.855050184,-8.579915
1.265,-7.868955965,-8.5347242
1.266,-7.882876034,-8.5934896
1.267,-7.896810364,-8.5992661
1.268,-7.910758928,-8.5844231
1.269,-7.9247217,-8.6229668
1.27,-7.938698654,-8.6088209
1.271,-7.952689764,-8.6403408
1.272,-7.966695003,-8.6466446
1.273,-7.980714346,-8.6693621
1.274,-7.994747768,-8.7086039
1.275,-8.008795243,-8.7493944
1.276,-8.022856746,-8.7066965
1.277,-8.036932251,-8.7652636
1.278,-8.051021733,-8.7258444
1.279,-8.065125169,-8.7415934
1.28,-8.079242531,-8.7533007
1.281,-8.093373797,-8.7803583
1.282,-8.10751894,-8.8035135
1.283,-8.121677937,-8.8476133
1.284,-8.135850763,-8.887742
1.285,-8.150037393,-8.8576126
1.286,-8.164237804,-8.8964577
1.287,-8.17845197,-8.8897839
1.288,-8.192679867,-8.9015932
1.289,-8.206921471,-8.9215202
1.29,-8.221176759,-8.9628687
1.291,-8.235445705,-8.9954967
1.292,-8.249728285,-8.9756994
1.293,-8.264024476,-9.0098677
1.294,-8.278334254,-9.0173006
1.295,-8.292657594,-9.0073404
1.296,-8.306994472,-9.0270739
1.297,-8.321344865,-9.0479794
1.298,-8.335708748,-9.0709267
1.299,-8.350086097,-9.085
1.3,-8.364476889,-9.1029158
1.301,-8.3788811,-9.1248779
1.302,-8.393298704,-9.1622267
1.303,-8.40772968,-9.1335812
1.304,-8.422174001,-9.1266193
1.305,-8.436631646,-9.1714649
1.306,-8.451102588,-9.1792068
1.307,-8.465586806,-9.2092724
1.308,-8.480084273,-9.2278585
1.309,-8.494594967,-9.2405481
1.31,-8.509118864,-9.2494488
1.311,-8.523655938,-9.2836323
1.312,-8.538206167,-9.262619
1.313,-8.552769526,-9.3392076
1.314,-8.56734599,-9.2971287
1.315,-8.581935536,-9.3383818
1.316,-8.59653814,-9.3362207
1.317,-8.611153776,-9.3573017
1.318,-8.625782421,-9.3515043
1.319,-8.64042405,-9.3837328
1.32,-8.655078639,-9.3882246
1.321,-8.669746164,-9.4149475
1.322,-8.684426599,-9.4299288
1.323,-8.699119921,-9.4398375
1.324,-8.713826104,-9.4773874
1.325,-8.728545125,-9.4804668
1.326,-8.743276957,-9.4746227
1.327,-8.758021577,-9.4947777
1.328,-8.77277896,-9.5185461
1.329,-8.787549081,-9.5302687
1.33,-8.802331915,-9.5625811
1.331,-8.817127436,-9.577775
1.332,-8.83193562,-9.5834379
1.333,-8.846756442,-9.570262
1.334,-8.861589876,-9.6055784
1.335,-8.876435897,-9.6323986
1.336,-8.89129448,-9.6480122
1.337,-8.906165599,-9.6600361
1.338,-8.921049229,-9.6560555
1.339,-8.935945345,-9.6761341
1.34,-8.950853919,-9.6718006
1.341,-8.965774928,-9.6968393
1.342,-8.980708345,-9.7363558
1.343,-8.995654143,-9.7241316
1.344,-9.010612298,-9.7401218
1.345,-9.025582783,-9.7760611
1.346,-9.040565572,-9.8106356
1.347,-9.055560639,-9.7997007
1.348,-9.070567957,-9.8408613
1.349,-9.085587501,-9.8435793
1.35,-9.100619243,-9.870882
1.351,-9.115663157,-9.8597536
1.352,-9.130719216,-9.8629065
1.353,-9.145787394,-9.8933086
1.354,-9.160867663,-9.9116783
1.355,-9.175959998,-9.9238501
1.356,-9.19106437,-9.9423485
1.357,-9.206180753,-9.9656839
1.358,-9.22130912,-9.9809284
1.359,-9.236449442,-9.9891539
1.36,-9.251601694,-9.991971
1.361,-9.266765846,-9.9940796
1.362,-9.281941872,-10.053829
1.363,-9.297129744,-10.041388
1.364,-9.312329434,-10.057892
1.365,-9.327540914,-10.083889
1.366,-9.342764156,-10.103924
1.367,-9.357999132,-10.128941
1.368,-9.373245814,-10.116611
1.369,-9.388504173,-10.115205
1.37,-9.40377418,-10.142807
1.371,-9.419055808,-10.175841
1.372,-9.434349028,-10.162573
1.373,-9.449653811,-10.206061
1.374,-9.464970127,-10.23028
1.375,-9.480297948,-10.252381
1.376,-9.495637245,-10.265764
1.377,-9.510987988,-10.253143
1.378,-9.526350149,-10.292708
1.379,-9.541723697,-10.270827
1.38,-9.557108603,-10.312138
1.381,-9.572504838,-10.346371
1.382,-9.58791237,-10.316648
1.383,-9.603331172,-10.377944
1.384,-9.618761211,-10.37107
1.385,-9.634202459,-10.372685
1.386,-9.649654885,-10.386672
1.387,-9.665118458,-10.457655
1.388,-9.680593148,-10.429455
1.389,-9.696078924,-10.462278
1.39,-9.711575756,-10.464823
1.391,-9.727083612,-10.492696
1.392,-9.742602461,-10.464005
1.393,-9.758132272,-10.505369
1.394,-9.773673013,-10.531608
1.395,-9.789224654,-10.546273
1.396,-9.804787163,-10.588327
1.397,-9.820360507,-10.575677
1.398,-9.835944656,-10.604696
1.399,-9.851539576,-10.593558
1.4,-9.867145236,-10.615252
1.401,-9.882761603,-10.627009
1.402,-9.898388646,-10.686927
1.403,-9.914026331,-10.669884
1.404,-9.929674627,-10.668671
1.405,-9.945333499,-10.70231
1.406,-9.961002915,-10.719563
1.407,-9.976682842,-10.750898
1.408,-9.992373247,-10.753922
1.409,-10.0080741,-10.761115
1.41,-10.02378536,-10.787505
1.411,-10.03950699,-10.791296
1.412,-10.05523897,-10.799735
1.413,-10.07098126,-10.840895
1.414,-10.08673383,-10.853763
1.415,-10.10249663,-10.879012
1.416,-10.11826964,-10.866029
1.417,-10.13405283,-10.915651
1.418,-10.14984615,-10.909389
1.419,-10.16564957,-10.935426
1.42,-10.18146306,-10.916092
1.421,-10.19728658,-10.951044
1.422,-10.2131201,-10.987203
1.423,-10.22896358,-10.971891
1.424,-10.24481699,-10.965103
1.425,-10.26068028,-11.036557
1.426,-10.27655343,-11.074357
1.427,-10.2924364,-11.0523
1.428,-10.30832914,-11.095087
1.429,-10.32423164,-11.086265
