"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1.16,-14.4405061959814,-3.4120931168109,-17.5492862044138,-3.44807145491279,-10.4739616358579,-17.2334234467252
1.161,-14.4458410311061,-3.41207597123244,-17.5550942615293,-3.44808239393642,-10.480895354188,-17.2382770688684
1.162,-14.4511743286384,-3.41205909154739,-17.5609293992344,-3.44809316688899,-10.4878316730852,-17.2431554709553
1.163,-14.4565060882194,-3.41204247715098,-17.5667918069331,-3.44810377552848,-10.4947706036018,-17.2480588762224
1.164,-14.4618363094676,-3.41202612744052,-17.5726816732128,-3.44811422161105,-10.5017121568163,-17.2529875078019
1.165,-14.4671649919791,-3.41201004181545,-17.5785991857867,-3.44812450689099,-10.508656343833,-17.2579415886693
1.166,-14.4724921353273,-3.41199421967736,-17.5845445314352,-3.44813463312073,-10.5156031757828,-17.2629213415893
1.167,-14.4778177390625,-3.41197866042999,-17.5905178959452,-3.44814460205086,-10.5225526638223,-17.2679269890596
1.168,-14.483141802712,-3.41196336347926,-17.5965194640496,-3.44815441543011,-10.5295048191343,-17.2729587532548
1.169,-14.4884643257794,-3.41194832823328,-17.6025494193642,-3.44816407500532,-10.5364596529277,-17.2780168559674
1.17,-14.4937853077446,-3.41193355410238,-17.6086079443245,-3.4481735825215,-10.5434171764371,-17.2831015185485
1.171,-14.4991047480635,-3.41191904049914,-17.6146952201203,-3.44818293972175,-10.5503774009233,-17.2882129618463
1.172,-14.5044226461678,-3.41190478683835,-17.6208114266297,-3.44819214834731,-10.5573403376731,-17.2933514061437
1.173,-14.5097390014646,-3.41189079253711,-17.6269567423518,-3.44820121013756,-10.5643059979991,-17.2985170710938
1.174,-14.5150538133362,-3.41187705701479,-17.6331313443378,-3.44821012682998,-10.5712743932398,-17.3037101756549
1.175,-14.5203670811402,-3.41186357969307,-17.6393354081212,-3.44821890016016,-10.5782455347594,-17.3089309380226
1.176,-14.5256788042085,-3.41185035999593,-17.6455691076463,-3.44822753186181,-10.5852194339483,-17.3141795755619
1.177,-14.5309889818478,-3.41183739734973,-17.651832615196,-3.44823602366675,-10.5921961022224,-17.3194563047369
1.178,-14.5362976133387,-3.41182469118316,-17.6581261013179,-3.4482443773049,-10.5991755510235,-17.3247613410388
1.179,-14.541604697936,-3.4118122409273,-17.6644497347489,-3.44825259450427,-10.6061577918191,-17.3300948989127
1.18,-14.5469102348681,-3.4118000460156,-17.6708036823396,-3.44826067699098,-10.6131428361025,-17.3354571916835
1.181,-14.5522142233369,-3.41178810588395,-17.6771881089757,-3.44826862648925,-10.6201306953926,-17.3408484314784
1.182,-14.5575166625172,-3.41177641997065,-17.6836031774998,-3.44827644472135,-10.6271213812342,-17.3462688291499
1.183,-14.562817551557,-3.41176498771644,-17.690049048631,-3.44828413340769,-10.6341149051973,-17.3517185941957
1.184,-14.5681168895768,-3.41175380856453,-17.6965258808828,-3.44829169426671,-10.6411112788781,-17.3571979346778
1.185,-14.5734146756695,-3.41174288196062,-17.7030338304811,-3.44829912901496,-10.6481105138981,-17.3627070571394
1.186,-14.5787109089,-3.41173220735287,-17.7095730512795,-3.44830643936705,-10.6551126219042,-17.368246166521
1.187,-14.5840055883052,-3.41172178419198,-17.7161436946741,-3.44831362703567,-10.6621176145693,-17.3738154660737
1.188,-14.5892987128935,-3.41171161193117,-17.7227459095168,-3.44832069373157,-10.6691255035914,-17.379415157272
1.189,-14.5945902816446,-3.4117016900262,-17.7293798420273,-3.44832764116354,-10.6761363006943,-17.3850454397245
1.19,-14.5998802935092,-3.41169201793539,-17.7360456357035,-3.44833447103848,-10.6831500176272,-17.3907065110824
1.191,-14.6051687474087,-3.41168259511965,-17.7427434312316,-3.44834118506128,-10.6901666661646,-17.3963985669475
1.192,-14.6104556422352,-3.41167342104245,-17.7494733663937,-3.44834778493493,-10.6971862581067,-17.4021218007774
1.193,-14.6157409768508,-3.41166449516991,-17.7562355759748,-3.44835427236045,-10.704208805279,-17.4078764037898
1.194,-14.6210247500877,-3.41165581697075,-17.763030191669,-3.44836064903688,-10.7112343195322,-17.4136625648652
1.195,-14.6263069607477,-3.41164738591632,-17.7698573419831,-3.44836691666133,-10.7182628127428,-17.4194804704468
1.196,-14.631587607602,-3.41163920148065,-17.7767171521404,-3.44837307692893,-10.7252942968121,-17.4253303044404
1.197,-14.636866689391,-3.41163126314043,-17.7836097439823,-3.44837913153283,-10.7323287836673,-17.4312122481114
1.198,-14.6421442048237,-3.41162357037503,-17.7905352358694,-3.44838508216422,-10.7393662852604,-17.4371264799807
1.199,-14.6474201525779,-3.41161612266652,-17.7974937425807,-3.44839093051231,-10.7464068135689,-17.4430731757186
1.2,-14.6526945312997,-3.4116089194997,-17.8044853752122,-3.44839667826431,-10.7534503805957,-17.4490525080379
1.201,-14.6579673396031,-3.4116019603621,-17.8115102410742,-3.44840232710545,-10.7604969983686,-17.455064646584
1.202,-14.6632385760699,-3.41159524474399,-17.8185684435869,-3.44840787871898,-10.7675466789409,-17.4611097578246
1.203,-14.6685082392493,-3.41158877213839,-17.825660082176,-3.44841333478616,-10.7745994343909,-17.4671880049372
1.204,-14.6737763276576,-3.41158254204112,-17.8327852521662,-3.4484186969862,-10.7816552768223,-17.4732995476952
1.205,-14.6790428397782,-3.41157655395077,-17.8399440446739,-3.44842396699637,-10.7887142183636,-17.4794445423522
1.206,-14.6843077740608,-3.41157080736875,-17.8471365464991,-3.44842914649189,-10.7957762711688,-17.485623141525
1.207,-14.6895711289218,-3.41156530179928,-17.8543628400158,-3.44843423714597,-10.8028414474168,-17.491835494075
1.208,-14.6948329027432,-3.41156003674942,-17.8616230030621,-3.44843924062981,-10.8099097593116,-17.4980817449878
1.209,-14.7000930938732,-3.41155501172907,-17.8689171088286,-3.4484441586126,-10.8169812190824,-17.5043620352515
1.21,-14.705351700625,-3.41155022625101,-17.8762452257459,-3.44844899276148,-10.8240558389832,-17.5106765017339
1.211,-14.7106087212773,-3.41154567983086,-17.883607417372,-3.44845374474156,-10.8311336312933,-17.517025277057
1.212,-14.7158641540736,-3.41154137198716,-17.8910037422778,-3.44845841621594,-10.8382146083169,-17.523408489472
1.213,-14.7211179972218,-3.41153730224134,-17.8984342539324,-3.44846300884564,-10.8452987823832,-17.5298262627308
1.214,-14.7263702488944,-3.41153347011777,-17.9058990005873,-3.44846752428966,-10.8523861658463,-17.5362787159577
1.215,-14.7316209072278,-3.4115298751437,-17.9133980251597,-3.44847196420496,-10.8594767710854,-17.5427659635189
1.216,-14.736869970322,-3.41152651684938,-17.9209313651157,-3.44847633024642,-10.8665706105044,-17.5492881148909
1.217,-14.7421174362405,-3.41152339476797,-17.928499052352,-3.44848062406687,-10.8736676965325,-17.5558452745282
1.218,-14.7473633030099,-3.41152050843563,-17.9361011130775,-3.44848484731709,-10.8807680416234,-17.5624375417284
1.219,-14.7526075686198,-3.4115178573915,-17.9437375676941,-3.44848900164577,-10.8878716582559,-17.5690650104976
1.22,-14.757850231022,-3.41151544117768,-17.9514084306766,-3.44849308869954,-10.8949785589337,-17.5757277694139
