Freq,Simulated,Measured
1.547,-1.327293394,-1.2436788
1.548,-1.327594251,-1.238868
1.549,-1.327893074,-1.2314932
1.55,-1.328189866,-1.2178937
1.551,-1.328484631,-1.2038958
1.552,-1.328777373,-1.2133049
1.553,-1.329068096,-1.2520534
1.554,-1.329356803,-1.2273839
1.555,-1.329643499,-1.220861
1.556,-1.329928188,-1.2447875
1.557,-1.330210874,-1.239297
1.558,-1.33049156,-1.2172942
1.559,-1.330770251,-1.2559859
1.56,-1.331046951,-1.2123348
1.561,-1.331321663,-1.2361782
1.562,-1.331594393,-1.2185446
1.563,-1.331865143,-1.2273635
1.564,-1.332133918,-1.2255299
1.565,-1.332400722,-1.2337182
1.566,-1.33266556,-1.2389159
1.567,-1.332928434,-1.2273139
1.568,-1.333189351,-1.2120622
1.569,-1.333448313,-1.2297798
1.57,-1.333705325,-1.2546862
1.571,-1.33396039,-1.2211767
1.572,-1.334213514,-1.2194741
1.573,-1.334464701,-1.2113913
1.574,-1.334713954,-1.2281855
1.575,-1.334961278,-1.2264973
1.576,-1.335206678,-1.1915303
1.577,-1.335450156,-1.2392291
1.578,-1.335691719,-1.1880037
1.579,-1.335931369,-1.1753229
1.58,-1.336169112,-1.2162921
1.581,-1.336404952,-1.225168
1.582,-1.336638892,-1.1926786
1.583,-1.336870938,-1.2274575
1.584,-1.337101094,-1.1919451
1.585,-1.337329363,-1.2060021
1.586,-1.337555751,-1.2063974
1.587,-1.337780262,-1.2420325
1.588,-1.3380029,-1.1899387
1.589,-1.33822367,-1.2129266
1.59,-1.338442576,-1.2452599
1.591,-1.338659623,-1.1820267
1.592,-1.338874814,-1.1987013
1.593,-1.339088156,-1.2343475
1.594,-1.339299651,-1.224731
1.595,-1.339509304,-1.1970735
1.596,-1.33971712,-1.2129862
1.597,-1.339923104,-1.2037015
1.598,-1.34012726,-1.2123561
1.599,-1.340329592,-1.1936743
1.6,-1.340530106,-1.2086835
1.601,-1.340728805,-1.2116412
1.602,-1.340925694,-1.1866051
1.603,-1.341120778,-1.211138
1.604,-1.341314061,-1.2159563
1.605,-1.341505548,-1.2112312
1.606,-1.341695244,-1.2310512
1.607,-1.341883152,-1.2119702
1.608,-1.342069279,-1.1990057
1.609,-1.342253627,-1.1733555
1.61,-1.342436203,-1.1993803
1.611,-1.342617011,-1.1888366
1.612,-1.342796054,-1.1808617
1.613,-1.342973339,-1.2029965
1.614,-1.34314887,-1.2111578
1.615,-1.34332265,-1.2095027
