!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB)
1528000000,-0.619461,61.468418,-15.129783
1529000000,-0.61501974,61.280396,-15.024504
1530000000,-0.66445887,60.939407,-15.004835
1531000000,-0.6255644,60.537811,-14.911705
1532000000,-0.65168613,60.571896,-14.901544
1533000000,-0.63378727,60.401604,-14.817862
1534000000,-0.6350081,60.074623,-14.752948
1535000000,-0.64240432,59.825649,-14.70787
1536000000,-0.62781674,59.55901,-14.562843
1537000000,-0.63445145,59.510113,-14.477278
1538000000,-0.66910195,59.06144,-14.517714
1539000000,-0.65287286,58.756874,-14.444684
1540000000,-0.65799904,58.730953,-14.342594
1541000000,-0.65321118,58.495796,-14.298731
1542000000,-0.65214241,58.333019,-14.223145
1543000000,-0.61970276,57.764542,-14.161624
1544000000,-0.6380173,57.941124,-14.160047
1545000000,-0.64578849,57.582813,-14.089233
1546000000,-0.65026087,57.182915,-13.975523
1547000000,-0.65844971,57.216415,-13.957193
1548000000,-0.63773859,56.820267,-13.895147
1549000000,-0.63491464,56.626286,-13.801026
1550000000,-0.66800779,56.16193,-13.807465
1551000000,-0.6512264,56.069794,-13.706964
1552000000,-0.66366714,55.611988,-13.631229
1553000000,-0.66988486,55.650272,-13.600231
1554000000,-0.65784574,55.472908,-13.557204
1555000000,-0.65723825,55.027386,-13.447361
1556000000,-0.67260486,54.774719,-13.465322
1557000000,-0.66435063,54.577805,-13.392589
1558000000,-0.69652551,54.465656,-13.367861
1559000000,-0.65004331,54.097691,-13.248707
1560000000,-0.69671911,53.834724,-13.30287
1561000000,-0.67601109,53.701786,-13.167137
1562000000,-0.68715483,53.554379,-13.123354
1563000000,-0.6605559,53.206913,-13.074229
1564000000,-0.64654869,53.131042,-13.026368
1565000000,-0.66669124,52.738171,-12.984692
1566000000,-0.69231766,52.5966,-12.927411
1567000000,-0.69889051,52.343754,-12.879339
1568000000,-0.67028439,52.048882,-12.843297
1569000000,-0.69193923,51.824905,-12.853003
1570000000,-0.66980511,51.690022,-12.749646
